P	k	t	s_t	c_t	o_t	b_t_1	b_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
1	0	0	1	+0.87	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.80	1
1	0	1	1	+0.46	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.71	1
1	0	2	1	+0.30	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.74	1
1	0	3	1	+0.50	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.70	1
1	0	4	1	+0.16	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.75	0
1	0	5	1	+0.71	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.65	1
1	0	6	1	+0.38	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.68	1
1	0	7	1	+0.89	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.52	1
1	0	8	0	-0.83	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.55	1
1	0	9	1	+0.61	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.59	1
1	1	0	0	-0.61	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.70	1
1	1	1	1	+0.55	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.60	1
1	1	2	0	-0.34	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.59	1
1	1	3	0	-0.91	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.53	1
1	1	4	0	-0.88	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.51	1
1	1	5	1	+0.45	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.60	1
1	1	6	0	-0.67	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.56	1
1	1	7	0	-0.30	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.60	1
1	1	8	1	+0.02	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.53	0
1	1	9	0	-0.54	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.55	1
