P	k	t	s_t	c_t	o_t	b_t_1	b_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
5	0	0	0	-0.66	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.59	1
5	0	1	0	-0.73	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.57	1
5	0	2	0	-0.78	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.59	1
5	0	3	1	+0.70	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.59	1
5	0	4	1	+0.77	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.56	1
5	0	5	1	+0.72	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.61	1
5	0	6	0	-0.70	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.58	1
5	0	7	1	+0.70	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.49	1
5	0	8	1	+0.04	NaN	NaN	NaN	NaN	NaN	NaN	1	+1.50	1
5	0	9	0	-0.37	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.72	1
5	0	10	0	-0.05	NaN	NaN	NaN	NaN	NaN	NaN	1	+6.60	0
5	0	11	1	+0.98	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.61	1
5	0	12	0	-0.82	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.54	1
5	0	13	1	+0.96	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.52	1
5	0	14	0	-0.26	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.46	1
5	0	15	0	-0.48	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.62	1
5	0	16	0	-0.73	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.47	1
5	0	17	0	-0.12	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.86	0
5	0	18	1	+0.20	NaN	NaN	NaN	NaN	NaN	NaN	1	+1.11	1
5	0	19	0	-0.40	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.54	1
5	0	20	0	-0.97	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.58	1
5	0	21	1	+0.24	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.61	1
5	0	22	0	-0.36	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.59	1
5	0	23	0	-0.57	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.56	1
5	0	24	0	-0.96	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.61	1
5	0	25	1	+0.30	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.56	1
5	0	26	0	-0.51	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.48	1
5	0	27	0	-0.01	NaN	NaN	NaN	NaN	NaN	NaN	1	+1.38	0
5	0	28	1	+0.84	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.62	1
5	0	29	0	-0.83	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.58	1
5	1	0	0	-0.42	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.99	1
5	1	1	1	+0.39	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.53	1
5	1	2	0	-0.34	NaN	NaN	NaN	NaN	NaN	NaN	0	+1.19	1
5	1	3	1	+0.66	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.51	1
5	1	4	0	-0.75	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.54	1
5	1	5	1	+0.77	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.47	1
5	1	6	1	+0.50	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.60	1
5	1	7	1	+0.27	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.96	1
5	1	8	1	+0.58	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.61	1
5	1	9	0	-0.30	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.61	1
5	1	10	1	+0.93	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.48	1
5	1	11	0	-0.88	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.56	1
5	1	12	1	+0.44	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.48	1
5	1	13	0	-0.35	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.52	1
5	1	14	1	+0.12	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.55	1
5	1	15	1	+0.51	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.58	1
5	1	16	0	-0.36	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.50	1
5	1	17	0	-0.31	NaN	NaN	NaN	NaN	NaN	NaN	0	+2.02	1
5	1	18	0	-0.58	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.62	1
5	1	19	1	+0.97	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.52	1
5	1	20	1	+0.93	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.49	1
5	1	21	1	+0.51	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.48	1
5	1	22	0	-0.56	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.48	1
5	1	23	0	-0.63	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.99	1
5	1	24	1	+0.70	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.48	1
5	1	25	0	-0.69	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.52	1
5	1	26	0	-0.84	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.55	1
5	1	27	1	+0.66	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.47	1
5	1	28	0	-0.79	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.53	1
5	1	29	1	+0.62	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.52	1
5	2	0	1	+0.59	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.56	1
5	2	1	0	-0.55	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.48	1
5	2	2	0	-0.91	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.58	1
5	2	3	1	+0.08	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.75	1
5	2	4	0	-0.93	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.53	1
5	2	5	0	-0.92	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.55	1
5	2	6	1	+0.04	NaN	NaN	NaN	NaN	NaN	NaN	1	+1.01	1
5	2	7	1	+0.79	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.76	1
5	2	8	0	-0.91	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.67	1
5	2	9	0	-0.60	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.47	1
5	2	10	0	-0.71	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.57	1
5	2	11	0	-0.41	NaN	NaN	NaN	NaN	NaN	NaN	0	+1.07	1
5	2	12	1	+0.09	NaN	NaN	NaN	NaN	NaN	NaN	1	+1.95	1
5	2	13	0	-0.51	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.70	1
5	2	14	0	-0.84	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.59	1
5	2	15	1	+0.79	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.50	1
5	2	16	1	+0.65	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.56	1
5	2	17	0	-0.48	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.62	1
5	2	18	0	-0.73	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.75	1
5	2	19	0	-0.92	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.64	1
5	2	20	1	+0.49	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.58	1
5	2	21	0	-0.54	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.50	1
5	2	22	1	+0.80	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.47	1
5	2	23	0	-0.97	NaN	NaN	NaN	NaN	NaN	NaN	0	+1.24	1
5	2	24	0	-0.56	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.54	1
5	2	25	1	+0.61	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.71	1
5	2	26	1	+0.65	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.59	1
5	2	27	0	-0.12	NaN	NaN	NaN	NaN	NaN	NaN	0	+1.60	1
5	2	28	0	-0.36	NaN	NaN	NaN	NaN	NaN	NaN	0	+1.16	1
5	2	29	0	-0.33	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.91	1
5	3	0	0	-0.76	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.68	1
5	3	1	1	+0.32	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.53	1
5	3	2	0	-0.68	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.51	1
5	3	3	0	-0.60	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.56	1
5	3	4	1	+0.83	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.47	1
5	3	5	1	+0.88	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.47	1
5	3	6	1	+0.10	NaN	NaN	NaN	NaN	NaN	NaN	1	+1.35	1
5	3	7	0	-0.12	NaN	NaN	NaN	NaN	NaN	NaN	0	+1.82	1
5	3	8	0	-0.57	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.87	1
5	3	9	0	-0.98	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.81	1
5	3	10	1	+0.33	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.47	1
5	3	11	1	+0.82	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.48	1
5	3	12	1	+0.28	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.69	1
5	3	13	0	-0.81	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.60	1
5	3	14	0	-0.50	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.98	1
5	3	15	0	-0.22	NaN	NaN	NaN	NaN	NaN	NaN	0	+1.11	1
5	3	16	1	+0.12	NaN	NaN	NaN	NaN	NaN	NaN	1	+1.36	1
