P	k	t	s_t	c_t	o_t	b_t_1	b_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
10	0	0	0	-0.32	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.66	1
10	0	1	1	+0.42	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.53	1
10	0	2	1	+0.35	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.56	1
10	0	3	0	-0.25	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.45	1
10	0	4	1	+0.17	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.53	1
10	0	5	0	-0.19	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.42	1
10	0	6	1	+0.89	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.51	1
10	0	7	1	+0.08	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.51	0
10	0	8	1	+0.23	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.47	1
10	0	9	1	+0.86	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.42	1
10	0	10	1	+0.85	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.42	1
10	0	11	0	-0.06	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.48	1
10	0	12	0	-0.99	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.45	1
10	0	13	1	+0.75	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.36	1
10	0	14	0	-0.64	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.41	1
10	0	15	1	+0.21	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.44	0
10	0	16	1	+0.75	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.44	1
10	0	17	1	+0.27	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.63	1
10	0	18	0	-0.97	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.40	1
10	0	19	0	-0.20	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.42	1
10	0	20	0	-0.73	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.37	1
10	0	21	1	+0.36	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.36	1
10	0	22	1	+0.80	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.41	1
10	0	23	0	-0.90	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.45	1
10	0	24	1	+0.01	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.82	1
10	0	25	1	+0.53	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.49	1
10	0	26	1	+0.05	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.59	1
10	0	27	1	+0.27	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.49	1
