P	k	t	s_t	c_t	o_t	b_t_1	b_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
0	0	0	0	-0.23	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.66	1
0	0	1	1	+0.38	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.62	0
0	0	2	1	+0.32	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.63	0
0	0	3	1	+0.05	NaN	NaN	NaN	NaN	NaN	NaN	0	+1.18	0
0	0	4	0	-0.05	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.87	1
0	0	5	1	+0.36	NaN	NaN	NaN	NaN	NaN	NaN	0	+1.50	0
0	0	6	1	+0.81	NaN	NaN	NaN	NaN	NaN	NaN	0	+1.41	0
0	0	7	0	-0.67	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.72	1
0	0	8	0	-0.73	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.61	1
0	0	9	1	+0.73	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.65	1
0	0	10	0	-0.35	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.75	1
0	0	11	0	-0.94	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.61	1
0	0	12	0	-0.11	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.72	1
0	0	13	1	+0.24	NaN	NaN	NaN	NaN	NaN	NaN	0	+2.10	0
0	0	14	1	+0.56	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.95	1
0	0	15	0	-0.70	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.76	1
0	0	16	1	+0.49	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.94	0
0	0	17	0	-0.72	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.65	1
0	0	18	1	+0.40	NaN	NaN	NaN	NaN	NaN	NaN	1	+1.05	1
0	0	19	1	+0.38	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.79	1
0	0	20	1	+0.59	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.59	1
0	0	21	0	-0.17	NaN	NaN	NaN	NaN	NaN	NaN	1	+1.43	0
0	0	22	0	-0.93	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.70	1
0	0	23	0	-0.93	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.94	1
0	0	24	1	+0.03	NaN	NaN	NaN	NaN	NaN	NaN	1	+1.03	1
0	0	25	0	-0.50	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.68	1
0	0	26	0	-0.02	NaN	NaN	NaN	NaN	NaN	NaN	1	+1.09	0
0	0	27	0	-0.34	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.87	1
0	0	28	0	-0.99	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.74	1
0	0	29	0	-0.35	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.71	1
0	1	0	0	-0.55	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.67	1
0	1	1	1	+0.14	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.73	0
0	1	2	1	+0.35	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.87	1
0	1	3	1	+0.13	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.75	0
0	1	4	1	+0.61	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.84	1
0	1	5	0	-0.85	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.82	1
0	1	6	1	+0.97	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.75	1
0	1	7	1	+0.44	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.79	1
0	1	8	0	-0.71	NaN	NaN	NaN	NaN	NaN	NaN	0	+1.20	1
0	1	9	1	+0.15	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.94	0
0	1	10	1	+0.42	NaN	NaN	NaN	NaN	NaN	NaN	1	+1.16	1
0	1	11	0	-0.60	NaN	NaN	NaN	NaN	NaN	NaN	0	+1.73	1
0	1	12	0	-0.16	NaN	NaN	NaN	NaN	NaN	NaN	1	+1.23	0
