P	k	t	s_t	alpha_t_1	alpha_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
7	0	0	+0.09	2	1	+0.50	+0.50	0	0	NaN	1
7	0	1	+0.09	3	1	+0.67	+0.33	0	0	NaN	1
7	0	2	+0.09	4	1	+0.75	+0.25	0	0	NaN	1
7	0	3	+0.09	5	1	+0.80	+0.20	0	0	NaN	1
7	0	4	+0.09	6	1	+0.83	+0.17	0	0	NaN	1
7	0	5	+0.09	7	1	+0.86	+0.14	0	0	NaN	1
7	0	6	+0.09	8	1	+0.88	+0.12	0	0	NaN	1
7	0	7	+0.09	9	1	+0.89	+0.11	0	0	NaN	1
7	0	8	+0.09	10	1	+0.90	+0.10	0	0	NaN	1
7	0	9	+0.09	11	1	+0.91	+0.09	0	0	NaN	1
7	0	10	+0.09	12	1	+0.92	+0.08	0	0	NaN	1
7	0	11	+0.09	13	1	+0.92	+0.08	0	0	NaN	1
7	0	12	+0.09	13	2	+0.93	+0.07	0	0	NaN	0
7	0	13	+0.09	14	2	+0.87	+0.13	0	0	NaN	1
7	0	14	+0.09	14	3	+0.88	+0.12	0	0	NaN	0
7	0	15	+0.09	15	3	+0.82	+0.18	0	0	NaN	1
7	0	16	+0.09	16	3	+0.83	+0.17	0	0	NaN	1
7	0	17	+0.09	17	3	+0.84	+0.16	0	0	NaN	1
7	0	18	+0.09	18	3	+0.85	+0.15	0	0	NaN	1
7	0	19	+0.09	19	3	+0.86	+0.14	0	0	NaN	1
7	0	20	+0.09	19	4	+0.86	+0.14	0	0	NaN	0
7	0	21	+0.09	19	5	+0.83	+0.17	0	0	NaN	0
7	0	22	+0.09	20	5	+0.79	+0.21	0	0	NaN	1
7	0	23	+0.09	21	5	+0.80	+0.20	0	0	NaN	1
7	0	24	+0.09	21	6	+0.81	+0.19	0	0	NaN	0
7	0	25	+0.09	22	6	+0.78	+0.22	0	0	NaN	1
7	0	26	+0.09	22	7	+0.79	+0.21	0	0	NaN	0
7	0	27	+0.09	23	7	+0.76	+0.24	0	0	NaN	1
7	0	28	+0.09	24	7	+0.77	+0.23	0	0	NaN	1
7	0	29	+0.09	25	7	+0.77	+0.23	0	0	NaN	1
7	1	0	+0.93	1	2	+0.50	+0.50	0	0	NaN	0
7	1	1	+0.93	1	3	+0.33	+0.67	1	1	NaN	1
7	1	2	+0.93	1	4	+0.25	+0.75	1	1	NaN	1
7	1	3	+0.93	1	5	+0.20	+0.80	1	1	NaN	1
7	1	4	+0.93	1	6	+0.17	+0.83	1	1	NaN	1
7	1	5	+0.93	2	6	+0.14	+0.86	1	1	NaN	0
7	1	6	+0.93	2	7	+0.25	+0.75	1	1	NaN	1
7	1	7	+0.93	2	8	+0.22	+0.78	1	0	NaN	0
7	1	8	+0.93	2	9	+0.20	+0.80	1	1	NaN	1
7	1	9	+0.93	2	10	+0.18	+0.82	1	1	NaN	1
7	1	10	+0.93	2	11	+0.17	+0.83	1	1	NaN	1
7	1	11	+0.93	2	12	+0.15	+0.85	1	1	NaN	1
7	1	12	+0.93	3	12	+0.14	+0.86	1	1	NaN	0
7	1	13	+0.93	3	13	+0.20	+0.80	1	1	NaN	1
7	1	14	+0.93	3	14	+0.19	+0.81	1	1	NaN	1
7	1	15	+0.93	3	15	+0.18	+0.82	1	1	NaN	1
7	1	16	+0.93	3	16	+0.17	+0.83	1	1	NaN	1
7	1	17	+0.93	3	17	+0.16	+0.84	1	1	NaN	1
7	1	18	+0.93	4	17	+0.15	+0.85	1	1	NaN	0
7	1	19	+0.93	4	18	+0.19	+0.81	1	1	NaN	1
7	1	20	+0.93	5	18	+0.18	+0.82	1	1	NaN	0
7	1	21	+0.93	5	19	+0.22	+0.78	1	1	NaN	1
7	1	22	+0.93	5	20	+0.21	+0.79	1	1	NaN	1
7	1	23	+0.93	5	21	+0.20	+0.80	1	1	NaN	1
7	1	24	+0.93	5	22	+0.19	+0.81	1	1	NaN	1
7	1	25	+0.93	5	23	+0.19	+0.81	1	1	NaN	1
7	1	26	+0.93	5	24	+0.18	+0.82	1	1	NaN	1
7	1	27	+0.93	5	25	+0.17	+0.83	1	1	NaN	1
7	1	28	+0.93	5	26	+0.17	+0.83	1	1	NaN	1
7	1	29	+0.93	5	27	+0.16	+0.84	1	1	NaN	1
7	2	0	+0.59	1	2	+0.50	+0.50	0	0	NaN	0
7	2	1	+0.59	1	3	+0.33	+0.67	1	1	NaN	1
7	2	2	+0.59	2	3	+0.25	+0.75	1	1	NaN	0
7	2	3	+0.59	2	4	+0.40	+0.60	1	1	NaN	1
7	2	4	+0.59	3	4	+0.33	+0.67	1	1	NaN	0
7	2	5	+0.59	4	4	+0.43	+0.57	1	1	NaN	0
7	2	6	+0.59	4	5	+0.50	+0.50	0	0	NaN	0
7	2	7	+0.59	5	5	+0.44	+0.56	1	1	NaN	0
7	2	8	+0.59	5	6	+0.50	+0.50	0	0	NaN	0
7	2	9	+0.59	5	7	+0.45	+0.55	1	0	NaN	0
7	2	10	+0.59	6	7	+0.42	+0.58	1	1	NaN	0
7	2	11	+0.59	6	8	+0.46	+0.54	1	1	NaN	1
7	2	12	+0.59	6	9	+0.43	+0.57	1	1	NaN	1
7	2	13	+0.59	6	10	+0.40	+0.60	1	1	NaN	1
7	2	14	+0.59	6	11	+0.38	+0.62	1	1	NaN	1
7	2	15	+0.59	7	11	+0.35	+0.65	1	1	NaN	0
7	2	16	+0.59	7	12	+0.39	+0.61	1	1	NaN	1
7	2	17	+0.59	7	13	+0.37	+0.63	1	1	NaN	1
7	2	18	+0.59	8	13	+0.35	+0.65	1	1	NaN	0
7	2	19	+0.59	8	14	+0.38	+0.62	1	1	NaN	1
7	2	20	+0.59	9	14	+0.36	+0.64	1	1	NaN	0
7	2	21	+0.59	9	15	+0.39	+0.61	1	1	NaN	1
7	2	22	+0.59	10	15	+0.38	+0.62	1	1	NaN	0
7	2	23	+0.59	10	16	+0.40	+0.60	1	1	NaN	1
