P	k	t	s_t	alpha_t_1	alpha_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
48	0	0	+0.72	2	1	+0.50	+0.50	0	0	NaN	1
48	0	1	+0.72	3	1	+0.67	+0.33	0	0	NaN	1
48	0	2	+0.72	3	2	+0.75	+0.25	0	0	NaN	0
48	0	3	+0.72	3	3	+0.60	+0.40	0	0	NaN	0
48	0	4	+0.72	3	4	+0.50	+0.50	0	0	NaN	0
48	0	5	+0.72	3	5	+0.43	+0.57	1	1	NaN	1
48	0	6	+0.72	3	6	+0.38	+0.62	1	1	NaN	1
48	0	7	+0.72	3	7	+0.33	+0.67	1	1	NaN	1
48	0	8	+0.72	3	8	+0.30	+0.70	1	1	NaN	1
48	0	9	+0.72	3	9	+0.27	+0.73	1	1	NaN	1
48	0	10	+0.72	3	10	+0.25	+0.75	1	1	NaN	1
48	0	11	+0.72	3	11	+0.23	+0.77	1	1	NaN	1
48	0	12	+0.72	3	12	+0.21	+0.79	1	0	NaN	0
48	0	13	+0.72	3	13	+0.20	+0.80	1	1	NaN	1
48	0	14	+0.72	4	13	+0.19	+0.81	1	1	NaN	0
48	0	15	+0.72	4	14	+0.24	+0.76	1	1	NaN	1
48	0	16	+0.72	5	14	+0.22	+0.78	1	1	NaN	0
48	0	17	+0.72	5	15	+0.26	+0.74	1	0	NaN	0
48	0	18	+0.72	6	15	+0.25	+0.75	1	1	NaN	0
48	0	19	+0.72	7	15	+0.29	+0.71	1	1	NaN	0
48	0	20	+0.72	7	16	+0.32	+0.68	1	1	NaN	1
48	0	21	+0.72	7	17	+0.30	+0.70	1	1	NaN	1
48	0	22	+0.72	8	17	+0.29	+0.71	1	1	NaN	0
48	0	23	+0.72	8	18	+0.32	+0.68	1	1	NaN	1
48	0	24	+0.72	8	19	+0.31	+0.69	1	1	NaN	1
48	0	25	+0.72	9	19	+0.30	+0.70	1	1	NaN	0
48	0	26	+0.72	10	19	+0.32	+0.68	1	1	NaN	0
48	0	27	+0.72	10	20	+0.34	+0.66	1	1	NaN	1
48	0	28	+0.72	10	21	+0.33	+0.67	1	1	NaN	1
48	0	29	+0.72	11	21	+0.32	+0.68	1	0	NaN	1
48	1	0	+0.18	2	1	+0.50	+0.50	0	0	NaN	1
48	1	1	+0.18	3	1	+0.67	+0.33	0	0	NaN	1
48	1	2	+0.18	4	1	+0.75	+0.25	0	0	NaN	1
48	1	3	+0.18	5	1	+0.80	+0.20	0	0	NaN	1
48	1	4	+0.18	6	1	+0.83	+0.17	0	0	NaN	1
48	1	5	+0.18	7	1	+0.86	+0.14	0	0	NaN	1
48	1	6	+0.18	8	1	+0.88	+0.12	0	0	NaN	1
48	1	7	+0.18	9	1	+0.89	+0.11	0	0	NaN	1
48	1	8	+0.18	10	1	+0.90	+0.10	0	0	NaN	1
48	1	9	+0.18	11	1	+0.91	+0.09	0	0	NaN	1
48	1	10	+0.18	11	2	+0.92	+0.08	0	0	NaN	0
48	1	11	+0.18	12	2	+0.85	+0.15	0	1	NaN	0
48	1	12	+0.18	13	2	+0.86	+0.14	0	0	NaN	1
48	1	13	+0.18	14	2	+0.87	+0.13	0	0	NaN	1
48	1	14	+0.18	15	2	+0.88	+0.12	0	0	NaN	1
48	1	15	+0.18	16	2	+0.88	+0.12	0	0	NaN	1
48	1	16	+0.18	17	2	+0.89	+0.11	0	0	NaN	1
48	1	17	+0.18	18	2	+0.89	+0.11	0	0	NaN	1
48	1	18	+0.18	19	2	+0.90	+0.10	0	0	NaN	1
48	1	19	+0.18	19	3	+0.90	+0.10	0	0	NaN	0
48	1	20	+0.18	20	3	+0.86	+0.14	0	0	NaN	1
48	1	21	+0.18	21	3	+0.87	+0.13	0	0	NaN	1
