P	k	t	s_t	alpha_t_1	alpha_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
8	0	0	+0.15	2	1	+0.50	+0.50	0	0	NaN	1
8	0	1	+0.15	3	1	+0.67	+0.33	0	0	NaN	1
8	0	2	+0.15	4	1	+0.75	+0.25	0	0	NaN	1
8	0	3	+0.15	5	1	+0.80	+0.20	0	0	NaN	1
8	0	4	+0.15	6	1	+0.83	+0.17	0	0	NaN	1
8	0	5	+0.15	7	1	+0.86	+0.14	0	1	NaN	0
8	0	6	+0.15	8	1	+0.88	+0.12	0	0	NaN	1
8	0	7	+0.15	9	1	+0.89	+0.11	0	0	NaN	1
8	0	8	+0.15	10	1	+0.90	+0.10	0	0	NaN	1
8	0	9	+0.15	11	1	+0.91	+0.09	0	0	NaN	1
8	0	10	+0.15	12	1	+0.92	+0.08	0	0	NaN	1
8	0	11	+0.15	12	2	+0.92	+0.08	0	0	NaN	0
8	0	12	+0.15	13	2	+0.86	+0.14	0	0	NaN	1
8	0	13	+0.15	13	3	+0.87	+0.13	0	0	NaN	0
8	0	14	+0.15	13	4	+0.81	+0.19	0	0	NaN	0
8	0	15	+0.15	14	4	+0.76	+0.24	0	0	NaN	1
8	0	16	+0.15	15	4	+0.78	+0.22	0	0	NaN	1
8	0	17	+0.15	16	4	+0.79	+0.21	0	1	NaN	0
8	0	18	+0.15	17	4	+0.80	+0.20	0	0	NaN	1
8	0	19	+0.15	18	4	+0.81	+0.19	0	0	NaN	1
8	0	20	+0.15	19	4	+0.82	+0.18	0	0	NaN	1
8	0	21	+0.15	19	5	+0.83	+0.17	0	0	NaN	0
8	0	22	+0.15	20	5	+0.79	+0.21	0	0	NaN	1
8	0	23	+0.15	21	5	+0.80	+0.20	0	0	NaN	1
8	0	24	+0.15	22	5	+0.81	+0.19	0	0	NaN	1
8	0	25	+0.15	23	5	+0.81	+0.19	0	0	NaN	1
8	0	26	+0.15	24	5	+0.82	+0.18	0	0	NaN	1
8	0	27	+0.15	25	5	+0.83	+0.17	0	0	NaN	1
8	0	28	+0.15	25	6	+0.83	+0.17	0	0	NaN	0
8	0	29	+0.15	26	6	+0.81	+0.19	0	0	NaN	1
8	1	0	+0.95	1	2	+0.50	+0.50	0	0	NaN	0
8	1	1	+0.95	1	3	+0.33	+0.67	1	1	NaN	1
8	1	2	+0.95	1	4	+0.25	+0.75	1	1	NaN	1
8	1	3	+0.95	1	5	+0.20	+0.80	1	1	NaN	1
8	1	4	+0.95	1	6	+0.17	+0.83	1	1	NaN	1
8	1	5	+0.95	1	7	+0.14	+0.86	1	1	NaN	1
8	1	6	+0.95	1	8	+0.12	+0.88	1	1	NaN	1
8	1	7	+0.95	1	9	+0.11	+0.89	1	1	NaN	1
8	1	8	+0.95	1	10	+0.10	+0.90	1	1	NaN	1
8	1	9	+0.95	1	11	+0.09	+0.91	1	1	NaN	1
8	1	10	+0.95	1	12	+0.08	+0.92	1	1	NaN	1
8	1	11	+0.95	1	13	+0.08	+0.92	1	1	NaN	1
8	1	12	+0.95	1	14	+0.07	+0.93	1	1	NaN	1
8	1	13	+0.95	1	15	+0.07	+0.93	1	1	NaN	1
8	1	14	+0.95	1	16	+0.06	+0.94	1	1	NaN	1
8	1	15	+0.95	1	17	+0.06	+0.94	1	1	NaN	1
8	1	16	+0.95	1	18	+0.06	+0.94	1	1	NaN	1
8	1	17	+0.95	1	19	+0.05	+0.95	1	1	NaN	1
8	1	18	+0.95	1	20	+0.05	+0.95	1	1	NaN	1
8	1	19	+0.95	1	21	+0.05	+0.95	1	0	NaN	0
8	1	20	+0.95	1	22	+0.05	+0.95	1	1	NaN	1
8	1	21	+0.95	1	23	+0.04	+0.96	1	1	NaN	1
8	1	22	+0.95	1	24	+0.04	+0.96	1	1	NaN	1
8	1	23	+0.95	2	24	+0.04	+0.96	1	1	NaN	0
8	1	24	+0.95	2	25	+0.08	+0.92	1	1	NaN	1
8	1	25	+0.95	2	26	+0.07	+0.93	1	1	NaN	1
8	1	26	+0.95	2	27	+0.07	+0.93	1	1	NaN	1
8	1	27	+0.95	2	28	+0.07	+0.93	1	1	NaN	1
8	1	28	+0.95	2	29	+0.07	+0.93	1	1	NaN	1
8	1	29	+0.95	2	30	+0.06	+0.94	1	1	NaN	1
8	2	0	+0.59	1	2	+0.50	+0.50	0	0	NaN	0
8	2	1	+0.59	1	3	+0.33	+0.67	1	1	NaN	1
8	2	2	+0.59	1	4	+0.25	+0.75	1	1	NaN	1
8	2	3	+0.59	2	4	+0.20	+0.80	1	1	NaN	0
8	2	4	+0.59	2	5	+0.33	+0.67	1	1	NaN	1
8	2	5	+0.59	2	6	+0.29	+0.71	1	1	NaN	1
8	2	6	+0.59	2	7	+0.25	+0.75	1	1	NaN	1
8	2	7	+0.59	2	8	+0.22	+0.78	1	1	NaN	1
8	2	8	+0.59	2	9	+0.20	+0.80	1	1	NaN	1
8	2	9	+0.59	3	9	+0.18	+0.82	1	1	NaN	0
8	2	10	+0.59	3	10	+0.25	+0.75	1	1	NaN	1
8	2	11	+0.59	3	11	+0.23	+0.77	1	1	NaN	1
8	2	12	+0.59	3	12	+0.21	+0.79	1	1	NaN	1
8	2	13	+0.59	3	13	+0.20	+0.80	1	1	NaN	1
8	2	14	+0.59	3	14	+0.19	+0.81	1	1	NaN	1
8	2	15	+0.59	3	15	+0.18	+0.82	1	1	NaN	1
8	2	16	+0.59	3	16	+0.17	+0.83	1	1	NaN	1
8	2	17	+0.59	4	16	+0.16	+0.84	1	1	NaN	0
8	2	18	+0.59	4	17	+0.20	+0.80	1	1	NaN	1
8	2	19	+0.59	4	18	+0.19	+0.81	1	1	NaN	1
8	2	20	+0.59	4	19	+0.18	+0.82	1	1	NaN	1
8	2	21	+0.59	4	20	+0.17	+0.83	1	1	NaN	1
8	2	22	+0.59	4	21	+0.17	+0.83	1	1	NaN	1
8	2	23	+0.59	5	21	+0.16	+0.84	1	1	NaN	0
8	2	24	+0.59	5	22	+0.19	+0.81	1	1	NaN	1
8	2	25	+0.59	6	22	+0.19	+0.81	1	1	NaN	0
8	2	26	+0.59	6	23	+0.21	+0.79	1	1	NaN	1
8	2	27	+0.59	7	23	+0.21	+0.79	1	1	NaN	0
8	2	28	+0.59	8	23	+0.23	+0.77	1	1	NaN	0
8	2	29	+0.59	9	23	+0.26	+0.74	1	0	NaN	1
8	3	0	+0.01	2	1	+0.50	+0.50	0	0	NaN	1
8	3	1	+0.01	3	1	+0.67	+0.33	0	0	NaN	1
8	3	2	+0.01	4	1	+0.75	+0.25	0	0	NaN	1
8	3	3	+0.01	5	1	+0.80	+0.20	0	0	NaN	1
8	3	4	+0.01	6	1	+0.83	+0.17	0	0	NaN	1
8	3	5	+0.01	7	1	+0.86	+0.14	0	0	NaN	1
8	3	6	+0.01	8	1	+0.88	+0.12	0	0	NaN	1
8	3	7	+0.01	9	1	+0.89	+0.11	0	0	NaN	1
8	3	8	+0.01	10	1	+0.90	+0.10	0	0	NaN	1
8	3	9	+0.01	11	1	+0.91	+0.09	0	0	NaN	1
8	3	10	+0.01	12	1	+0.92	+0.08	0	0	NaN	1
8	3	11	+0.01	13	1	+0.92	+0.08	0	0	NaN	1
8	3	12	+0.01	14	1	+0.93	+0.07	0	0	NaN	1
8	3	13	+0.01	15	1	+0.93	+0.07	0	0	NaN	1
8	3	14	+0.01	16	1	+0.94	+0.06	0	0	NaN	1
8	3	15	+0.01	17	1	+0.94	+0.06	0	1	NaN	0
8	3	16	+0.01	18	1	+0.94	+0.06	0	0	NaN	1
8	3	17	+0.01	19	1	+0.95	+0.05	0	0	NaN	1
8	3	18	+0.01	20	1	+0.95	+0.05	0	0	NaN	1
8	3	19	+0.01	21	1	+0.95	+0.05	0	0	NaN	1
8	3	20	+0.01	22	1	+0.95	+0.05	0	1	NaN	0
8	3	21	+0.01	23	1	+0.96	+0.04	0	0	NaN	1
8	3	22	+0.01	24	1	+0.96	+0.04	0	0	NaN	1
8	3	23	+0.01	25	1	+0.96	+0.04	0	0	NaN	1
8	3	24	+0.01	26	1	+0.96	+0.04	0	0	NaN	1
8	3	25	+0.01	27	1	+0.96	+0.04	0	0	NaN	1
8	3	26	+0.01	28	1	+0.96	+0.04	0	0	NaN	1
8	3	27	+0.01	29	1	+0.97	+0.03	0	0	NaN	1
8	3	28	+0.01	30	1	+0.97	+0.03	0	0	NaN	1
8	3	29	+0.01	31	1	+0.97	+0.03	0	0	NaN	1
8	4	0	+0.84	2	1	+0.50	+0.50	0	0	NaN	1
8	4	1	+0.84	2	2	+0.67	+0.33	0	0	NaN	0
8	4	2	+0.84	2	3	+0.50	+0.50	0	0	NaN	0
8	4	3	+0.84	2	4	+0.40	+0.60	1	1	NaN	1
8	4	4	+0.84	2	5	+0.33	+0.67	1	1	NaN	1
8	4	5	+0.84	2	6	+0.29	+0.71	1	1	NaN	1
8	4	6	+0.84	2	7	+0.25	+0.75	1	1	NaN	1
8	4	7	+0.84	2	8	+0.22	+0.78	1	1	NaN	1
8	4	8	+0.84	2	9	+0.20	+0.80	1	1	NaN	1
8	4	9	+0.84	2	10	+0.18	+0.82	1	1	NaN	1
8	4	10	+0.84	2	11	+0.17	+0.83	1	1	NaN	1
8	4	11	+0.84	2	12	+0.15	+0.85	1	1	NaN	1
8	4	12	+0.84	2	13	+0.14	+0.86	1	1	NaN	1
8	4	13	+0.84	2	14	+0.13	+0.87	1	1	NaN	1
8	4	14	+0.84	2	15	+0.12	+0.88	1	1	NaN	1
8	4	15	+0.84	2	16	+0.12	+0.88	1	1	NaN	1
8	4	16	+0.84	2	17	+0.11	+0.89	1	1	NaN	1
8	4	17	+0.84	2	18	+0.11	+0.89	1	1	NaN	1
8	4	18	+0.84	2	19	+0.10	+0.90	1	1	NaN	1
8	4	19	+0.84	2	20	+0.10	+0.90	1	1	NaN	1
8	4	20	+0.84	2	21	+0.09	+0.91	1	1	NaN	1
8	4	21	+0.84	2	22	+0.09	+0.91	1	1	NaN	1
8	4	22	+0.84	3	22	+0.08	+0.92	1	1	NaN	0
8	4	23	+0.84	3	23	+0.12	+0.88	1	1	NaN	1
8	4	24	+0.84	3	24	+0.12	+0.88	1	1	NaN	1
8	4	25	+0.84	3	25	+0.11	+0.89	1	1	NaN	1
8	4	26	+0.84	3	26	+0.11	+0.89	1	1	NaN	1
8	4	27	+0.84	3	27	+0.10	+0.90	1	1	NaN	1
8	4	28	+0.84	3	28	+0.10	+0.90	1	1	NaN	1
8	4	29	+0.84	3	29	+0.10	+0.90	1	1	NaN	1
8	5	0	+0.99	1	2	+0.50	+0.50	0	0	NaN	0
8	5	1	+0.99	1	3	+0.33	+0.67	1	1	NaN	1
8	5	2	+0.99	1	4	+0.25	+0.75	1	1	NaN	1
8	5	3	+0.99	1	5	+0.20	+0.80	1	1	NaN	1
8	5	4	+0.99	1	6	+0.17	+0.83	1	1	NaN	1
8	5	5	+0.99	1	7	+0.14	+0.86	1	1	NaN	1
8	5	6	+0.99	1	8	+0.12	+0.88	1	1	NaN	1
8	5	7	+0.99	1	9	+0.11	+0.89	1	1	NaN	1
8	5	8	+0.99	1	10	+0.10	+0.90	1	1	NaN	1
8	5	9	+0.99	1	11	+0.09	+0.91	1	1	NaN	1
8	5	10	+0.99	1	12	+0.08	+0.92	1	0	NaN	0
8	5	11	+0.99	1	13	+0.08	+0.92	1	0	NaN	0
8	5	12	+0.99	1	14	+0.07	+0.93	1	1	NaN	1
8	5	13	+0.99	1	15	+0.07	+0.93	1	1	NaN	1
8	5	14	+0.99	1	16	+0.06	+0.94	1	1	NaN	1
8	5	15	+0.99	1	17	+0.06	+0.94	1	1	NaN	1
8	5	16	+0.99	1	18	+0.06	+0.94	1	1	NaN	1
8	5	17	+0.99	1	19	+0.05	+0.95	1	1	NaN	1
8	5	18	+0.99	1	20	+0.05	+0.95	1	1	NaN	1
8	5	19	+0.99	1	21	+0.05	+0.95	1	1	NaN	1
8	5	20	+0.99	1	22	+0.05	+0.95	1	1	NaN	1
8	5	21	+0.99	1	23	+0.04	+0.96	1	1	NaN	1
8	5	22	+0.99	1	24	+0.04	+0.96	1	1	NaN	1
