P	k	t	s_t	alpha_t_1	alpha_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
28	0	0	+0.65	1	2	+0.50	+0.50	0	0	NaN	0
28	0	1	+0.65	2	2	+0.33	+0.67	1	1	NaN	0
28	0	2	+0.65	2	3	+0.50	+0.50	0	1	NaN	1
28	0	3	+0.65	2	4	+0.40	+0.60	1	1	NaN	1
28	0	4	+0.65	3	4	+0.33	+0.67	1	1	NaN	0
28	0	5	+0.65	3	5	+0.43	+0.57	1	1	NaN	1
28	0	6	+0.65	3	6	+0.38	+0.62	1	1	NaN	1
28	0	7	+0.65	3	7	+0.33	+0.67	1	1	NaN	1
28	0	8	+0.65	3	8	+0.30	+0.70	1	1	NaN	1
28	0	9	+0.65	4	8	+0.27	+0.73	1	1	NaN	0
28	0	10	+0.65	4	9	+0.33	+0.67	1	1	NaN	1
28	0	11	+0.65	5	9	+0.31	+0.69	1	1	NaN	0
28	0	12	+0.65	5	10	+0.36	+0.64	1	1	NaN	1
28	0	13	+0.65	6	10	+0.33	+0.67	1	1	NaN	0
28	0	14	+0.65	6	11	+0.38	+0.62	1	1	NaN	1
28	0	15	+0.65	7	11	+0.35	+0.65	1	1	NaN	0
28	0	16	+0.65	8	11	+0.39	+0.61	1	0	NaN	1
28	0	17	+0.65	8	12	+0.42	+0.58	1	1	NaN	1
28	0	18	+0.65	8	13	+0.40	+0.60	1	1	NaN	1
28	0	19	+0.65	8	14	+0.38	+0.62	1	1	NaN	1
28	0	20	+0.65	8	15	+0.36	+0.64	1	1	NaN	1
28	0	21	+0.65	8	16	+0.35	+0.65	1	1	NaN	1
28	0	22	+0.65	9	16	+0.33	+0.67	1	1	NaN	0
28	0	23	+0.65	9	17	+0.36	+0.64	1	1	NaN	1
28	0	24	+0.65	10	17	+0.35	+0.65	1	1	NaN	0
28	0	25	+0.65	10	18	+0.37	+0.63	1	1	NaN	1
28	0	26	+0.65	11	18	+0.36	+0.64	1	1	NaN	0
28	0	27	+0.65	12	18	+0.38	+0.62	1	1	NaN	0
28	0	28	+0.65	13	18	+0.40	+0.60	1	1	NaN	0
28	0	29	+0.65	14	18	+0.42	+0.58	1	1	NaN	0
28	1	0	+0.81	1	2	+0.50	+0.50	0	0	NaN	0
28	1	1	+0.81	1	3	+0.33	+0.67	1	1	NaN	1
28	1	2	+0.81	1	4	+0.25	+0.75	1	1	NaN	1
28	1	3	+0.81	2	4	+0.20	+0.80	1	1	NaN	0
28	1	4	+0.81	2	5	+0.33	+0.67	1	1	NaN	1
28	1	5	+0.81	2	6	+0.29	+0.71	1	1	NaN	1
28	1	6	+0.81	2	7	+0.25	+0.75	1	1	NaN	1
28	1	7	+0.81	2	8	+0.22	+0.78	1	1	NaN	1
28	1	8	+0.81	3	8	+0.20	+0.80	1	1	NaN	0
28	1	9	+0.81	3	9	+0.27	+0.73	1	1	NaN	1
28	1	10	+0.81	3	10	+0.25	+0.75	1	0	NaN	0
28	1	11	+0.81	3	11	+0.23	+0.77	1	1	NaN	1
28	1	12	+0.81	3	12	+0.21	+0.79	1	1	NaN	1
28	1	13	+0.81	3	13	+0.20	+0.80	1	1	NaN	1
28	1	14	+0.81	3	14	+0.19	+0.81	1	1	NaN	1
28	1	15	+0.81	3	15	+0.18	+0.82	1	1	NaN	1
28	1	16	+0.81	4	15	+0.17	+0.83	1	1	NaN	0
28	1	17	+0.81	5	15	+0.21	+0.79	1	1	NaN	0
28	1	18	+0.81	6	15	+0.25	+0.75	1	1	NaN	0
28	1	19	+0.81	6	16	+0.29	+0.71	1	1	NaN	1
28	1	20	+0.81	6	17	+0.27	+0.73	1	1	NaN	1
28	1	21	+0.81	6	18	+0.26	+0.74	1	1	NaN	1
28	1	22	+0.81	6	19	+0.25	+0.75	1	1	NaN	1
28	1	23	+0.81	6	20	+0.24	+0.76	1	1	NaN	1
28	1	24	+0.81	6	21	+0.23	+0.77	1	1	NaN	1
28	1	25	+0.81	6	22	+0.22	+0.78	1	1	NaN	1
28	1	26	+0.81	7	22	+0.21	+0.79	1	1	NaN	0
28	1	27	+0.81	7	23	+0.24	+0.76	1	1	NaN	1
28	1	28	+0.81	7	24	+0.23	+0.77	1	1	NaN	1
28	1	29	+0.81	7	25	+0.23	+0.77	1	1	NaN	1
28	2	0	+0.10	2	1	+0.50	+0.50	0	0	NaN	1
28	2	1	+0.10	3	1	+0.67	+0.33	0	0	NaN	1
28	2	2	+0.10	4	1	+0.75	+0.25	0	0	NaN	1
28	2	3	+0.10	5	1	+0.80	+0.20	0	0	NaN	1
28	2	4	+0.10	6	1	+0.83	+0.17	0	0	NaN	1
28	2	5	+0.10	7	1	+0.86	+0.14	0	0	NaN	1
28	2	6	+0.10	8	1	+0.88	+0.12	0	0	NaN	1
28	2	7	+0.10	9	1	+0.89	+0.11	0	0	NaN	1
28	2	8	+0.10	10	1	+0.90	+0.10	0	0	NaN	1
