P	k	t	s_t	alpha_t_1	alpha_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
27	0	0	+0.46	2	1	+0.50	+0.50	0	0	NaN	1
27	0	1	+0.46	2	2	+0.67	+0.33	0	0	NaN	0
27	0	2	+0.46	2	3	+0.50	+0.50	0	0	NaN	0
27	0	3	+0.46	3	3	+0.40	+0.60	1	1	NaN	0
27	0	4	+0.46	4	3	+0.50	+0.50	0	0	NaN	1
27	0	5	+0.46	4	4	+0.57	+0.43	0	0	NaN	0
27	0	6	+0.46	5	4	+0.50	+0.50	0	0	NaN	1
27	0	7	+0.46	6	4	+0.56	+0.44	0	0	NaN	1
27	0	8	+0.46	7	4	+0.60	+0.40	0	0	NaN	1
27	0	9	+0.46	7	5	+0.64	+0.36	0	0	NaN	0
27	0	10	+0.46	8	5	+0.58	+0.42	0	0	NaN	1
27	0	11	+0.46	8	6	+0.62	+0.38	0	0	NaN	0
27	0	12	+0.46	9	6	+0.57	+0.43	0	0	NaN	1
27	0	13	+0.46	9	7	+0.60	+0.40	0	0	NaN	0
27	0	14	+0.46	9	8	+0.56	+0.44	0	0	NaN	0
27	0	15	+0.46	9	9	+0.53	+0.47	0	0	NaN	0
27	0	16	+0.46	9	10	+0.50	+0.50	0	0	NaN	0
27	0	17	+0.46	9	11	+0.47	+0.53	1	1	NaN	1
27	0	18	+0.46	10	11	+0.45	+0.55	1	1	NaN	0
27	0	19	+0.46	11	11	+0.48	+0.52	1	1	NaN	0
27	0	20	+0.46	11	12	+0.50	+0.50	0	0	NaN	0
27	0	21	+0.46	12	12	+0.48	+0.52	1	1	NaN	0
27	0	22	+0.46	12	13	+0.50	+0.50	0	0	NaN	0
27	0	23	+0.46	13	13	+0.48	+0.52	1	1	NaN	0
27	0	24	+0.46	13	14	+0.50	+0.50	0	0	NaN	0
27	0	25	+0.46	13	15	+0.48	+0.52	1	1	NaN	1
27	0	26	+0.46	13	16	+0.46	+0.54	1	1	NaN	1
27	0	27	+0.46	14	16	+0.45	+0.55	1	1	NaN	0
27	0	28	+0.46	14	17	+0.47	+0.53	1	1	NaN	1
27	0	29	+0.46	14	18	+0.45	+0.55	1	1	NaN	1
27	1	0	+0.70	1	2	+0.50	+0.50	0	0	NaN	0
27	1	1	+0.70	1	3	+0.33	+0.67	1	0	NaN	0
