P	k	t	s_t	alpha_t_1	alpha_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
26	0	0	+0.70	2	1	+0.50	+0.50	0	0	NaN	1
26	0	1	+0.70	2	2	+0.67	+0.33	0	0	NaN	0
26	0	2	+0.70	2	3	+0.50	+0.50	0	0	NaN	0
26	0	3	+0.70	2	4	+0.40	+0.60	1	1	NaN	1
26	0	4	+0.70	2	5	+0.33	+0.67	1	0	NaN	0
26	0	5	+0.70	2	6	+0.29	+0.71	1	1	NaN	1
26	0	6	+0.70	3	6	+0.25	+0.75	1	1	NaN	0
26	0	7	+0.70	3	7	+0.33	+0.67	1	1	NaN	1
26	0	8	+0.70	3	8	+0.30	+0.70	1	1	NaN	1
26	0	9	+0.70	3	9	+0.27	+0.73	1	1	NaN	1
26	0	10	+0.70	3	10	+0.25	+0.75	1	1	NaN	1
26	0	11	+0.70	4	10	+0.23	+0.77	1	1	NaN	0
26	0	12	+0.70	5	10	+0.29	+0.71	1	0	NaN	1
26	0	13	+0.70	5	11	+0.33	+0.67	1	1	NaN	1
26	0	14	+0.70	5	12	+0.31	+0.69	1	1	NaN	1
26	0	15	+0.70	5	13	+0.29	+0.71	1	1	NaN	1
26	0	16	+0.70	5	14	+0.28	+0.72	1	1	NaN	1
26	0	17	+0.70	5	15	+0.26	+0.74	1	1	NaN	1
26	0	18	+0.70	5	16	+0.25	+0.75	1	1	NaN	1
26	0	19	+0.70	5	17	+0.24	+0.76	1	1	NaN	1
26	0	20	+0.70	5	18	+0.23	+0.77	1	1	NaN	1
26	0	21	+0.70	5	19	+0.22	+0.78	1	1	NaN	1
26	0	22	+0.70	6	19	+0.21	+0.79	1	1	NaN	0
26	0	23	+0.70	6	20	+0.24	+0.76	1	1	NaN	1
26	0	24	+0.70	6	21	+0.23	+0.77	1	1	NaN	1
26	0	25	+0.70	6	22	+0.22	+0.78	1	1	NaN	1
26	0	26	+0.70	6	23	+0.21	+0.79	1	1	NaN	1
26	0	27	+0.70	6	24	+0.21	+0.79	1	1	NaN	1
26	0	28	+0.70	6	25	+0.20	+0.80	1	1	NaN	1
26	0	29	+0.70	7	25	+0.19	+0.81	1	1	NaN	0
26	1	0	+0.57	2	1	+0.50	+0.50	0	0	NaN	1
26	1	1	+0.57	2	2	+0.67	+0.33	0	0	NaN	0
26	1	2	+0.57	2	3	+0.50	+0.50	0	0	NaN	0
26	1	3	+0.57	3	3	+0.40	+0.60	1	1	NaN	0
26	1	4	+0.57	3	4	+0.50	+0.50	0	0	NaN	0
26	1	5	+0.57	4	4	+0.43	+0.57	1	1	NaN	0
26	1	6	+0.57	5	4	+0.50	+0.50	0	0	NaN	1
26	1	7	+0.57	6	4	+0.56	+0.44	0	0	NaN	1
26	1	8	+0.57	6	5	+0.60	+0.40	0	0	NaN	0
26	1	9	+0.57	6	6	+0.55	+0.45	0	0	NaN	0
26	1	10	+0.57	6	7	+0.50	+0.50	0	0	NaN	0
26	1	11	+0.57	6	8	+0.46	+0.54	1	1	NaN	1
26	1	12	+0.57	6	9	+0.43	+0.57	1	1	NaN	1
26	1	13	+0.57	6	10	+0.40	+0.60	1	1	NaN	1
26	1	14	+0.57	6	11	+0.38	+0.62	1	1	NaN	1
26	1	15	+0.57	6	12	+0.35	+0.65	1	1	NaN	1
26	1	16	+0.57	6	13	+0.33	+0.67	1	1	NaN	1
26	1	17	+0.57	6	14	+0.32	+0.68	1	1	NaN	1
26	1	18	+0.57	7	14	+0.30	+0.70	1	1	NaN	0
26	1	19	+0.57	8	14	+0.33	+0.67	1	1	NaN	0
26	1	20	+0.57	8	15	+0.36	+0.64	1	1	NaN	1
26	1	21	+0.57	9	15	+0.35	+0.65	1	1	NaN	0
26	1	22	+0.57	9	16	+0.38	+0.62	1	1	NaN	1
26	1	23	+0.57	10	16	+0.36	+0.64	1	1	NaN	0
26	1	24	+0.57	11	16	+0.38	+0.62	1	1	NaN	0
26	1	25	+0.57	12	16	+0.41	+0.59	1	1	NaN	0
26	1	26	+0.57	12	17	+0.43	+0.57	1	1	NaN	1
26	1	27	+0.57	12	18	+0.41	+0.59	1	1	NaN	1
26	1	28	+0.57	12	19	+0.40	+0.60	1	1	NaN	1
26	1	29	+0.57	13	19	+0.39	+0.61	1	1	NaN	0
26	2	0	+0.19	2	1	+0.50	+0.50	0	0	NaN	1
26	2	1	+0.19	3	1	+0.67	+0.33	0	0	NaN	1
26	2	2	+0.19	4	1	+0.75	+0.25	0	0	NaN	1
26	2	3	+0.19	5	1	+0.80	+0.20	0	0	NaN	1
26	2	4	+0.19	5	2	+0.83	+0.17	0	0	NaN	0
26	2	5	+0.19	6	2	+0.71	+0.29	0	0	NaN	1
26	2	6	+0.19	7	2	+0.75	+0.25	0	0	NaN	1
26	2	7	+0.19	7	3	+0.78	+0.22	0	0	NaN	0
26	2	8	+0.19	7	4	+0.70	+0.30	0	0	NaN	0
26	2	9	+0.19	8	4	+0.64	+0.36	0	0	NaN	1
26	2	10	+0.19	9	4	+0.67	+0.33	0	0	NaN	1
26	2	11	+0.19	10	4	+0.69	+0.31	0	0	NaN	1
26	2	12	+0.19	11	4	+0.71	+0.29	0	0	NaN	1
26	2	13	+0.19	12	4	+0.73	+0.27	0	0	NaN	1
26	2	14	+0.19	13	4	+0.75	+0.25	0	0	NaN	1
26	2	15	+0.19	14	4	+0.76	+0.24	0	0	NaN	1
26	2	16	+0.19	14	5	+0.78	+0.22	0	0	NaN	0
26	2	17	+0.19	15	5	+0.74	+0.26	0	0	NaN	1
26	2	18	+0.19	16	5	+0.75	+0.25	0	0	NaN	1
26	2	19	+0.19	16	6	+0.76	+0.24	0	0	NaN	0
26	2	20	+0.19	17	6	+0.73	+0.27	0	0	NaN	1
26	2	21	+0.19	18	6	+0.74	+0.26	0	0	NaN	1
26	2	22	+0.19	19	6	+0.75	+0.25	0	0	NaN	1
26	2	23	+0.19	20	6	+0.76	+0.24	0	0	NaN	1
26	2	24	+0.19	20	7	+0.77	+0.23	0	0	NaN	0
26	2	25	+0.19	21	7	+0.74	+0.26	0	0	NaN	1
26	2	26	+0.19	22	7	+0.75	+0.25	0	0	NaN	1
26	2	27	+0.19	23	7	+0.76	+0.24	0	1	NaN	0
26	2	28	+0.19	23	8	+0.77	+0.23	0	0	NaN	0
26	2	29	+0.19	24	8	+0.74	+0.26	0	0	NaN	1
26	3	0	+0.40	2	1	+0.50	+0.50	0	0	NaN	1
26	3	1	+0.40	3	1	+0.67	+0.33	0	0	NaN	1
26	3	2	+0.40	4	1	+0.75	+0.25	0	0	NaN	1
26	3	3	+0.40	5	1	+0.80	+0.20	0	0	NaN	1
26	3	4	+0.40	5	2	+0.83	+0.17	0	0	NaN	0
26	3	5	+0.40	6	2	+0.71	+0.29	0	0	NaN	1
26	3	6	+0.40	6	3	+0.75	+0.25	0	0	NaN	0
26	3	7	+0.40	7	3	+0.67	+0.33	0	0	NaN	1
26	3	8	+0.40	8	3	+0.70	+0.30	0	0	NaN	1
26	3	9	+0.40	8	4	+0.73	+0.27	0	0	NaN	0
26	3	10	+0.40	9	4	+0.67	+0.33	0	0	NaN	1
26	3	11	+0.40	9	5	+0.69	+0.31	0	0	NaN	0
26	3	12	+0.40	10	5	+0.64	+0.36	0	0	NaN	1
26	3	13	+0.40	11	5	+0.67	+0.33	0	0	NaN	1
26	3	14	+0.40	11	6	+0.69	+0.31	0	0	NaN	0
26	3	15	+0.40	12	6	+0.65	+0.35	0	0	NaN	1
26	3	16	+0.40	13	6	+0.67	+0.33	0	0	NaN	1
26	3	17	+0.40	13	7	+0.68	+0.32	0	0	NaN	0
26	3	18	+0.40	14	7	+0.65	+0.35	0	0	NaN	1
26	3	19	+0.40	15	7	+0.67	+0.33	0	0	NaN	1
26	3	20	+0.40	16	7	+0.68	+0.32	0	0	NaN	1
26	3	21	+0.40	17	7	+0.70	+0.30	0	0	NaN	1
26	3	22	+0.40	18	7	+0.71	+0.29	0	0	NaN	1
26	3	23	+0.40	19	7	+0.72	+0.28	0	0	NaN	1
