P	k	t	s_t	alpha_t_1	alpha_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
3	0	0	+0.19	2	1	+0.50	+0.50	0	0	NaN	1
3	0	1	+0.19	3	1	+0.67	+0.33	0	0	NaN	1
3	0	2	+0.19	4	1	+0.75	+0.25	0	0	NaN	1
3	0	3	+0.19	5	1	+0.80	+0.20	0	0	NaN	1
3	0	4	+0.19	6	1	+0.83	+0.17	0	1	NaN	0
3	0	5	+0.19	7	1	+0.86	+0.14	0	0	NaN	1
3	0	6	+0.19	8	1	+0.88	+0.12	0	0	NaN	1
3	0	7	+0.19	9	1	+0.89	+0.11	0	0	NaN	1
3	0	8	+0.19	10	1	+0.90	+0.10	0	1	NaN	0
3	0	9	+0.19	11	1	+0.91	+0.09	0	0	NaN	1
3	0	10	+0.19	12	1	+0.92	+0.08	0	0	NaN	1
3	0	11	+0.19	12	2	+0.92	+0.08	0	0	NaN	0
3	0	12	+0.19	13	2	+0.86	+0.14	0	0	NaN	1
3	0	13	+0.19	13	3	+0.87	+0.13	0	0	NaN	0
3	0	14	+0.19	14	3	+0.81	+0.19	0	0	NaN	1
3	0	15	+0.19	15	3	+0.82	+0.18	0	0	NaN	1
3	0	16	+0.19	16	3	+0.83	+0.17	0	0	NaN	1
3	0	17	+0.19	17	3	+0.84	+0.16	0	0	NaN	1
3	0	18	+0.19	18	3	+0.85	+0.15	0	1	NaN	0
3	0	19	+0.19	19	3	+0.86	+0.14	0	0	NaN	1
3	0	20	+0.19	20	3	+0.86	+0.14	0	0	NaN	1
3	0	21	+0.19	21	3	+0.87	+0.13	0	0	NaN	1
3	0	22	+0.19	22	3	+0.88	+0.12	0	1	NaN	0
3	0	23	+0.19	23	3	+0.88	+0.12	0	0	NaN	1
3	0	24	+0.19	24	3	+0.88	+0.12	0	0	NaN	1
3	0	25	+0.19	25	3	+0.89	+0.11	0	1	NaN	0
3	0	26	+0.19	26	3	+0.89	+0.11	0	0	NaN	1
3	0	27	+0.19	27	3	+0.90	+0.10	0	0	NaN	1
3	0	28	+0.19	27	4	+0.90	+0.10	0	0	NaN	0
3	0	29	+0.19	28	4	+0.87	+0.13	0	0	NaN	1
3	1	0	+0.20	2	1	+0.50	+0.50	0	0	NaN	1
3	1	1	+0.20	2	2	+0.67	+0.33	0	0	NaN	0
3	1	2	+0.20	3	2	+0.50	+0.50	0	0	NaN	1
3	1	3	+0.20	4	2	+0.60	+0.40	0	0	NaN	1
3	1	4	+0.20	5	2	+0.67	+0.33	0	0	NaN	1
3	1	5	+0.20	5	3	+0.71	+0.29	0	0	NaN	0
3	1	6	+0.20	5	4	+0.62	+0.38	0	0	NaN	0
3	1	7	+0.20	5	5	+0.56	+0.44	0	0	NaN	0
3	1	8	+0.20	6	5	+0.50	+0.50	0	0	NaN	1
3	1	9	+0.20	7	5	+0.55	+0.45	0	0	NaN	1
3	1	10	+0.20	8	5	+0.58	+0.42	0	0	NaN	1
3	1	11	+0.20	9	5	+0.62	+0.38	0	0	NaN	1
3	1	12	+0.20	10	5	+0.64	+0.36	0	0	NaN	1
3	1	13	+0.20	11	5	+0.67	+0.33	0	0	NaN	1
3	1	14	+0.20	12	5	+0.69	+0.31	0	0	NaN	1
3	1	15	+0.20	13	5	+0.71	+0.29	0	0	NaN	1
3	1	16	+0.20	14	5	+0.72	+0.28	0	0	NaN	1
