P	k	t	s_t	alpha_t_1	alpha_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
45	0	0	+0.05	1	2	+0.50	+0.50	0	0	NaN	0
45	0	1	+0.05	2	2	+0.33	+0.67	1	1	NaN	0
45	0	2	+0.05	3	2	+0.50	+0.50	0	0	NaN	1
45	0	3	+0.05	4	2	+0.60	+0.40	0	0	NaN	1
45	0	4	+0.05	5	2	+0.67	+0.33	0	0	NaN	1
45	0	5	+0.05	5	3	+0.71	+0.29	0	0	NaN	0
45	0	6	+0.05	6	3	+0.62	+0.38	0	0	NaN	1
45	0	7	+0.05	7	3	+0.67	+0.33	0	1	NaN	0
45	0	8	+0.05	8	3	+0.70	+0.30	0	0	NaN	1
45	0	9	+0.05	8	4	+0.73	+0.27	0	0	NaN	0
45	0	10	+0.05	9	4	+0.67	+0.33	0	0	NaN	1
45	0	11	+0.05	10	4	+0.69	+0.31	0	0	NaN	1
45	0	12	+0.05	11	4	+0.71	+0.29	0	0	NaN	1
45	0	13	+0.05	12	4	+0.73	+0.27	0	0	NaN	1
45	0	14	+0.05	13	4	+0.75	+0.25	0	0	NaN	1
45	0	15	+0.05	14	4	+0.76	+0.24	0	0	NaN	1
45	0	16	+0.05	14	5	+0.78	+0.22	0	0	NaN	0
45	0	17	+0.05	15	5	+0.74	+0.26	0	0	NaN	1
45	0	18	+0.05	16	5	+0.75	+0.25	0	0	NaN	1
45	0	19	+0.05	17	5	+0.76	+0.24	0	0	NaN	1
45	0	20	+0.05	18	5	+0.77	+0.23	0	0	NaN	1
45	0	21	+0.05	19	5	+0.78	+0.22	0	0	NaN	1
45	0	22	+0.05	20	5	+0.79	+0.21	0	0	NaN	1
45	0	23	+0.05	21	5	+0.80	+0.20	0	0	NaN	1
45	0	24	+0.05	22	5	+0.81	+0.19	0	0	NaN	1
45	0	25	+0.05	23	5	+0.81	+0.19	0	0	NaN	1
45	0	26	+0.05	24	5	+0.82	+0.18	0	0	NaN	1
45	0	27	+0.05	25	5	+0.83	+0.17	0	0	NaN	1
45	0	28	+0.05	26	5	+0.83	+0.17	0	0	NaN	1
