P	k	t	s_t	alpha_t_1	alpha_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
19	0	0	+0.87	1	2	+0.50	+0.50	0	0	NaN	0
19	0	1	+0.87	2	2	+0.33	+0.67	1	1	NaN	0
19	0	2	+0.87	2	3	+0.50	+0.50	0	0	NaN	0
19	0	3	+0.87	2	4	+0.40	+0.60	1	1	NaN	1
19	0	4	+0.87	2	5	+0.33	+0.67	1	1	NaN	1
19	0	5	+0.87	3	5	+0.29	+0.71	1	1	NaN	0
19	0	6	+0.87	3	6	+0.38	+0.62	1	1	NaN	1
19	0	7	+0.87	3	7	+0.33	+0.67	1	1	NaN	1
19	0	8	+0.87	3	8	+0.30	+0.70	1	1	NaN	1
19	0	9	+0.87	3	9	+0.27	+0.73	1	1	NaN	1
19	0	10	+0.87	3	10	+0.25	+0.75	1	1	NaN	1
19	0	11	+0.87	4	10	+0.23	+0.77	1	1	NaN	0
19	0	12	+0.87	5	10	+0.29	+0.71	1	1	NaN	0
19	0	13	+0.87	5	11	+0.33	+0.67	1	1	NaN	1
19	0	14	+0.87	5	12	+0.31	+0.69	1	1	NaN	1
19	0	15	+0.87	5	13	+0.29	+0.71	1	1	NaN	1
19	0	16	+0.87	5	14	+0.28	+0.72	1	1	NaN	1
19	0	17	+0.87	5	15	+0.26	+0.74	1	1	NaN	1
19	0	18	+0.87	6	15	+0.25	+0.75	1	1	NaN	0
19	0	19	+0.87	6	16	+0.29	+0.71	1	1	NaN	1
19	0	20	+0.87	7	16	+0.27	+0.73	1	1	NaN	0
19	0	21	+0.87	7	17	+0.30	+0.70	1	1	NaN	1
19	0	22	+0.87	7	18	+0.29	+0.71	1	1	NaN	1
19	0	23	+0.87	7	19	+0.28	+0.72	1	1	NaN	1
19	0	24	+0.87	7	20	+0.27	+0.73	1	1	NaN	1
19	0	25	+0.87	8	20	+0.26	+0.74	1	1	NaN	0
19	0	26	+0.87	8	21	+0.29	+0.71	1	1	NaN	1
19	0	27	+0.87	8	22	+0.28	+0.72	1	1	NaN	1
19	0	28	+0.87	8	23	+0.27	+0.73	1	1	NaN	1
19	0	29	+0.87	9	23	+0.26	+0.74	1	1	NaN	0
19	1	0	+0.12	1	2	+0.50	+0.50	0	0	NaN	0
19	1	1	+0.12	2	2	+0.33	+0.67	1	0	NaN	1
19	1	2	+0.12	3	2	+0.50	+0.50	0	0	NaN	1
19	1	3	+0.12	4	2	+0.60	+0.40	0	0	NaN	1
19	1	4	+0.12	5	2	+0.67	+0.33	0	0	NaN	1
19	1	5	+0.12	6	2	+0.71	+0.29	0	0	NaN	1
19	1	6	+0.12	7	2	+0.75	+0.25	0	0	NaN	1
19	1	7	+0.12	8	2	+0.78	+0.22	0	0	NaN	1
19	1	8	+0.12	9	2	+0.80	+0.20	0	0	NaN	1
19	1	9	+0.12	10	2	+0.82	+0.18	0	0	NaN	1
19	1	10	+0.12	11	2	+0.83	+0.17	0	0	NaN	1
19	1	11	+0.12	12	2	+0.85	+0.15	0	0	NaN	1
19	1	12	+0.12	13	2	+0.86	+0.14	0	1	NaN	0
19	1	13	+0.12	14	2	+0.87	+0.13	0	0	NaN	1
19	1	14	+0.12	15	2	+0.88	+0.12	0	0	NaN	1
19	1	15	+0.12	16	2	+0.88	+0.12	0	0	NaN	1
19	1	16	+0.12	17	2	+0.89	+0.11	0	0	NaN	1
19	1	17	+0.12	18	2	+0.89	+0.11	0	0	NaN	1
19	1	18	+0.12	19	2	+0.90	+0.10	0	0	NaN	1
19	1	19	+0.12	20	2	+0.90	+0.10	0	0	NaN	1
19	1	20	+0.12	21	2	+0.91	+0.09	0	0	NaN	1
19	1	21	+0.12	22	2	+0.91	+0.09	0	0	NaN	1
19	1	22	+0.12	23	2	+0.92	+0.08	0	0	NaN	1
19	1	23	+0.12	24	2	+0.92	+0.08	0	0	NaN	1
19	1	24	+0.12	25	2	+0.92	+0.08	0	0	NaN	1
19	1	25	+0.12	26	2	+0.93	+0.07	0	0	NaN	1
19	1	26	+0.12	27	2	+0.93	+0.07	0	0	NaN	1
19	1	27	+0.12	27	3	+0.93	+0.07	0	0	NaN	0
19	1	28	+0.12	28	3	+0.90	+0.10	0	0	NaN	1
19	1	29	+0.12	29	3	+0.90	+0.10	0	0	NaN	1
19	2	0	+0.18	2	1	+0.50	+0.50	0	0	NaN	1
19	2	1	+0.18	3	1	+0.67	+0.33	0	0	NaN	1
19	2	2	+0.18	3	2	+0.75	+0.25	0	0	NaN	0
19	2	3	+0.18	4	2	+0.60	+0.40	0	0	NaN	1
19	2	4	+0.18	5	2	+0.67	+0.33	0	0	NaN	1
19	2	5	+0.18	6	2	+0.71	+0.29	0	0	NaN	1
19	2	6	+0.18	7	2	+0.75	+0.25	0	0	NaN	1
19	2	7	+0.18	8	2	+0.78	+0.22	0	0	NaN	1
19	2	8	+0.18	9	2	+0.80	+0.20	0	0	NaN	1
19	2	9	+0.18	10	2	+0.82	+0.18	0	0	NaN	1
19	2	10	+0.18	11	2	+0.83	+0.17	0	0	NaN	1
19	2	11	+0.18	12	2	+0.85	+0.15	0	0	NaN	1
19	2	12	+0.18	13	2	+0.86	+0.14	0	0	NaN	1
19	2	13	+0.18	14	2	+0.87	+0.13	0	0	NaN	1
19	2	14	+0.18	14	3	+0.88	+0.12	0	0	NaN	0
19	2	15	+0.18	15	3	+0.82	+0.18	0	0	NaN	1
19	2	16	+0.18	16	3	+0.83	+0.17	0	0	NaN	1
19	2	17	+0.18	17	3	+0.84	+0.16	0	0	NaN	1
19	2	18	+0.18	18	3	+0.85	+0.15	0	0	NaN	1
19	2	19	+0.18	19	3	+0.86	+0.14	0	0	NaN	1
19	2	20	+0.18	19	4	+0.86	+0.14	0	0	NaN	0
19	2	21	+0.18	20	4	+0.83	+0.17	0	0	NaN	1
19	2	22	+0.18	21	4	+0.83	+0.17	0	0	NaN	1
19	2	23	+0.18	21	5	+0.84	+0.16	0	0	NaN	0
19	2	24	+0.18	22	5	+0.81	+0.19	0	0	NaN	1
19	2	25	+0.18	23	5	+0.81	+0.19	0	0	NaN	1
19	2	26	+0.18	24	5	+0.82	+0.18	0	1	NaN	0
19	2	27	+0.18	25	5	+0.83	+0.17	0	0	NaN	1
19	2	28	+0.18	26	5	+0.83	+0.17	0	0	NaN	1
19	2	29	+0.18	26	6	+0.84	+0.16	0	0	NaN	0
19	3	0	+0.40	2	1	+0.50	+0.50	0	0	NaN	1
19	3	1	+0.40	3	1	+0.67	+0.33	0	0	NaN	1
19	3	2	+0.40	3	2	+0.75	+0.25	0	0	NaN	0
19	3	3	+0.40	4	2	+0.60	+0.40	0	0	NaN	1
19	3	4	+0.40	5	2	+0.67	+0.33	0	0	NaN	1
19	3	5	+0.40	5	3	+0.71	+0.29	0	0	NaN	0
19	3	6	+0.40	6	3	+0.62	+0.38	0	1	NaN	0
19	3	7	+0.40	7	3	+0.67	+0.33	0	0	NaN	1
19	3	8	+0.40	7	4	+0.70	+0.30	0	0	NaN	0
19	3	9	+0.40	8	4	+0.64	+0.36	0	0	NaN	1
19	3	10	+0.40	9	4	+0.67	+0.33	0	0	NaN	1
19	3	11	+0.40	10	4	+0.69	+0.31	0	0	NaN	1
19	3	12	+0.40	11	4	+0.71	+0.29	0	0	NaN	1
19	3	13	+0.40	11	5	+0.73	+0.27	0	0	NaN	0
19	3	14	+0.40	11	6	+0.69	+0.31	0	0	NaN	0
19	3	15	+0.40	11	7	+0.65	+0.35	0	0	NaN	0
19	3	16	+0.40	12	7	+0.61	+0.39	0	0	NaN	1
19	3	17	+0.40	13	7	+0.63	+0.37	0	0	NaN	1
19	3	18	+0.40	14	7	+0.65	+0.35	0	0	NaN	1
19	3	19	+0.40	15	7	+0.67	+0.33	0	0	NaN	1
19	3	20	+0.40	15	8	+0.68	+0.32	0	0	NaN	0
19	3	21	+0.40	16	8	+0.65	+0.35	0	0	NaN	1
19	3	22	+0.40	17	8	+0.67	+0.33	0	0	NaN	1
19	3	23	+0.40	18	8	+0.68	+0.32	0	0	NaN	1
19	3	24	+0.40	18	9	+0.69	+0.31	0	0	NaN	0
19	3	25	+0.40	19	9	+0.67	+0.33	0	0	NaN	1
19	3	26	+0.40	20	9	+0.68	+0.32	0	0	NaN	1
19	3	27	+0.40	21	9	+0.69	+0.31	0	0	NaN	1
19	3	28	+0.40	22	9	+0.70	+0.30	0	0	NaN	1
19	3	29	+0.40	23	9	+0.71	+0.29	0	0	NaN	1
19	4	0	+0.26	2	1	+0.50	+0.50	0	0	NaN	1
19	4	1	+0.26	3	1	+0.67	+0.33	0	0	NaN	1
19	4	2	+0.26	3	2	+0.75	+0.25	0	0	NaN	0
19	4	3	+0.26	4	2	+0.60	+0.40	0	0	NaN	1
19	4	4	+0.26	5	2	+0.67	+0.33	0	0	NaN	1
19	4	5	+0.26	6	2	+0.71	+0.29	0	0	NaN	1
19	4	6	+0.26	6	3	+0.75	+0.25	0	0	NaN	0
19	4	7	+0.26	7	3	+0.67	+0.33	0	0	NaN	1
19	4	8	+0.26	8	3	+0.70	+0.30	0	0	NaN	1
19	4	9	+0.26	9	3	+0.73	+0.27	0	0	NaN	1
19	4	10	+0.26	10	3	+0.75	+0.25	0	0	NaN	1
19	4	11	+0.26	10	4	+0.77	+0.23	0	0	NaN	0
19	4	12	+0.26	11	4	+0.71	+0.29	0	1	NaN	0
19	4	13	+0.26	11	5	+0.73	+0.27	0	0	NaN	0
19	4	14	+0.26	12	5	+0.69	+0.31	0	0	NaN	1
19	4	15	+0.26	13	5	+0.71	+0.29	0	0	NaN	1
19	4	16	+0.26	14	5	+0.72	+0.28	0	0	NaN	1
19	4	17	+0.26	14	6	+0.74	+0.26	0	0	NaN	0
19	4	18	+0.26	15	6	+0.70	+0.30	0	0	NaN	1
19	4	19	+0.26	16	6	+0.71	+0.29	0	0	NaN	1
19	4	20	+0.26	16	7	+0.73	+0.27	0	0	NaN	0
19	4	21	+0.26	17	7	+0.70	+0.30	0	0	NaN	1
