P	k	t	s_t	alpha_t_1	alpha_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
25	0	0	+0.76	1	2	+0.50	+0.50	0	0	NaN	0
25	0	1	+0.76	1	3	+0.33	+0.67	1	1	NaN	1
25	0	2	+0.76	1	4	+0.25	+0.75	1	1	NaN	1
25	0	3	+0.76	1	5	+0.20	+0.80	1	0	NaN	0
25	0	4	+0.76	1	6	+0.17	+0.83	1	1	NaN	1
25	0	5	+0.76	1	7	+0.14	+0.86	1	1	NaN	1
25	0	6	+0.76	1	8	+0.12	+0.88	1	1	NaN	1
25	0	7	+0.76	1	9	+0.11	+0.89	1	1	NaN	1
25	0	8	+0.76	1	10	+0.10	+0.90	1	1	NaN	1
25	0	9	+0.76	1	11	+0.09	+0.91	1	1	NaN	1
25	0	10	+0.76	1	12	+0.08	+0.92	1	0	NaN	0
25	0	11	+0.76	2	12	+0.08	+0.92	1	1	NaN	0
25	0	12	+0.76	2	13	+0.14	+0.86	1	1	NaN	1
25	0	13	+0.76	2	14	+0.13	+0.87	1	1	NaN	1
25	0	14	+0.76	2	15	+0.12	+0.88	1	1	NaN	1
25	0	15	+0.76	2	16	+0.12	+0.88	1	1	NaN	1
25	0	16	+0.76	2	17	+0.11	+0.89	1	1	NaN	1
25	0	17	+0.76	2	18	+0.11	+0.89	1	1	NaN	1
25	0	18	+0.76	3	18	+0.10	+0.90	1	1	NaN	0
25	0	19	+0.76	3	19	+0.14	+0.86	1	1	NaN	1
25	0	20	+0.76	3	20	+0.14	+0.86	1	1	NaN	1
25	0	21	+0.76	4	20	+0.13	+0.87	1	1	NaN	0
25	0	22	+0.76	4	21	+0.17	+0.83	1	1	NaN	1
25	0	23	+0.76	4	22	+0.16	+0.84	1	1	NaN	1
25	0	24	+0.76	4	23	+0.15	+0.85	1	1	NaN	1
25	0	25	+0.76	4	24	+0.15	+0.85	1	1	NaN	1
25	0	26	+0.76	4	25	+0.14	+0.86	1	1	NaN	1
25	0	27	+0.76	4	26	+0.14	+0.86	1	1	NaN	1
25	0	28	+0.76	4	27	+0.13	+0.87	1	1	NaN	1
25	0	29	+0.76	4	28	+0.13	+0.87	1	1	NaN	1
25	1	0	+0.77	2	1	+0.50	+0.50	0	0	NaN	1
25	1	1	+0.77	2	2	+0.67	+0.33	0	0	NaN	0
25	1	2	+0.77	2	3	+0.50	+0.50	0	1	NaN	1
25	1	3	+0.77	2	4	+0.40	+0.60	1	1	NaN	1
25	1	4	+0.77	3	4	+0.33	+0.67	1	1	NaN	0
25	1	5	+0.77	3	5	+0.43	+0.57	1	1	NaN	1
25	1	6	+0.77	3	6	+0.38	+0.62	1	1	NaN	1
25	1	7	+0.77	4	6	+0.33	+0.67	1	1	NaN	0
25	1	8	+0.77	5	6	+0.40	+0.60	1	1	NaN	0
25	1	9	+0.77	5	7	+0.45	+0.55	1	1	NaN	1
25	1	10	+0.77	5	8	+0.42	+0.58	1	1	NaN	1
25	1	11	+0.77	5	9	+0.38	+0.62	1	1	NaN	1
25	1	12	+0.77	5	10	+0.36	+0.64	1	1	NaN	1
25	1	13	+0.77	5	11	+0.33	+0.67	1	1	NaN	1
25	1	14	+0.77	5	12	+0.31	+0.69	1	1	NaN	1
25	1	15	+0.77	5	13	+0.29	+0.71	1	0	NaN	0
25	1	16	+0.77	6	13	+0.28	+0.72	1	1	NaN	0
25	1	17	+0.77	7	13	+0.32	+0.68	1	1	NaN	0
25	1	18	+0.77	8	13	+0.35	+0.65	1	1	NaN	0
25	1	19	+0.77	9	13	+0.38	+0.62	1	1	NaN	0
25	1	20	+0.77	9	14	+0.41	+0.59	1	1	NaN	1
25	1	21	+0.77	10	14	+0.39	+0.61	1	1	NaN	0
25	1	22	+0.77	10	15	+0.42	+0.58	1	1	NaN	1
25	1	23	+0.77	10	16	+0.40	+0.60	1	1	NaN	1
25	1	24	+0.77	11	16	+0.38	+0.62	1	1	NaN	0
25	1	25	+0.77	12	16	+0.41	+0.59	1	1	NaN	0
25	1	26	+0.77	13	16	+0.43	+0.57	1	1	NaN	0
25	1	27	+0.77	13	17	+0.45	+0.55	1	1	NaN	1
25	1	28	+0.77	14	17	+0.43	+0.57	1	1	NaN	0
25	1	29	+0.77	14	18	+0.45	+0.55	1	1	NaN	1
25	2	0	+0.61	2	1	+0.50	+0.50	0	0	NaN	1
25	2	1	+0.61	3	1	+0.67	+0.33	0	0	NaN	1
25	2	2	+0.61	4	1	+0.75	+0.25	0	0	NaN	1
25	2	3	+0.61	5	1	+0.80	+0.20	0	1	NaN	0
25	2	4	+0.61	5	2	+0.83	+0.17	0	0	NaN	0
25	2	5	+0.61	6	2	+0.71	+0.29	0	0	NaN	1
25	2	6	+0.61	6	3	+0.75	+0.25	0	0	NaN	0
25	2	7	+0.61	6	4	+0.67	+0.33	0	0	NaN	0
25	2	8	+0.61	6	5	+0.60	+0.40	0	0	NaN	0
25	2	9	+0.61	6	6	+0.55	+0.45	0	0	NaN	0
25	2	10	+0.61	7	6	+0.50	+0.50	0	0	NaN	1
