P	k	t	s_t	alpha_t_1	alpha_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
42	0	0	+0.55	2	1	+0.50	+0.50	0	0	NaN	1
42	0	1	+0.55	3	1	+0.67	+0.33	0	0	NaN	1
42	0	2	+0.55	4	1	+0.75	+0.25	0	0	NaN	1
42	0	3	+0.55	4	2	+0.80	+0.20	0	0	NaN	0
42	0	4	+0.55	5	2	+0.67	+0.33	0	0	NaN	1
42	0	5	+0.55	5	3	+0.71	+0.29	0	0	NaN	0
42	0	6	+0.55	6	3	+0.62	+0.38	0	0	NaN	1
42	0	7	+0.55	6	4	+0.67	+0.33	0	0	NaN	0
42	0	8	+0.55	6	5	+0.60	+0.40	0	0	NaN	0
42	0	9	+0.55	6	6	+0.55	+0.45	0	0	NaN	0
42	0	10	+0.55	6	7	+0.50	+0.50	0	1	NaN	1
42	0	11	+0.55	7	7	+0.46	+0.54	1	1	NaN	0
42	0	12	+0.55	7	8	+0.50	+0.50	0	0	NaN	0
42	0	13	+0.55	8	8	+0.47	+0.53	1	1	NaN	0
42	0	14	+0.55	8	9	+0.50	+0.50	0	0	NaN	0
42	0	15	+0.55	8	10	+0.47	+0.53	1	1	NaN	1
42	0	16	+0.55	9	10	+0.44	+0.56	1	1	NaN	0
42	0	17	+0.55	9	11	+0.47	+0.53	1	1	NaN	1
42	0	18	+0.55	10	11	+0.45	+0.55	1	1	NaN	0
42	0	19	+0.55	11	11	+0.48	+0.52	1	1	NaN	0
42	0	20	+0.55	11	12	+0.50	+0.50	0	0	NaN	0
42	0	21	+0.55	11	13	+0.48	+0.52	1	1	NaN	1
42	0	22	+0.55	11	14	+0.46	+0.54	1	1	NaN	1
42	0	23	+0.55	12	14	+0.44	+0.56	1	1	NaN	0
42	0	24	+0.55	13	14	+0.46	+0.54	1	0	NaN	1
42	0	25	+0.55	13	15	+0.48	+0.52	1	1	NaN	1
42	0	26	+0.55	14	15	+0.46	+0.54	1	1	NaN	0
42	0	27	+0.55	14	16	+0.48	+0.52	1	1	NaN	1
42	0	28	+0.55	14	17	+0.47	+0.53	1	1	NaN	1
42	0	29	+0.55	14	18	+0.45	+0.55	1	1	NaN	1
42	1	0	+0.45	2	1	+0.50	+0.50	0	0	NaN	1
42	1	1	+0.45	3	1	+0.67	+0.33	0	0	NaN	1
42	1	2	+0.45	3	2	+0.75	+0.25	0	0	NaN	0
42	1	3	+0.45	3	3	+0.60	+0.40	0	0	NaN	0
42	1	4	+0.45	3	4	+0.50	+0.50	0	0	NaN	0
42	1	5	+0.45	3	5	+0.43	+0.57	1	1	NaN	1
42	1	6	+0.45	3	6	+0.38	+0.62	1	1	NaN	1
42	1	7	+0.45	4	6	+0.33	+0.67	1	1	NaN	0
42	1	8	+0.45	5	6	+0.40	+0.60	1	1	NaN	0
42	1	9	+0.45	6	6	+0.45	+0.55	1	1	NaN	0
42	1	10	+0.45	6	7	+0.50	+0.50	0	0	NaN	0
42	1	11	+0.45	7	7	+0.46	+0.54	1	1	NaN	0
42	1	12	+0.45	8	7	+0.50	+0.50	0	0	NaN	1
42	1	13	+0.45	9	7	+0.53	+0.47	0	0	NaN	1
42	1	14	+0.45	10	7	+0.56	+0.44	0	0	NaN	1
42	1	15	+0.45	10	8	+0.59	+0.41	0	0	NaN	0
42	1	16	+0.45	10	9	+0.56	+0.44	0	0	NaN	0
42	1	17	+0.45	11	9	+0.53	+0.47	0	0	NaN	1
42	1	18	+0.45	11	10	+0.55	+0.45	0	0	NaN	0
42	1	19	+0.45	11	11	+0.52	+0.48	0	0	NaN	0
42	1	20	+0.45	12	11	+0.50	+0.50	0	0	NaN	1
42	1	21	+0.45	12	12	+0.52	+0.48	0	0	NaN	0
42	1	22	+0.45	12	13	+0.50	+0.50	0	0	NaN	0
42	1	23	+0.45	12	14	+0.48	+0.52	1	1	NaN	1
42	1	24	+0.45	12	15	+0.46	+0.54	1	1	NaN	1
42	1	25	+0.45	12	16	+0.44	+0.56	1	1	NaN	1
42	1	26	+0.45	12	17	+0.43	+0.57	1	1	NaN	1
42	1	27	+0.45	12	18	+0.41	+0.59	1	1	NaN	1
42	1	28	+0.45	13	18	+0.40	+0.60	1	1	NaN	0
42	1	29	+0.45	14	18	+0.42	+0.58	1	1	NaN	0
42	2	0	+0.22	2	1	+0.50	+0.50	0	0	NaN	1
42	2	1	+0.22	3	1	+0.67	+0.33	0	0	NaN	1
42	2	2	+0.22	4	1	+0.75	+0.25	0	1	NaN	0
42	2	3	+0.22	5	1	+0.80	+0.20	0	0	NaN	1
42	2	4	+0.22	5	2	+0.83	+0.17	0	0	NaN	0
