P	k	t	s_t	alpha_t_1	alpha_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
38	0	0	+0.61	2	1	+0.50	+0.50	0	0	NaN	1
38	0	1	+0.61	2	2	+0.67	+0.33	0	0	NaN	0
38	0	2	+0.61	3	2	+0.50	+0.50	0	0	NaN	1
38	0	3	+0.61	4	2	+0.60	+0.40	0	0	NaN	1
38	0	4	+0.61	5	2	+0.67	+0.33	0	0	NaN	1
38	0	5	+0.61	6	2	+0.71	+0.29	0	0	NaN	1
38	0	6	+0.61	6	3	+0.75	+0.25	0	0	NaN	0
38	0	7	+0.61	6	4	+0.67	+0.33	0	0	NaN	0
38	0	8	+0.61	6	5	+0.60	+0.40	0	0	NaN	0
38	0	9	+0.61	6	6	+0.55	+0.45	0	0	NaN	0
38	0	10	+0.61	6	7	+0.50	+0.50	0	0	NaN	0
38	0	11	+0.61	6	8	+0.46	+0.54	1	1	NaN	1
38	0	12	+0.61	7	8	+0.43	+0.57	1	1	NaN	0
38	0	13	+0.61	8	8	+0.47	+0.53	1	1	NaN	0
38	0	14	+0.61	8	9	+0.50	+0.50	0	0	NaN	0
38	0	15	+0.61	8	10	+0.47	+0.53	1	1	NaN	1
38	0	16	+0.61	9	10	+0.44	+0.56	1	1	NaN	0
38	0	17	+0.61	10	10	+0.47	+0.53	1	1	NaN	0
38	0	18	+0.61	11	10	+0.50	+0.50	0	0	NaN	1
38	0	19	+0.61	11	11	+0.52	+0.48	0	0	NaN	0
38	0	20	+0.61	12	11	+0.50	+0.50	0	0	NaN	1
38	0	21	+0.61	13	11	+0.52	+0.48	0	0	NaN	1
38	0	22	+0.61	14	11	+0.54	+0.46	0	0	NaN	1
38	0	23	+0.61	15	11	+0.56	+0.44	0	0	NaN	1
38	0	24	+0.61	15	12	+0.58	+0.42	0	0	NaN	0
38	0	25	+0.61	15	13	+0.56	+0.44	0	0	NaN	0
38	0	26	+0.61	15	14	+0.54	+0.46	0	0	NaN	0
38	0	27	+0.61	16	14	+0.52	+0.48	0	0	NaN	1
38	0	28	+0.61	17	14	+0.53	+0.47	0	0	NaN	1
38	0	29	+0.61	17	15	+0.55	+0.45	0	0	NaN	0
38	1	0	+0.25	1	2	+0.50	+0.50	0	0	NaN	0
38	1	1	+0.25	1	3	+0.33	+0.67	1	1	NaN	1
38	1	2	+0.25	1	4	+0.25	+0.75	1	0	NaN	0
