P	k	t	s_t	alpha_t_1	alpha_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
36	0	0	+0.62	1	2	+0.50	+0.50	0	0	NaN	0
36	0	1	+0.62	2	2	+0.33	+0.67	1	1	NaN	0
36	0	2	+0.62	2	3	+0.50	+0.50	0	0	NaN	0
36	0	3	+0.62	3	3	+0.40	+0.60	1	1	NaN	0
36	0	4	+0.62	4	3	+0.50	+0.50	0	0	NaN	1
36	0	5	+0.62	4	4	+0.57	+0.43	0	0	NaN	0
36	0	6	+0.62	4	5	+0.50	+0.50	0	0	NaN	0
36	0	7	+0.62	4	6	+0.44	+0.56	1	1	NaN	1
36	0	8	+0.62	5	6	+0.40	+0.60	1	0	NaN	1
36	0	9	+0.62	6	6	+0.45	+0.55	1	1	NaN	0
36	0	10	+0.62	6	7	+0.50	+0.50	0	0	NaN	0
36	0	11	+0.62	6	8	+0.46	+0.54	1	1	NaN	1
36	0	12	+0.62	7	8	+0.43	+0.57	1	1	NaN	0
36	0	13	+0.62	7	9	+0.47	+0.53	1	1	NaN	1
36	0	14	+0.62	7	10	+0.44	+0.56	1	1	NaN	1
36	0	15	+0.62	7	11	+0.41	+0.59	1	0	NaN	0
36	0	16	+0.62	7	12	+0.39	+0.61	1	1	NaN	1
36	0	17	+0.62	8	12	+0.37	+0.63	1	1	NaN	0
36	0	18	+0.62	8	13	+0.40	+0.60	1	1	NaN	1
36	0	19	+0.62	9	13	+0.38	+0.62	1	1	NaN	0
36	0	20	+0.62	10	13	+0.41	+0.59	1	1	NaN	0
36	0	21	+0.62	10	14	+0.43	+0.57	1	1	NaN	1
36	0	22	+0.62	11	14	+0.42	+0.58	1	1	NaN	0
36	0	23	+0.62	12	14	+0.44	+0.56	1	1	NaN	0
36	0	24	+0.62	12	15	+0.46	+0.54	1	1	NaN	1
36	0	25	+0.62	12	16	+0.44	+0.56	1	1	NaN	1
36	0	26	+0.62	13	16	+0.43	+0.57	1	1	NaN	0
36	0	27	+0.62	13	17	+0.45	+0.55	1	1	NaN	1
36	0	28	+0.62	13	18	+0.43	+0.57	1	1	NaN	1
36	0	29	+0.62	13	19	+0.42	+0.58	1	1	NaN	1
36	1	0	+0.16	2	1	+0.50	+0.50	0	0	NaN	1
36	1	1	+0.16	3	1	+0.67	+0.33	0	0	NaN	1
36	1	2	+0.16	3	2	+0.75	+0.25	0	0	NaN	0
36	1	3	+0.16	4	2	+0.60	+0.40	0	0	NaN	1
36	1	4	+0.16	5	2	+0.67	+0.33	0	0	NaN	1
36	1	5	+0.16	6	2	+0.71	+0.29	0	0	NaN	1
36	1	6	+0.16	6	3	+0.75	+0.25	0	0	NaN	0
36	1	7	+0.16	6	4	+0.67	+0.33	0	0	NaN	0
36	1	8	+0.16	7	4	+0.60	+0.40	0	0	NaN	1
36	1	9	+0.16	8	4	+0.64	+0.36	0	0	NaN	1
36	1	10	+0.16	9	4	+0.67	+0.33	0	1	NaN	0
36	1	11	+0.16	9	5	+0.69	+0.31	0	0	NaN	0
36	1	12	+0.16	10	5	+0.64	+0.36	0	0	NaN	1
36	1	13	+0.16	11	5	+0.67	+0.33	0	0	NaN	1
36	1	14	+0.16	12	5	+0.69	+0.31	0	0	NaN	1
36	1	15	+0.16	13	5	+0.71	+0.29	0	0	NaN	1
36	1	16	+0.16	14	5	+0.72	+0.28	0	0	NaN	1
36	1	17	+0.16	14	6	+0.74	+0.26	0	0	NaN	0
36	1	18	+0.16	14	7	+0.70	+0.30	0	0	NaN	0
36	1	19	+0.16	15	7	+0.67	+0.33	0	1	NaN	0
36	1	20	+0.16	16	7	+0.68	+0.32	0	0	NaN	1
36	1	21	+0.16	17	7	+0.70	+0.30	0	0	NaN	1
36	1	22	+0.16	18	7	+0.71	+0.29	0	0	NaN	1
36	1	23	+0.16	18	8	+0.72	+0.28	0	0	NaN	0
36	1	24	+0.16	19	8	+0.69	+0.31	0	0	NaN	1
36	1	25	+0.16	20	8	+0.70	+0.30	0	0	NaN	1
36	1	26	+0.16	21	8	+0.71	+0.29	0	0	NaN	1
36	1	27	+0.16	22	8	+0.72	+0.28	0	0	NaN	1
36	1	28	+0.16	23	8	+0.73	+0.27	0	0	NaN	1
36	1	29	+0.16	24	8	+0.74	+0.26	0	0	NaN	1
36	2	0	+0.56	2	1	+0.50	+0.50	0	0	NaN	1
36	2	1	+0.56	3	1	+0.67	+0.33	0	0	NaN	1
36	2	2	+0.56	3	2	+0.75	+0.25	0	0	NaN	0
36	2	3	+0.56	4	2	+0.60	+0.40	0	0	NaN	1
36	2	4	+0.56	4	3	+0.67	+0.33	0	1	NaN	1
36	2	5	+0.56	4	4	+0.57	+0.43	0	0	NaN	0
36	2	6	+0.56	4	5	+0.50	+0.50	0	0	NaN	0
36	2	7	+0.56	5	5	+0.44	+0.56	1	1	NaN	0
36	2	8	+0.56	6	5	+0.50	+0.50	0	0	NaN	1
36	2	9	+0.56	7	5	+0.55	+0.45	0	0	NaN	1
36	2	10	+0.56	8	5	+0.58	+0.42	0	0	NaN	1
36	2	11	+0.56	8	6	+0.62	+0.38	0	0	NaN	0
36	2	12	+0.56	9	6	+0.57	+0.43	0	0	NaN	1
36	2	13	+0.56	9	7	+0.60	+0.40	0	0	NaN	0
36	2	14	+0.56	10	7	+0.56	+0.44	0	0	NaN	1
36	2	15	+0.56	11	7	+0.59	+0.41	0	0	NaN	1
36	2	16	+0.56	12	7	+0.61	+0.39	0	0	NaN	1
36	2	17	+0.56	12	8	+0.63	+0.37	0	0	NaN	0
36	2	18	+0.56	13	8	+0.60	+0.40	0	0	NaN	1
36	2	19	+0.56	13	9	+0.62	+0.38	0	0	NaN	0
36	2	20	+0.56	14	9	+0.59	+0.41	0	0	NaN	1
36	2	21	+0.56	14	10	+0.61	+0.39	0	0	NaN	0
36	2	22	+0.56	14	11	+0.58	+0.42	0	0	NaN	0
36	2	23	+0.56	14	12	+0.56	+0.44	0	0	NaN	0
36	2	24	+0.56	14	13	+0.54	+0.46	0	0	NaN	0
36	2	25	+0.56	15	13	+0.52	+0.48	0	0	NaN	1
36	2	26	+0.56	15	14	+0.54	+0.46	0	0	NaN	0
36	2	27	+0.56	15	15	+0.52	+0.48	0	0	NaN	0
36	2	28	+0.56	16	15	+0.50	+0.50	0	0	NaN	1
36	2	29	+0.56	16	16	+0.52	+0.48	0	0	NaN	0
36	3	0	+0.13	1	2	+0.50	+0.50	0	0	NaN	0
36	3	1	+0.13	2	2	+0.33	+0.67	1	1	NaN	0
36	3	2	+0.13	3	2	+0.50	+0.50	0	0	NaN	1
36	3	3	+0.13	4	2	+0.60	+0.40	0	0	NaN	1
36	3	4	+0.13	5	2	+0.67	+0.33	0	0	NaN	1
36	3	5	+0.13	6	2	+0.71	+0.29	0	0	NaN	1
36	3	6	+0.13	7	2	+0.75	+0.25	0	0	NaN	1
36	3	7	+0.13	8	2	+0.78	+0.22	0	0	NaN	1
36	3	8	+0.13	9	2	+0.80	+0.20	0	1	NaN	0
36	3	9	+0.13	10	2	+0.82	+0.18	0	0	NaN	1
36	3	10	+0.13	10	3	+0.83	+0.17	0	0	NaN	0
36	3	11	+0.13	11	3	+0.77	+0.23	0	0	NaN	1
36	3	12	+0.13	12	3	+0.79	+0.21	0	0	NaN	1
36	3	13	+0.13	13	3	+0.80	+0.20	0	0	NaN	1
