P	k	t	s_t	alpha_t_1	alpha_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
40	0	0	+0.79	1	2	+0.50	+0.50	0	0	NaN	0
40	0	1	+0.79	1	3	+0.33	+0.67	1	1	NaN	1
40	0	2	+0.79	2	3	+0.25	+0.75	1	1	NaN	0
40	0	3	+0.79	2	4	+0.40	+0.60	1	1	NaN	1
40	0	4	+0.79	2	5	+0.33	+0.67	1	1	NaN	1
40	0	5	+0.79	2	6	+0.29	+0.71	1	0	NaN	0
40	0	6	+0.79	2	7	+0.25	+0.75	1	1	NaN	1
40	0	7	+0.79	2	8	+0.22	+0.78	1	1	NaN	1
40	0	8	+0.79	2	9	+0.20	+0.80	1	1	NaN	1
40	0	9	+0.79	2	10	+0.18	+0.82	1	1	NaN	1
40	0	10	+0.79	3	10	+0.17	+0.83	1	1	NaN	0
40	0	11	+0.79	3	11	+0.23	+0.77	1	1	NaN	1
40	0	12	+0.79	3	12	+0.21	+0.79	1	1	NaN	1
40	0	13	+0.79	3	13	+0.20	+0.80	1	1	NaN	1
40	0	14	+0.79	3	14	+0.19	+0.81	1	1	NaN	1
40	0	15	+0.79	3	15	+0.18	+0.82	1	1	NaN	1
40	0	16	+0.79	3	16	+0.17	+0.83	1	1	NaN	1
40	0	17	+0.79	4	16	+0.16	+0.84	1	1	NaN	0
40	0	18	+0.79	5	16	+0.20	+0.80	1	1	NaN	0
40	0	19	+0.79	6	16	+0.24	+0.76	1	1	NaN	0
40	0	20	+0.79	6	17	+0.27	+0.73	1	1	NaN	1
40	0	21	+0.79	7	17	+0.26	+0.74	1	1	NaN	0
40	0	22	+0.79	7	18	+0.29	+0.71	1	1	NaN	1
40	0	23	+0.79	8	18	+0.28	+0.72	1	1	NaN	0
40	0	24	+0.79	9	18	+0.31	+0.69	1	1	NaN	0
40	0	25	+0.79	9	19	+0.33	+0.67	1	1	NaN	1
40	0	26	+0.79	9	20	+0.32	+0.68	1	1	NaN	1
40	0	27	+0.79	9	21	+0.31	+0.69	1	1	NaN	1
40	0	28	+0.79	10	21	+0.30	+0.70	1	1	NaN	0
40	0	29	+0.79	10	22	+0.32	+0.68	1	1	NaN	1
40	1	0	+0.39	2	1	+0.50	+0.50	0	0	NaN	1
40	1	1	+0.39	3	1	+0.67	+0.33	0	0	NaN	1
40	1	2	+0.39	4	1	+0.75	+0.25	0	0	NaN	1
40	1	3	+0.39	4	2	+0.80	+0.20	0	0	NaN	0
40	1	4	+0.39	5	2	+0.67	+0.33	0	0	NaN	1
40	1	5	+0.39	5	3	+0.71	+0.29	0	0	NaN	0
40	1	6	+0.39	6	3	+0.62	+0.38	0	0	NaN	1
40	1	7	+0.39	7	3	+0.67	+0.33	0	0	NaN	1
40	1	8	+0.39	7	4	+0.70	+0.30	0	0	NaN	0
40	1	9	+0.39	7	5	+0.64	+0.36	0	0	NaN	0
40	1	10	+0.39	7	6	+0.58	+0.42	0	0	NaN	0
40	1	11	+0.39	7	7	+0.54	+0.46	0	0	NaN	0
