P	k	t	s_t	alpha_t_1	alpha_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
47	0	0	+0.70	2	1	+0.50	+0.50	0	0	NaN	1
47	0	1	+0.70	3	1	+0.67	+0.33	0	0	NaN	1
47	0	2	+0.70	3	2	+0.75	+0.25	0	0	NaN	0
47	0	3	+0.70	4	2	+0.60	+0.40	0	0	NaN	1
47	0	4	+0.70	4	3	+0.67	+0.33	0	0	NaN	0
47	0	5	+0.70	4	4	+0.57	+0.43	0	0	NaN	0
47	0	6	+0.70	4	5	+0.50	+0.50	0	0	NaN	0
47	0	7	+0.70	5	5	+0.44	+0.56	1	1	NaN	0
47	0	8	+0.70	5	6	+0.50	+0.50	0	0	NaN	0
47	0	9	+0.70	5	7	+0.45	+0.55	1	1	NaN	1
47	0	10	+0.70	5	8	+0.42	+0.58	1	1	NaN	1
47	0	11	+0.70	5	9	+0.38	+0.62	1	1	NaN	1
47	0	12	+0.70	5	10	+0.36	+0.64	1	1	NaN	1
47	0	13	+0.70	5	11	+0.33	+0.67	1	1	NaN	1
47	0	14	+0.70	5	12	+0.31	+0.69	1	0	NaN	0
47	0	15	+0.70	5	13	+0.29	+0.71	1	1	NaN	1
47	0	16	+0.70	5	14	+0.28	+0.72	1	0	NaN	0
47	0	17	+0.70	6	14	+0.26	+0.74	1	1	NaN	0
47	0	18	+0.70	6	15	+0.30	+0.70	1	1	NaN	1
47	0	19	+0.70	6	16	+0.29	+0.71	1	1	NaN	1
47	0	20	+0.70	7	16	+0.27	+0.73	1	1	NaN	0
47	0	21	+0.70	7	17	+0.30	+0.70	1	0	NaN	0
47	0	22	+0.70	7	18	+0.29	+0.71	1	1	NaN	1
47	0	23	+0.70	7	19	+0.28	+0.72	1	1	NaN	1
47	0	24	+0.70	7	20	+0.27	+0.73	1	1	NaN	1
47	0	25	+0.70	7	21	+0.26	+0.74	1	1	NaN	1
47	0	26	+0.70	7	22	+0.25	+0.75	1	1	NaN	1
47	0	27	+0.70	7	23	+0.24	+0.76	1	1	NaN	1
47	0	28	+0.70	7	24	+0.23	+0.77	1	1	NaN	1
47	0	29	+0.70	7	25	+0.23	+0.77	1	1	NaN	1
47	1	0	+0.60	1	2	+0.50	+0.50	0	0	NaN	0
47	1	1	+0.60	1	3	+0.33	+0.67	1	1	NaN	1
47	1	2	+0.60	2	3	+0.25	+0.75	1	1	NaN	0
47	1	3	+0.60	2	4	+0.40	+0.60	1	1	NaN	1
47	1	4	+0.60	3	4	+0.33	+0.67	1	1	NaN	0
47	1	5	+0.60	3	5	+0.43	+0.57	1	1	NaN	1
47	1	6	+0.60	4	5	+0.38	+0.62	1	1	NaN	0
47	1	7	+0.60	4	6	+0.44	+0.56	1	1	NaN	1
47	1	8	+0.60	4	7	+0.40	+0.60	1	1	NaN	1
47	1	9	+0.60	4	8	+0.36	+0.64	1	1	NaN	1
47	1	10	+0.60	4	9	+0.33	+0.67	1	0	NaN	0
47	1	11	+0.60	5	9	+0.31	+0.69	1	1	NaN	0
47	1	12	+0.60	5	10	+0.36	+0.64	1	1	NaN	1
47	1	13	+0.60	5	11	+0.33	+0.67	1	1	NaN	1
47	1	14	+0.60	5	12	+0.31	+0.69	1	1	NaN	1
