P	k	t	s_t	alpha_t_1	alpha_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
49	0	0	+0.71	2	1	+0.50	+0.50	0	0	NaN	1
49	0	1	+0.71	2	2	+0.67	+0.33	0	0	NaN	0
49	0	2	+0.71	3	2	+0.50	+0.50	0	0	NaN	1
49	0	3	+0.71	3	3	+0.60	+0.40	0	0	NaN	0
49	0	4	+0.71	3	4	+0.50	+0.50	0	0	NaN	0
49	0	5	+0.71	3	5	+0.43	+0.57	1	1	NaN	1
49	0	6	+0.71	3	6	+0.38	+0.62	1	1	NaN	1
49	0	7	+0.71	3	7	+0.33	+0.67	1	1	NaN	1
49	0	8	+0.71	3	8	+0.30	+0.70	1	1	NaN	1
49	0	9	+0.71	3	9	+0.27	+0.73	1	1	NaN	1
49	0	10	+0.71	3	10	+0.25	+0.75	1	1	NaN	1
49	0	11	+0.71	4	10	+0.23	+0.77	1	1	NaN	0
49	0	12	+0.71	4	11	+0.29	+0.71	1	1	NaN	1
49	0	13	+0.71	4	12	+0.27	+0.73	1	1	NaN	1
49	0	14	+0.71	4	13	+0.25	+0.75	1	1	NaN	1
49	0	15	+0.71	5	13	+0.24	+0.76	1	1	NaN	0
49	0	16	+0.71	5	14	+0.28	+0.72	1	1	NaN	1
49	0	17	+0.71	6	14	+0.26	+0.74	1	1	NaN	0
49	0	18	+0.71	7	14	+0.30	+0.70	1	1	NaN	0
49	0	19	+0.71	7	15	+0.33	+0.67	1	1	NaN	1
49	0	20	+0.71	7	16	+0.32	+0.68	1	0	NaN	0
49	0	21	+0.71	7	17	+0.30	+0.70	1	1	NaN	1
49	0	22	+0.71	7	18	+0.29	+0.71	1	1	NaN	1
49	0	23	+0.71	7	19	+0.28	+0.72	1	1	NaN	1
49	0	24	+0.71	7	20	+0.27	+0.73	1	1	NaN	1
49	0	25	+0.71	7	21	+0.26	+0.74	1	1	NaN	1
49	0	26	+0.71	7	22	+0.25	+0.75	1	1	NaN	1
49	0	27	+0.71	7	23	+0.24	+0.76	1	1	NaN	1
49	0	28	+0.71	7	24	+0.23	+0.77	1	1	NaN	1
49	0	29	+0.71	8	24	+0.23	+0.77	1	0	NaN	1
49	1	0	+0.94	1	2	+0.50	+0.50	0	0	NaN	0
49	1	1	+0.94	1	3	+0.33	+0.67	1	1	NaN	1
49	1	2	+0.94	1	4	+0.25	+0.75	1	1	NaN	1
49	1	3	+0.94	1	5	+0.20	+0.80	1	1	NaN	1
49	1	4	+0.94	1	6	+0.17	+0.83	1	1	NaN	1
49	1	5	+0.94	1	7	+0.14	+0.86	1	1	NaN	1
49	1	6	+0.94	1	8	+0.12	+0.88	1	1	NaN	1
49	1	7	+0.94	1	9	+0.11	+0.89	1	1	NaN	1
49	1	8	+0.94	1	10	+0.10	+0.90	1	1	NaN	1
49	1	9	+0.94	1	11	+0.09	+0.91	1	1	NaN	1
49	1	10	+0.94	1	12	+0.08	+0.92	1	1	NaN	1
49	1	11	+0.94	1	13	+0.08	+0.92	1	1	NaN	1
49	1	12	+0.94	1	14	+0.07	+0.93	1	1	NaN	1
49	1	13	+0.94	1	15	+0.07	+0.93	1	1	NaN	1
49	1	14	+0.94	1	16	+0.06	+0.94	1	1	NaN	1
49	1	15	+0.94	1	17	+0.06	+0.94	1	1	NaN	1
49	1	16	+0.94	1	18	+0.06	+0.94	1	0	NaN	0
49	1	17	+0.94	1	19	+0.05	+0.95	1	1	NaN	1
49	1	18	+0.94	1	20	+0.05	+0.95	1	1	NaN	1
49	1	19	+0.94	1	21	+0.05	+0.95	1	1	NaN	1
49	1	20	+0.94	1	22	+0.05	+0.95	1	0	NaN	0
49	1	21	+0.94	1	23	+0.04	+0.96	1	1	NaN	1
49	1	22	+0.94	1	24	+0.04	+0.96	1	1	NaN	1
49	1	23	+0.94	1	25	+0.04	+0.96	1	0	NaN	0
49	1	24	+0.94	1	26	+0.04	+0.96	1	1	NaN	1
49	1	25	+0.94	1	27	+0.04	+0.96	1	1	NaN	1
49	1	26	+0.94	2	27	+0.04	+0.96	1	1	NaN	0
49	1	27	+0.94	2	28	+0.07	+0.93	1	1	NaN	1
49	1	28	+0.94	2	29	+0.07	+0.93	1	1	NaN	1
49	1	29	+0.94	2	30	+0.06	+0.94	1	1	NaN	1
49	2	0	+1.00	1	2	+0.50	+0.50	0	0	NaN	0
49	2	1	+1.00	1	3	+0.33	+0.67	1	1	NaN	1
49	2	2	+1.00	1	4	+0.25	+0.75	1	1	NaN	1
49	2	3	+1.00	1	5	+0.20	+0.80	1	0	NaN	0
49	2	4	+1.00	1	6	+0.17	+0.83	1	1	NaN	1
49	2	5	+1.00	1	7	+0.14	+0.86	1	1	NaN	1
49	2	6	+1.00	1	8	+0.12	+0.88	1	1	NaN	1
49	2	7	+1.00	1	9	+0.11	+0.89	1	1	NaN	1
49	2	8	+1.00	1	10	+0.10	+0.90	1	1	NaN	1
49	2	9	+1.00	1	11	+0.09	+0.91	1	1	NaN	1
49	2	10	+1.00	1	12	+0.08	+0.92	1	1	NaN	1
49	2	11	+1.00	1	13	+0.08	+0.92	1	1	NaN	1
49	2	12	+1.00	1	14	+0.07	+0.93	1	1	NaN	1
49	2	13	+1.00	1	15	+0.07	+0.93	1	1	NaN	1
49	2	14	+1.00	1	16	+0.06	+0.94	1	1	NaN	1
49	2	15	+1.00	1	17	+0.06	+0.94	1	0	NaN	0
49	2	16	+1.00	1	18	+0.06	+0.94	1	1	NaN	1
49	2	17	+1.00	1	19	+0.05	+0.95	1	1	NaN	1
49	2	18	+1.00	1	20	+0.05	+0.95	1	1	NaN	1
49	2	19	+1.00	1	21	+0.05	+0.95	1	1	NaN	1
49	2	20	+1.00	1	22	+0.05	+0.95	1	1	NaN	1
49	2	21	+1.00	1	23	+0.04	+0.96	1	1	NaN	1
49	2	22	+1.00	1	24	+0.04	+0.96	1	1	NaN	1
49	2	23	+1.00	1	25	+0.04	+0.96	1	1	NaN	1
49	2	24	+1.00	1	26	+0.04	+0.96	1	1	NaN	1
49	2	25	+1.00	1	27	+0.04	+0.96	1	1	NaN	1
49	2	26	+1.00	1	28	+0.04	+0.96	1	1	NaN	1
49	2	27	+1.00	1	29	+0.03	+0.97	1	1	NaN	1
49	2	28	+1.00	1	30	+0.03	+0.97	1	1	NaN	1
49	2	29	+1.00	1	31	+0.03	+0.97	1	1	NaN	1
49	3	0	+0.31	2	1	+0.50	+0.50	0	0	NaN	1
49	3	1	+0.31	2	2	+0.67	+0.33	0	0	NaN	0
49	3	2	+0.31	2	3	+0.50	+0.50	0	0	NaN	0
49	3	3	+0.31	3	3	+0.40	+0.60	1	1	NaN	0
49	3	4	+0.31	4	3	+0.50	+0.50	0	0	NaN	1
49	3	5	+0.31	4	4	+0.57	+0.43	0	0	NaN	0
49	3	6	+0.31	4	5	+0.50	+0.50	0	0	NaN	0
49	3	7	+0.31	5	5	+0.44	+0.56	1	1	NaN	0
49	3	8	+0.31	5	6	+0.50	+0.50	0	0	NaN	0
49	3	9	+0.31	6	6	+0.45	+0.55	1	1	NaN	0
49	3	10	+0.31	7	6	+0.50	+0.50	0	0	NaN	1
49	3	11	+0.31	8	6	+0.54	+0.46	0	0	NaN	1
