P	k	t	s_t	alpha_t_1	alpha_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
18	0	0	+0.13	1	2	+0.50	+0.50	0	0	NaN	0
18	0	1	+0.13	2	2	+0.33	+0.67	1	1	NaN	0
18	0	2	+0.13	3	2	+0.50	+0.50	0	0	NaN	1
18	0	3	+0.13	4	2	+0.60	+0.40	0	0	NaN	1
18	0	4	+0.13	5	2	+0.67	+0.33	0	0	NaN	1
18	0	5	+0.13	5	3	+0.71	+0.29	0	0	NaN	0
18	0	6	+0.13	6	3	+0.62	+0.38	0	0	NaN	1
18	0	7	+0.13	7	3	+0.67	+0.33	0	0	NaN	1
18	0	8	+0.13	8	3	+0.70	+0.30	0	0	NaN	1
18	0	9	+0.13	9	3	+0.73	+0.27	0	0	NaN	1
18	0	10	+0.13	10	3	+0.75	+0.25	0	0	NaN	1
18	0	11	+0.13	11	3	+0.77	+0.23	0	0	NaN	1
18	0	12	+0.13	12	3	+0.79	+0.21	0	0	NaN	1
18	0	13	+0.13	13	3	+0.80	+0.20	0	0	NaN	1
18	0	14	+0.13	14	3	+0.81	+0.19	0	0	NaN	1
18	0	15	+0.13	15	3	+0.82	+0.18	0	0	NaN	1
18	0	16	+0.13	15	4	+0.83	+0.17	0	0	NaN	0
18	0	17	+0.13	16	4	+0.79	+0.21	0	0	NaN	1
18	0	18	+0.13	17	4	+0.80	+0.20	0	0	NaN	1
18	0	19	+0.13	18	4	+0.81	+0.19	0	0	NaN	1
18	0	20	+0.13	19	4	+0.82	+0.18	0	0	NaN	1
18	0	21	+0.13	20	4	+0.83	+0.17	0	0	NaN	1
18	0	22	+0.13	21	4	+0.83	+0.17	0	0	NaN	1
18	0	23	+0.13	22	4	+0.84	+0.16	0	1	NaN	0
18	0	24	+0.13	23	4	+0.85	+0.15	0	0	NaN	1
18	0	25	+0.13	23	5	+0.85	+0.15	0	0	NaN	0
18	0	26	+0.13	24	5	+0.82	+0.18	0	0	NaN	1
18	0	27	+0.13	25	5	+0.83	+0.17	0	0	NaN	1
18	0	28	+0.13	26	5	+0.83	+0.17	0	0	NaN	1
18	0	29	+0.13	27	5	+0.84	+0.16	0	0	NaN	1
18	1	0	+0.69	1	2	+0.50	+0.50	0	0	NaN	0
18	1	1	+0.69	1	3	+0.33	+0.67	1	1	NaN	1
18	1	2	+0.69	1	4	+0.25	+0.75	1	1	NaN	1
18	1	3	+0.69	1	5	+0.20	+0.80	1	1	NaN	1
18	1	4	+0.69	2	5	+0.17	+0.83	1	1	NaN	0
18	1	5	+0.69	3	5	+0.29	+0.71	1	1	NaN	0
18	1	6	+0.69	3	6	+0.38	+0.62	1	1	NaN	1
18	1	7	+0.69	4	6	+0.33	+0.67	1	1	NaN	0
18	1	8	+0.69	4	7	+0.40	+0.60	1	1	NaN	1
18	1	9	+0.69	4	8	+0.36	+0.64	1	1	NaN	1
18	1	10	+0.69	4	9	+0.33	+0.67	1	1	NaN	1
18	1	11	+0.69	4	10	+0.31	+0.69	1	1	NaN	1
18	1	12	+0.69	4	11	+0.29	+0.71	1	1	NaN	1
18	1	13	+0.69	4	12	+0.27	+0.73	1	1	NaN	1
18	1	14	+0.69	4	13	+0.25	+0.75	1	1	NaN	1
18	1	15	+0.69	5	13	+0.24	+0.76	1	1	NaN	0
18	1	16	+0.69	5	14	+0.28	+0.72	1	1	NaN	1
18	1	17	+0.69	5	15	+0.26	+0.74	1	1	NaN	1
