P	k	t	s_t	alpha_t_1	alpha_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
39	0	0	+0.52	1	2	+0.50	+0.50	0	0	NaN	0
39	0	1	+0.52	1	3	+0.33	+0.67	1	1	NaN	1
39	0	2	+0.52	1	4	+0.25	+0.75	1	1	NaN	1
39	0	3	+0.52	1	5	+0.20	+0.80	1	1	NaN	1
39	0	4	+0.52	1	6	+0.17	+0.83	1	1	NaN	1
39	0	5	+0.52	1	7	+0.14	+0.86	1	1	NaN	1
39	0	6	+0.52	2	7	+0.12	+0.88	1	1	NaN	0
39	0	7	+0.52	3	7	+0.22	+0.78	1	1	NaN	0
39	0	8	+0.52	4	7	+0.30	+0.70	1	1	NaN	0
39	0	9	+0.52	5	7	+0.36	+0.64	1	1	NaN	0
39	0	10	+0.52	6	7	+0.42	+0.58	1	1	NaN	0
39	0	11	+0.52	7	7	+0.46	+0.54	1	1	NaN	0
39	0	12	+0.52	8	7	+0.50	+0.50	0	0	NaN	1
39	0	13	+0.52	9	7	+0.53	+0.47	0	0	NaN	1
39	0	14	+0.52	9	8	+0.56	+0.44	0	0	NaN	0
39	0	15	+0.52	9	9	+0.53	+0.47	0	0	NaN	0
39	0	16	+0.52	9	10	+0.50	+0.50	0	0	NaN	0
39	0	17	+0.52	9	11	+0.47	+0.53	1	1	NaN	1
39	0	18	+0.52	9	12	+0.45	+0.55	1	1	NaN	1
39	0	19	+0.52	10	12	+0.43	+0.57	1	1	NaN	0
39	0	20	+0.52	10	13	+0.45	+0.55	1	1	NaN	1
39	0	21	+0.52	10	14	+0.43	+0.57	1	1	NaN	1
39	0	22	+0.52	10	15	+0.42	+0.58	1	1	NaN	1
39	0	23	+0.52	11	15	+0.40	+0.60	1	1	NaN	0
39	0	24	+0.52	12	15	+0.42	+0.58	1	1	NaN	0
39	0	25	+0.52	13	15	+0.44	+0.56	1	0	NaN	1
39	0	26	+0.52	13	16	+0.46	+0.54	1	1	NaN	1
39	0	27	+0.52	13	17	+0.45	+0.55	1	1	NaN	1
39	0	28	+0.52	13	18	+0.43	+0.57	1	1	NaN	1
39	0	29	+0.52	13	19	+0.42	+0.58	1	1	NaN	1
39	1	0	+0.55	2	1	+0.50	+0.50	0	0	NaN	1
39	1	1	+0.55	2	2	+0.67	+0.33	0	0	NaN	0
39	1	2	+0.55	3	2	+0.50	+0.50	0	0	NaN	1
39	1	3	+0.55	3	3	+0.60	+0.40	0	0	NaN	0
39	1	4	+0.55	3	4	+0.50	+0.50	0	1	NaN	1
