P	k	t	s_t	alpha_t_1	alpha_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
9	0	0	+0.84	1	2	+0.50	+0.50	0	0	NaN	0
9	0	1	+0.84	2	2	+0.33	+0.67	1	1	NaN	0
9	0	2	+0.84	2	3	+0.50	+0.50	0	0	NaN	0
9	0	3	+0.84	2	4	+0.40	+0.60	1	1	NaN	1
9	0	4	+0.84	2	5	+0.33	+0.67	1	1	NaN	1
9	0	5	+0.84	2	6	+0.29	+0.71	1	1	NaN	1
9	0	6	+0.84	2	7	+0.25	+0.75	1	1	NaN	1
9	0	7	+0.84	3	7	+0.22	+0.78	1	1	NaN	0
9	0	8	+0.84	3	8	+0.30	+0.70	1	1	NaN	1
9	0	9	+0.84	3	9	+0.27	+0.73	1	1	NaN	1
9	0	10	+0.84	3	10	+0.25	+0.75	1	1	NaN	1
9	0	11	+0.84	3	11	+0.23	+0.77	1	1	NaN	1
9	0	12	+0.84	3	12	+0.21	+0.79	1	1	NaN	1
9	0	13	+0.84	3	13	+0.20	+0.80	1	1	NaN	1
9	0	14	+0.84	3	14	+0.19	+0.81	1	1	NaN	1
9	0	15	+0.84	4	14	+0.18	+0.82	1	1	NaN	0
9	0	16	+0.84	4	15	+0.22	+0.78	1	1	NaN	1
9	0	17	+0.84	4	16	+0.21	+0.79	1	1	NaN	1
9	0	18	+0.84	4	17	+0.20	+0.80	1	1	NaN	1
9	0	19	+0.84	4	18	+0.19	+0.81	1	1	NaN	1
9	0	20	+0.84	5	18	+0.18	+0.82	1	1	NaN	0
9	0	21	+0.84	5	19	+0.22	+0.78	1	1	NaN	1
9	0	22	+0.84	5	20	+0.21	+0.79	1	1	NaN	1
9	0	23	+0.84	5	21	+0.20	+0.80	1	1	NaN	1
9	0	24	+0.84	5	22	+0.19	+0.81	1	1	NaN	1
9	0	25	+0.84	5	23	+0.19	+0.81	1	1	NaN	1
9	0	26	+0.84	5	24	+0.18	+0.82	1	1	NaN	1
9	0	27	+0.84	6	24	+0.17	+0.83	1	1	NaN	0
9	0	28	+0.84	6	25	+0.20	+0.80	1	1	NaN	1
9	0	29	+0.84	6	26	+0.19	+0.81	1	1	NaN	1
9	1	0	+0.30	2	1	+0.50	+0.50	0	0	NaN	1
9	1	1	+0.30	3	1	+0.67	+0.33	0	0	NaN	1
9	1	2	+0.30	4	1	+0.75	+0.25	0	0	NaN	1
9	1	3	+0.30	5	1	+0.80	+0.20	0	0	NaN	1
9	1	4	+0.30	5	2	+0.83	+0.17	0	0	NaN	0
9	1	5	+0.30	6	2	+0.71	+0.29	0	0	NaN	1
9	1	6	+0.30	7	2	+0.75	+0.25	0	0	NaN	1
9	1	7	+0.30	7	3	+0.78	+0.22	0	0	NaN	0
9	1	8	+0.30	8	3	+0.70	+0.30	0	0	NaN	1
9	1	9	+0.30	9	3	+0.73	+0.27	0	0	NaN	1
9	1	10	+0.30	9	4	+0.75	+0.25	0	0	NaN	0
9	1	11	+0.30	10	4	+0.69	+0.31	0	0	NaN	1
9	1	12	+0.30	10	5	+0.71	+0.29	0	0	NaN	0
9	1	13	+0.30	10	6	+0.67	+0.33	0	0	NaN	0
