P	k	t	s_t	alpha_t_1	alpha_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
11	0	0	+0.64	2	1	+0.50	+0.50	0	0	NaN	1
11	0	1	+0.64	2	2	+0.67	+0.33	0	0	NaN	0
11	0	2	+0.64	3	2	+0.50	+0.50	0	1	NaN	0
11	0	3	+0.64	3	3	+0.60	+0.40	0	0	NaN	0
11	0	4	+0.64	3	4	+0.50	+0.50	0	0	NaN	0
11	0	5	+0.64	3	5	+0.43	+0.57	1	1	NaN	1
11	0	6	+0.64	4	5	+0.38	+0.62	1	1	NaN	0
11	0	7	+0.64	4	6	+0.44	+0.56	1	1	NaN	1
11	0	8	+0.64	4	7	+0.40	+0.60	1	1	NaN	1
11	0	9	+0.64	5	7	+0.36	+0.64	1	1	NaN	0
11	0	10	+0.64	6	7	+0.42	+0.58	1	1	NaN	0
11	0	11	+0.64	6	8	+0.46	+0.54	1	1	NaN	1
11	0	12	+0.64	6	9	+0.43	+0.57	1	1	NaN	1
11	0	13	+0.64	6	10	+0.40	+0.60	1	1	NaN	1
11	0	14	+0.64	7	10	+0.38	+0.62	1	1	NaN	0
11	0	15	+0.64	8	10	+0.41	+0.59	1	1	NaN	0
11	0	16	+0.64	9	10	+0.44	+0.56	1	1	NaN	0
11	0	17	+0.64	9	11	+0.47	+0.53	1	1	NaN	1
11	0	18	+0.64	10	11	+0.45	+0.55	1	1	NaN	0
11	0	19	+0.64	11	11	+0.48	+0.52	1	1	NaN	0
11	0	20	+0.64	11	12	+0.50	+0.50	0	0	NaN	0
11	0	21	+0.64	12	12	+0.48	+0.52	1	1	NaN	0
11	0	22	+0.64	13	12	+0.50	+0.50	0	0	NaN	1
11	0	23	+0.64	13	13	+0.52	+0.48	0	0	NaN	0
11	0	24	+0.64	13	14	+0.50	+0.50	0	1	NaN	1
11	0	25	+0.64	13	15	+0.48	+0.52	1	1	NaN	1
11	0	26	+0.64	14	15	+0.46	+0.54	1	1	NaN	0
11	0	27	+0.64	14	16	+0.48	+0.52	1	1	NaN	1
11	0	28	+0.64	14	17	+0.47	+0.53	1	1	NaN	1
11	0	29	+0.64	15	17	+0.45	+0.55	1	1	NaN	0
11	1	0	+0.71	1	2	+0.50	+0.50	0	1	NaN	1
11	1	1	+0.71	1	3	+0.33	+0.67	1	1	NaN	1
11	1	2	+0.71	1	4	+0.25	+0.75	1	1	NaN	1
11	1	3	+0.71	1	5	+0.20	+0.80	1	1	NaN	1
11	1	4	+0.71	1	6	+0.17	+0.83	1	1	NaN	1
11	1	5	+0.71	1	7	+0.14	+0.86	1	1	NaN	1
11	1	6	+0.71	1	8	+0.12	+0.88	1	1	NaN	1
11	1	7	+0.71	2	8	+0.11	+0.89	1	1	NaN	0
11	1	8	+0.71	2	9	+0.20	+0.80	1	1	NaN	1
11	1	9	+0.71	2	10	+0.18	+0.82	1	1	NaN	1
11	1	10	+0.71	2	11	+0.17	+0.83	1	1	NaN	1
11	1	11	+0.71	2	12	+0.15	+0.85	1	1	NaN	1
11	1	12	+0.71	2	13	+0.14	+0.86	1	1	NaN	1
11	1	13	+0.71	2	14	+0.13	+0.87	1	1	NaN	1
11	1	14	+0.71	2	15	+0.12	+0.88	1	1	NaN	1
11	1	15	+0.71	2	16	+0.12	+0.88	1	1	NaN	1
11	1	16	+0.71	3	16	+0.11	+0.89	1	1	NaN	0
11	1	17	+0.71	3	17	+0.16	+0.84	1	1	NaN	1
11	1	18	+0.71	3	18	+0.15	+0.85	1	1	NaN	1
11	1	19	+0.71	3	19	+0.14	+0.86	1	1	NaN	1
11	1	20	+0.71	4	19	+0.14	+0.86	1	1	NaN	0
11	1	21	+0.71	5	19	+0.17	+0.83	1	1	NaN	0
11	1	22	+0.71	5	20	+0.21	+0.79	1	1	NaN	1
11	1	23	+0.71	6	20	+0.20	+0.80	1	1	NaN	0
11	1	24	+0.71	6	21	+0.23	+0.77	1	1	NaN	1
11	1	25	+0.71	6	22	+0.22	+0.78	1	1	NaN	1
11	1	26	+0.71	6	23	+0.21	+0.79	1	1	NaN	1
11	1	27	+0.71	6	24	+0.21	+0.79	1	1	NaN	1
11	1	28	+0.71	6	25	+0.20	+0.80	1	1	NaN	1
11	1	29	+0.71	6	26	+0.19	+0.81	1	1	NaN	1
11	2	0	+0.74	2	1	+0.50	+0.50	0	0	NaN	1
11	2	1	+0.74	2	2	+0.67	+0.33	0	0	NaN	0
