P	k	t	s_t	alpha_t_1	alpha_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
22	0	0	+0.10	2	1	+0.50	+0.50	0	0	NaN	1
22	0	1	+0.10	3	1	+0.67	+0.33	0	0	NaN	1
22	0	2	+0.10	4	1	+0.75	+0.25	0	0	NaN	1
22	0	3	+0.10	5	1	+0.80	+0.20	0	0	NaN	1
22	0	4	+0.10	6	1	+0.83	+0.17	0	0	NaN	1
22	0	5	+0.10	7	1	+0.86	+0.14	0	0	NaN	1
22	0	6	+0.10	8	1	+0.88	+0.12	0	0	NaN	1
22	0	7	+0.10	9	1	+0.89	+0.11	0	0	NaN	1
22	0	8	+0.10	10	1	+0.90	+0.10	0	0	NaN	1
22	0	9	+0.10	11	1	+0.91	+0.09	0	0	NaN	1
22	0	10	+0.10	12	1	+0.92	+0.08	0	0	NaN	1
22	0	11	+0.10	13	1	+0.92	+0.08	0	0	NaN	1
22	0	12	+0.10	14	1	+0.93	+0.07	0	0	NaN	1
22	0	13	+0.10	14	2	+0.93	+0.07	0	0	NaN	0
22	0	14	+0.10	14	3	+0.88	+0.12	0	0	NaN	0
22	0	15	+0.10	15	3	+0.82	+0.18	0	0	NaN	1
22	0	16	+0.10	16	3	+0.83	+0.17	0	0	NaN	1
22	0	17	+0.10	17	3	+0.84	+0.16	0	0	NaN	1
22	0	18	+0.10	18	3	+0.85	+0.15	0	0	NaN	1
22	0	19	+0.10	19	3	+0.86	+0.14	0	0	NaN	1
22	0	20	+0.10	20	3	+0.86	+0.14	0	0	NaN	1
22	0	21	+0.10	21	3	+0.87	+0.13	0	0	NaN	1
22	0	22	+0.10	22	3	+0.88	+0.12	0	0	NaN	1
22	0	23	+0.10	23	3	+0.88	+0.12	0	0	NaN	1
22	0	24	+0.10	24	3	+0.88	+0.12	0	0	NaN	1
22	0	25	+0.10	25	3	+0.89	+0.11	0	0	NaN	1
22	0	26	+0.10	26	3	+0.89	+0.11	0	0	NaN	1
22	0	27	+0.10	27	3	+0.90	+0.10	0	0	NaN	1
22	0	28	+0.10	27	4	+0.90	+0.10	0	0	NaN	0
22	0	29	+0.10	27	5	+0.87	+0.13	0	0	NaN	0
22	1	0	+0.86	1	2	+0.50	+0.50	0	0	NaN	0
22	1	1	+0.86	1	3	+0.33	+0.67	1	1	NaN	1
22	1	2	+0.86	1	4	+0.25	+0.75	1	1	NaN	1
22	1	3	+0.86	1	5	+0.20	+0.80	1	1	NaN	1
22	1	4	+0.86	1	6	+0.17	+0.83	1	1	NaN	1
22	1	5	+0.86	1	7	+0.14	+0.86	1	1	NaN	1
22	1	6	+0.86	1	8	+0.12	+0.88	1	1	NaN	1
22	1	7	+0.86	2	8	+0.11	+0.89	1	1	NaN	0
22	1	8	+0.86	2	9	+0.20	+0.80	1	1	NaN	1
22	1	9	+0.86	2	10	+0.18	+0.82	1	1	NaN	1
22	1	10	+0.86	2	11	+0.17	+0.83	1	1	NaN	1
22	1	11	+0.86	2	12	+0.15	+0.85	1	1	NaN	1
22	1	12	+0.86	2	13	+0.14	+0.86	1	1	NaN	1
22	1	13	+0.86	2	14	+0.13	+0.87	1	0	NaN	0
22	1	14	+0.86	2	15	+0.12	+0.88	1	1	NaN	1
22	1	15	+0.86	2	16	+0.12	+0.88	1	1	NaN	1
22	1	16	+0.86	2	17	+0.11	+0.89	1	1	NaN	1
22	1	17	+0.86	2	18	+0.11	+0.89	1	1	NaN	1
22	1	18	+0.86	2	19	+0.10	+0.90	1	1	NaN	1
22	1	19	+0.86	3	19	+0.10	+0.90	1	1	NaN	0
22	1	20	+0.86	4	19	+0.14	+0.86	1	1	NaN	0
22	1	21	+0.86	4	20	+0.17	+0.83	1	1	NaN	1
22	1	22	+0.86	4	21	+0.17	+0.83	1	1	NaN	1
22	1	23	+0.86	4	22	+0.16	+0.84	1	1	NaN	1
22	1	24	+0.86	4	23	+0.15	+0.85	1	0	NaN	0
22	1	25	+0.86	4	24	+0.15	+0.85	1	1	NaN	1
22	1	26	+0.86	4	25	+0.14	+0.86	1	1	NaN	1
22	1	27	+0.86	5	25	+0.14	+0.86	1	1	NaN	0
22	1	28	+0.86	5	26	+0.17	+0.83	1	1	NaN	1
22	1	29	+0.86	6	26	+0.16	+0.84	1	1	NaN	0
