P	k	t	s_t	alpha_t_1	alpha_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
23	0	0	+0.37	2	1	+0.50	+0.50	0	0	NaN	1
23	0	1	+0.37	3	1	+0.67	+0.33	0	0	NaN	1
23	0	2	+0.37	3	2	+0.75	+0.25	0	0	NaN	0
23	0	3	+0.37	4	2	+0.60	+0.40	0	0	NaN	1
23	0	4	+0.37	5	2	+0.67	+0.33	0	0	NaN	1
23	0	5	+0.37	6	2	+0.71	+0.29	0	0	NaN	1
23	0	6	+0.37	7	2	+0.75	+0.25	0	0	NaN	1
23	0	7	+0.37	7	3	+0.78	+0.22	0	0	NaN	0
23	0	8	+0.37	7	4	+0.70	+0.30	0	0	NaN	0
23	0	9	+0.37	7	5	+0.64	+0.36	0	0	NaN	0
23	0	10	+0.37	8	5	+0.58	+0.42	0	0	NaN	1
23	0	11	+0.37	8	6	+0.62	+0.38	0	0	NaN	0
23	0	12	+0.37	8	7	+0.57	+0.43	0	0	NaN	0
23	0	13	+0.37	9	7	+0.53	+0.47	0	0	NaN	1
23	0	14	+0.37	9	8	+0.56	+0.44	0	0	NaN	0
23	0	15	+0.37	10	8	+0.53	+0.47	0	0	NaN	1
23	0	16	+0.37	11	8	+0.56	+0.44	0	0	NaN	1
23	0	17	+0.37	11	9	+0.58	+0.42	0	0	NaN	0
23	0	18	+0.37	12	9	+0.55	+0.45	0	0	NaN	1
23	0	19	+0.37	12	10	+0.57	+0.43	0	0	NaN	0
23	0	20	+0.37	13	10	+0.55	+0.45	0	0	NaN	1
23	0	21	+0.37	13	11	+0.57	+0.43	0	0	NaN	0
23	0	22	+0.37	13	12	+0.54	+0.46	0	0	NaN	0
23	0	23	+0.37	13	13	+0.52	+0.48	0	0	NaN	0
23	0	24	+0.37	14	13	+0.50	+0.50	0	0	NaN	1
23	0	25	+0.37	15	13	+0.52	+0.48	0	0	NaN	1
23	0	26	+0.37	15	14	+0.54	+0.46	0	0	NaN	0
23	0	27	+0.37	16	14	+0.52	+0.48	0	0	NaN	1
23	0	28	+0.37	17	14	+0.53	+0.47	0	0	NaN	1
23	0	29	+0.37	18	14	+0.55	+0.45	0	0	NaN	1
23	1	0	+0.65	1	2	+0.50	+0.50	0	0	NaN	0
23	1	1	+0.65	2	2	+0.33	+0.67	1	1	NaN	0
23	1	2	+0.65	2	3	+0.50	+0.50	0	0	NaN	0
23	1	3	+0.65	2	4	+0.40	+0.60	1	1	NaN	1
23	1	4	+0.65	3	4	+0.33	+0.67	1	1	NaN	0
23	1	5	+0.65	4	4	+0.43	+0.57	1	1	NaN	0
23	1	6	+0.65	5	4	+0.50	+0.50	0	0	NaN	1
23	1	7	+0.65	5	5	+0.56	+0.44	0	0	NaN	0
23	1	8	+0.65	5	6	+0.50	+0.50	0	0	NaN	0
23	1	9	+0.65	5	7	+0.45	+0.55	1	1	NaN	1
23	1	10	+0.65	5	8	+0.42	+0.58	1	1	NaN	1
23	1	11	+0.65	5	9	+0.38	+0.62	1	1	NaN	1
23	1	12	+0.65	5	10	+0.36	+0.64	1	1	NaN	1
23	1	13	+0.65	5	11	+0.33	+0.67	1	1	NaN	1
23	1	14	+0.65	6	11	+0.31	+0.69	1	1	NaN	0
23	1	15	+0.65	6	12	+0.35	+0.65	1	1	NaN	1
23	1	16	+0.65	6	13	+0.33	+0.67	1	0	NaN	0
23	1	17	+0.65	6	14	+0.32	+0.68	1	1	NaN	1
23	1	18	+0.65	6	15	+0.30	+0.70	1	1	NaN	1
23	1	19	+0.65	6	16	+0.29	+0.71	1	1	NaN	1
23	1	20	+0.65	6	17	+0.27	+0.73	1	1	NaN	1
23	1	21	+0.65	7	17	+0.26	+0.74	1	0	NaN	1
23	1	22	+0.65	7	18	+0.29	+0.71	1	1	NaN	1
23	1	23	+0.65	7	19	+0.28	+0.72	1	1	NaN	1
23	1	24	+0.65	7	20	+0.27	+0.73	1	1	NaN	1
23	1	25	+0.65	8	20	+0.26	+0.74	1	1	NaN	0
23	1	26	+0.65	8	21	+0.29	+0.71	1	1	NaN	1
23	1	27	+0.65	9	21	+0.28	+0.72	1	1	NaN	0
23	1	28	+0.65	9	22	+0.30	+0.70	1	1	NaN	1
23	1	29	+0.65	10	22	+0.29	+0.71	1	1	NaN	0
23	2	0	+0.42	1	2	+0.50	+0.50	0	0	NaN	0
23	2	1	+0.42	1	3	+0.33	+0.67	1	1	NaN	1
23	2	2	+0.42	2	3	+0.25	+0.75	1	1	NaN	0
23	2	3	+0.42	3	3	+0.40	+0.60	1	1	NaN	0
23	2	4	+0.42	4	3	+0.50	+0.50	0	0	NaN	1
23	2	5	+0.42	4	4	+0.57	+0.43	0	0	NaN	0
23	2	6	+0.42	5	4	+0.50	+0.50	0	0	NaN	1
23	2	7	+0.42	5	5	+0.56	+0.44	0	0	NaN	0
23	2	8	+0.42	5	6	+0.50	+0.50	0	0	NaN	0
23	2	9	+0.42	6	6	+0.45	+0.55	1	1	NaN	0
23	2	10	+0.42	6	7	+0.50	+0.50	0	0	NaN	0
23	2	11	+0.42	7	7	+0.46	+0.54	1	1	NaN	0
23	2	12	+0.42	8	7	+0.50	+0.50	0	0	NaN	1
23	2	13	+0.42	8	8	+0.53	+0.47	0	0	NaN	0
23	2	14	+0.42	9	8	+0.50	+0.50	0	0	NaN	1
23	2	15	+0.42	10	8	+0.53	+0.47	0	0	NaN	1
23	2	16	+0.42	11	8	+0.56	+0.44	0	0	NaN	1
23	2	17	+0.42	12	8	+0.58	+0.42	0	0	NaN	1
