P	k	t	s_t	alpha_t_1	alpha_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
10	0	0	+0.99	NaN	NaN	NaN	NaN	NaN	0	+1.00	0
10	0	1	+0.99	NaN	NaN	NaN	NaN	NaN	0	+0.23	0
10	0	2	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.22	1
10	0	3	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.21	1
10	0	4	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.22	1
10	0	5	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.23	1
10	0	6	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.09	1
10	0	7	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.23	1
10	0	8	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.11	1
10	0	9	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.22	1
10	0	10	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.24	1
10	0	11	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.24	1
10	0	12	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.21	1
10	0	13	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.23	1
10	0	14	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.23	1
10	0	15	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.09	1
10	0	16	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.22	1
10	0	17	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.22	1
10	0	18	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.23	1
10	0	19	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.27	1
10	0	20	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.15	1
10	0	21	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.14	1
10	0	22	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.01	1
10	0	23	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.18	1
10	0	24	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.06	1
10	0	25	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.18	1
10	0	26	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.38	1
10	0	27	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.17	1
10	0	28	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.07	1
10	0	29	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.26	1
10	1	0	+0.19	NaN	NaN	NaN	NaN	NaN	0	+2.83	1
10	1	1	+0.19	NaN	NaN	NaN	NaN	NaN	0	+0.21	1
10	1	2	+0.19	NaN	NaN	NaN	NaN	NaN	0	+0.18	1
10	1	3	+0.19	NaN	NaN	NaN	NaN	NaN	0	+0.20	1
10	1	4	+0.19	NaN	NaN	NaN	NaN	NaN	0	+0.03	1
10	1	5	+0.19	NaN	NaN	NaN	NaN	NaN	0	+0.20	0
10	1	6	+0.19	NaN	NaN	NaN	NaN	NaN	0	+0.20	0
10	1	7	+0.19	NaN	NaN	NaN	NaN	NaN	0	+0.19	1
10	1	8	+0.19	NaN	NaN	NaN	NaN	NaN	0	+0.15	1
10	1	9	+0.19	NaN	NaN	NaN	NaN	NaN	0	+0.39	1
10	1	10	+0.19	NaN	NaN	NaN	NaN	NaN	0	+0.24	1
10	1	11	+0.19	NaN	NaN	NaN	NaN	NaN	0	+0.24	1
10	1	12	+0.19	NaN	NaN	NaN	NaN	NaN	0	+0.21	1
10	1	13	+0.19	NaN	NaN	NaN	NaN	NaN	0	+0.09	1
10	1	14	+0.19	NaN	NaN	NaN	NaN	NaN	0	+0.30	1
10	1	15	+0.19	NaN	NaN	NaN	NaN	NaN	0	+0.13	0
10	1	16	+0.19	NaN	NaN	NaN	NaN	NaN	0	+0.38	0
10	1	17	+0.19	NaN	NaN	NaN	NaN	NaN	0	+0.24	1
10	1	18	+0.19	NaN	NaN	NaN	NaN	NaN	0	+0.16	0
10	1	19	+0.19	NaN	NaN	NaN	NaN	NaN	0	+0.24	1
10	1	20	+0.19	NaN	NaN	NaN	NaN	NaN	0	+0.20	1
10	1	21	+0.19	NaN	NaN	NaN	NaN	NaN	0	+0.02	1
10	1	22	+0.19	NaN	NaN	NaN	NaN	NaN	0	+0.12	0
10	1	23	+0.19	NaN	NaN	NaN	NaN	NaN	0	+0.43	1
10	1	24	+0.19	NaN	NaN	NaN	NaN	NaN	0	+0.10	1
10	1	25	+0.19	NaN	NaN	NaN	NaN	NaN	0	+0.34	1
10	1	26	+0.19	NaN	NaN	NaN	NaN	NaN	0	+0.14	1
10	1	27	+0.19	NaN	NaN	NaN	NaN	NaN	0	+0.46	1
10	1	28	+0.19	NaN	NaN	NaN	NaN	NaN	0	+0.05	1
10	1	29	+0.19	NaN	NaN	NaN	NaN	NaN	0	+0.01	1
10	2	0	+0.28	NaN	NaN	NaN	NaN	NaN	0	+3.44	1
10	2	1	+0.28	NaN	NaN	NaN	NaN	NaN	0	+0.06	0
10	2	2	+0.28	NaN	NaN	NaN	NaN	NaN	0	+0.38	1
10	2	3	+0.28	NaN	NaN	NaN	NaN	NaN	0	+0.25	0
10	2	4	+0.28	NaN	NaN	NaN	NaN	NaN	0	+0.24	1
10	2	5	+0.28	NaN	NaN	NaN	NaN	NaN	0	+0.25	1
10	2	6	+0.28	NaN	NaN	NaN	NaN	NaN	0	+0.15	0
10	2	7	+0.28	NaN	NaN	NaN	NaN	NaN	0	+0.28	0
10	2	8	+0.28	NaN	NaN	NaN	NaN	NaN	0	+0.23	1
10	2	9	+0.28	NaN	NaN	NaN	NaN	NaN	0	+0.24	1
10	2	10	+0.28	NaN	NaN	NaN	NaN	NaN	0	+0.21	0
10	2	11	+0.28	NaN	NaN	NaN	NaN	NaN	0	+0.21	0
10	2	12	+0.28	NaN	NaN	NaN	NaN	NaN	0	+0.17	1
10	2	13	+0.28	NaN	NaN	NaN	NaN	NaN	0	+0.20	1
