P	k	t	s_t	alpha_t_1	alpha_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
5	2	8	+0.50	NaN	NaN	NaN	NaN	NaN	1	+0.27	1
5	2	9	+0.50	NaN	NaN	NaN	NaN	NaN	1	+0.30	0
5	2	10	+0.50	NaN	NaN	NaN	NaN	NaN	0	+0.86	0
5	2	11	+0.50	NaN	NaN	NaN	NaN	NaN	1	+0.36	1
5	2	12	+0.50	NaN	NaN	NaN	NaN	NaN	1	+0.27	0
5	2	13	+0.50	NaN	NaN	NaN	NaN	NaN	0	+0.55	0
5	2	14	+0.50	NaN	NaN	NaN	NaN	NaN	1	+2.45	1
5	2	15	+0.50	NaN	NaN	NaN	NaN	NaN	1	+1.12	1
5	2	16	+0.50	NaN	NaN	NaN	NaN	NaN	1	+0.45	0
5	2	17	+0.50	NaN	NaN	NaN	NaN	NaN	0	+0.42	1
5	2	18	+0.50	NaN	NaN	NaN	NaN	NaN	0	+0.28	1
5	2	19	+0.50	NaN	NaN	NaN	NaN	NaN	0	+0.35	1
5	2	20	+0.50	NaN	NaN	NaN	NaN	NaN	0	+0.36	1
5	2	21	+0.50	NaN	NaN	NaN	NaN	NaN	0	+0.51	0
5	2	22	+0.50	NaN	NaN	NaN	NaN	NaN	1	+0.07	0
5	2	23	+0.50	NaN	NaN	NaN	NaN	NaN	0	+0.44	1
5	2	24	+0.50	NaN	NaN	NaN	NaN	NaN	0	+0.30	1
5	2	25	+0.50	NaN	NaN	NaN	NaN	NaN	0	+0.29	0
5	2	26	+0.50	NaN	NaN	NaN	NaN	NaN	1	+0.29	1
5	2	27	+0.50	NaN	NaN	NaN	NaN	NaN	1	+0.26	1
5	2	28	+0.50	NaN	NaN	NaN	NaN	NaN	1	+0.35	0
5	2	29	+0.50	NaN	NaN	NaN	NaN	NaN	0	+2.58	0
5	3	0	+0.61	NaN	NaN	NaN	NaN	NaN	1	+0.80	0
5	3	1	+0.61	NaN	NaN	NaN	NaN	NaN	0	+0.30	0
5	3	2	+0.61	NaN	NaN	NaN	NaN	NaN	1	+0.49	0
5	3	3	+0.61	NaN	NaN	NaN	NaN	NaN	0	+0.39	0
5	3	4	+0.61	NaN	NaN	NaN	NaN	NaN	0	+0.34	1
5	3	5	+0.61	NaN	NaN	NaN	NaN	NaN	0	+0.31	1
5	3	6	+0.61	NaN	NaN	NaN	NaN	NaN	0	+0.39	1
5	3	7	+0.61	NaN	NaN	NaN	NaN	NaN	0	+0.43	1
5	3	8	+0.61	NaN	NaN	NaN	NaN	NaN	0	+0.49	1
5	3	9	+0.61	NaN	NaN	NaN	NaN	NaN	0	+0.69	0
5	3	10	+0.61	NaN	NaN	NaN	NaN	NaN	1	+0.33	1
5	3	11	+0.61	NaN	NaN	NaN	NaN	NaN	1	+0.32	0
5	3	12	+0.61	NaN	NaN	NaN	NaN	NaN	0	+0.46	1
5	3	13	+0.61	NaN	NaN	NaN	NaN	NaN	0	+0.70	1
5	3	14	+0.61	NaN	NaN	NaN	NaN	NaN	0	+0.90	1
5	3	15	+0.61	NaN	NaN	NaN	NaN	NaN	0	+0.67	0
5	3	16	+0.61	NaN	NaN	NaN	NaN	NaN	1	+0.25	1
5	3	17	+0.61	NaN	NaN	NaN	NaN	NaN	1	+0.67	1
5	3	18	+0.61	NaN	NaN	NaN	NaN	NaN	1	+0.97	1
5	3	19	+0.61	NaN	NaN	NaN	NaN	NaN	1	+0.33	1
5	3	20	+0.61	NaN	NaN	NaN	NaN	NaN	1	+0.44	0
5	3	21	+0.61	NaN	NaN	NaN	NaN	NaN	0	+0.30	1
5	3	22	+0.61	NaN	NaN	NaN	NaN	NaN	0	+0.77	1
5	3	23	+0.61	NaN	NaN	NaN	NaN	NaN	0	+0.91	1
5	3	24	+0.61	NaN	NaN	NaN	NaN	NaN	0	+0.31	0
5	3	25	+0.61	NaN	NaN	NaN	NaN	NaN	1	+0.33	0
5	3	26	+0.61	NaN	NaN	NaN	NaN	NaN	1	+1.31	1
5	3	27	+0.61	NaN	NaN	NaN	NaN	NaN	1	+0.27	1
5	3	28	+0.61	NaN	NaN	NaN	NaN	NaN	1	+0.32	0
5	3	29	+0.61	NaN	NaN	NaN	NaN	NaN	1	+0.54	1
5	4	0	+0.72	NaN	NaN	NaN	NaN	NaN	0	+0.78	0
5	4	1	+0.72	NaN	NaN	NaN	NaN	NaN	1	+0.26	1
5	4	2	+0.72	NaN	NaN	NaN	NaN	NaN	1	+0.32	1
5	4	3	+0.72	NaN	NaN	NaN	NaN	NaN	1	+0.30	0
5	4	4	+0.72	NaN	NaN	NaN	NaN	NaN	0	+0.69	0
5	4	5	+0.72	NaN	NaN	NaN	NaN	NaN	1	+0.35	1
5	4	6	+0.72	NaN	NaN	NaN	NaN	NaN	1	+0.26	0
5	4	7	+0.72	NaN	NaN	NaN	NaN	NaN	0	+0.47	0
5	4	8	+0.72	NaN	NaN	NaN	NaN	NaN	0	+1.04	0
5	4	9	+0.72	NaN	NaN	NaN	NaN	NaN	1	+0.72	1
5	4	10	+0.72	NaN	NaN	NaN	NaN	NaN	1	+0.56	1
5	4	11	+0.72	NaN	NaN	NaN	NaN	NaN	1	+0.33	1
