P	k	t	s_t	alpha_t_1	alpha_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
0	0	0	+0.27	NaN	NaN	NaN	NaN	NaN	0	+2.72	1
0	0	1	+0.27	NaN	NaN	NaN	NaN	NaN	0	+0.71	0
0	0	2	+0.27	NaN	NaN	NaN	NaN	NaN	0	+0.31	1
0	0	3	+0.27	NaN	NaN	NaN	NaN	NaN	0	+0.35	1
0	0	4	+0.27	NaN	NaN	NaN	NaN	NaN	0	+0.29	1
0	0	5	+0.27	NaN	NaN	NaN	NaN	NaN	0	+0.30	1
0	0	6	+0.27	NaN	NaN	NaN	NaN	NaN	0	+0.24	1
0	0	7	+0.27	NaN	NaN	NaN	NaN	NaN	0	+0.26	1
0	0	8	+0.27	NaN	NaN	NaN	NaN	NaN	0	+0.22	1
0	0	9	+0.27	NaN	NaN	NaN	NaN	NaN	0	+0.28	1
0	1	0	+0.99	NaN	NaN	NaN	NaN	NaN	1	+1.18	1
0	1	1	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.45	1
0	1	2	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.28	1
0	1	3	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.28	1
0	1	4	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.25	1
0	1	5	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.27	1
0	1	6	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.27	1
0	1	7	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.26	1
0	1	8	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.28	1
0	1	9	+0.99	NaN	NaN	NaN	NaN	NaN	1	+0.30	1
