P	k	t	s_t	alpha_t_1	alpha_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
8	0	0	+0.14	NaN	NaN	NaN	NaN	NaN	0	+0.66	0
8	0	1	+0.14	NaN	NaN	NaN	NaN	NaN	1	+0.02	0
8	0	2	+0.14	NaN	NaN	NaN	NaN	NaN	1	+0.23	1
8	0	3	+0.14	NaN	NaN	NaN	NaN	NaN	1	+0.21	0
8	0	4	+0.14	NaN	NaN	NaN	NaN	NaN	0	+0.10	1
8	0	5	+0.14	NaN	NaN	NaN	NaN	NaN	0	+0.22	0
8	0	6	+0.14	NaN	NaN	NaN	NaN	NaN	0	+0.07	1
8	0	7	+0.14	NaN	NaN	NaN	NaN	NaN	1	+0.08	0
8	0	8	+0.14	NaN	NaN	NaN	NaN	NaN	1	+0.17	0
8	0	9	+0.14	NaN	NaN	NaN	NaN	NaN	0	+0.39	1
8	0	10	+0.14	NaN	NaN	NaN	NaN	NaN	0	+0.32	1
8	0	11	+0.14	NaN	NaN	NaN	NaN	NaN	0	+0.23	1
8	0	12	+0.14	NaN	NaN	NaN	NaN	NaN	0	+0.31	0
8	0	13	+0.14	NaN	NaN	NaN	NaN	NaN	0	+0.30	1
8	0	14	+0.14	NaN	NaN	NaN	NaN	NaN	0	+0.25	1
8	0	15	+0.14	NaN	NaN	NaN	NaN	NaN	0	+0.27	1
8	0	16	+0.14	NaN	NaN	NaN	NaN	NaN	0	+0.27	1
8	0	17	+0.14	NaN	NaN	NaN	NaN	NaN	0	+0.25	0
8	0	18	+0.14	NaN	NaN	NaN	NaN	NaN	1	+0.33	1
8	0	19	+0.14	NaN	NaN	NaN	NaN	NaN	0	+0.31	1
8	0	20	+0.14	NaN	NaN	NaN	NaN	NaN	0	+0.45	1
8	0	21	+0.14	NaN	NaN	NaN	NaN	NaN	0	+0.31	1
8	0	22	+0.14	NaN	NaN	NaN	NaN	NaN	0	+0.29	0
8	0	23	+0.14	NaN	NaN	NaN	NaN	NaN	1	+0.29	0
8	0	24	+0.14	NaN	NaN	NaN	NaN	NaN	0	+0.24	1
8	0	25	+0.14	NaN	NaN	NaN	NaN	NaN	0	+0.21	1
8	0	26	+0.14	NaN	NaN	NaN	NaN	NaN	0	+0.17	1
8	0	27	+0.14	NaN	NaN	NaN	NaN	NaN	0	+0.27	1
8	0	28	+0.14	NaN	NaN	NaN	NaN	NaN	0	+0.32	1
8	0	29	+0.14	NaN	NaN	NaN	NaN	NaN	0	+0.27	0
8	1	0	+0.29	NaN	NaN	NaN	NaN	NaN	0	+0.72	1
8	1	1	+0.29	NaN	NaN	NaN	NaN	NaN	0	+0.04	1
8	1	2	+0.29	NaN	NaN	NaN	NaN	NaN	0	+0.11	0
8	1	3	+0.29	NaN	NaN	NaN	NaN	NaN	0	+0.18	1
8	1	4	+0.29	NaN	NaN	NaN	NaN	NaN	0	+0.16	0
8	1	5	+0.29	NaN	NaN	NaN	NaN	NaN	0	+0.11	1
8	1	6	+0.29	NaN	NaN	NaN	NaN	NaN	0	+0.08	1
8	1	7	+0.29	NaN	NaN	NaN	NaN	NaN	0	+0.23	1
8	1	8	+0.29	NaN	NaN	NaN	NaN	NaN	0	+0.23	1
8	1	9	+0.29	NaN	NaN	NaN	NaN	NaN	0	+0.25	1
8	1	10	+0.29	NaN	NaN	NaN	NaN	NaN	0	+0.17	1
8	1	11	+0.29	NaN	NaN	NaN	NaN	NaN	0	+0.04	0
8	1	12	+0.29	NaN	NaN	NaN	NaN	NaN	0	+0.11	0
8	1	13	+0.29	NaN	NaN	NaN	NaN	NaN	0	+0.15	1
8	1	14	+0.29	NaN	NaN	NaN	NaN	NaN	0	+0.15	1
8	1	15	+0.29	NaN	NaN	NaN	NaN	NaN	0	+0.08	1
8	1	16	+0.29	NaN	NaN	NaN	NaN	NaN	0	+0.10	0
8	1	17	+0.29	NaN	NaN	NaN	NaN	NaN	0	+0.13	1
8	1	18	+0.29	NaN	NaN	NaN	NaN	NaN	0	+0.08	0
