P	k	t	s_t	c_t	o_t	b_t_1	b_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
39	0	0	1	+0.64	+0.86	+0.00	+1.00	+0.00	+1.00	1	0	NaN	0
39	0	1	1	+0.87	+0.60	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
39	0	2	0	-0.62	-0.51	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
39	0	3	0	-0.41	-0.67	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
39	0	4	1	+0.39	+0.31	+0.06	+0.94	+0.00	+1.00	1	1	NaN	1
39	0	5	0	-0.08	+0.12	+0.27	+0.73	+0.00	+1.00	1	1	NaN	0
39	0	6	0	-0.45	-0.67	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
39	0	7	0	-0.10	-0.14	+0.75	+0.25	+1.00	+0.00	0	0	NaN	1
39	0	8	1	+0.13	-0.04	+0.59	+0.41	+1.00	+0.00	0	0	NaN	0
39	0	9	0	-0.86	-1.19	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
39	0	10	0	-0.52	-0.60	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
39	0	11	1	+0.44	+0.29	+0.08	+0.92	+0.00	+1.00	1	1	NaN	1
39	0	12	1	+0.88	+1.08	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
39	0	13	1	+0.98	+1.42	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
39	0	14	1	+0.16	+0.27	+0.09	+0.91	+0.00	+1.00	1	1	NaN	1
39	0	15	1	+0.92	+1.05	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
39	0	16	0	-0.50	-0.63	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
39	0	17	1	+0.68	+0.74	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
39	0	18	1	+0.56	+0.52	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
39	0	19	1	+0.37	+0.34	+0.04	+0.96	+0.00	+1.00	1	1	NaN	1
39	0	20	0	-0.31	-0.70	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
39	0	21	0	-0.27	-0.04	+0.57	+0.43	+1.00	+0.00	0	0	NaN	1
39	0	22	0	-0.03	+0.28	+0.08	+0.92	+0.00	+1.00	1	1	NaN	0
39	0	23	0	-0.86	-0.83	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
39	0	24	1	+0.83	+1.10	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
39	0	25	1	+0.12	+0.13	+0.25	+0.75	+0.00	+1.00	1	1	NaN	1
39	0	26	0	-0.47	-0.50	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
39	0	27	1	+0.78	+0.88	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
39	0	28	0	-0.55	-0.59	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
39	0	29	0	-0.70	-0.44	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
39	0	30	0	-0.55	-0.72	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
39	0	31	0	-0.05	-0.15	+0.77	+0.23	+1.00	+0.00	0	0	NaN	1
39	0	32	0	-0.07	+0.07	+0.36	+0.64	+0.00	+1.00	1	0	NaN	1
39	0	33	1	+0.46	+0.17	+0.19	+0.81	+0.00	+1.00	1	1	NaN	1
39	0	34	1	+0.55	+0.42	+0.02	+0.98	+0.00	+1.00	1	1	NaN	1
39	0	35	0	-0.29	-0.31	+0.94	+0.06	+1.00	+0.00	0	0	NaN	1
39	0	36	1	+0.70	+0.87	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
39	0	37	1	+0.39	+0.40	+0.02	+0.98	+0.00	+1.00	1	1	NaN	1
39	0	38	1	+0.30	+0.35	+0.04	+0.96	+0.00	+1.00	1	1	NaN	1
39	0	39	0	-0.99	-1.26	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
39	0	40	1	+0.64	+0.71	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
39	0	41	1	+0.74	+0.40	+0.02	+0.98	+0.00	+1.00	1	1	NaN	1
39	0	42	1	+0.35	+0.77	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
39	0	43	1	+0.33	+0.27	+0.09	+0.91	+0.00	+1.00	1	1	NaN	1
39	0	44	0	-0.35	-0.42	+0.98	+0.02	+1.00	+0.00	0	0	NaN	1
39	0	45	0	-0.09	-0.16	+0.79	+0.21	+1.00	+0.00	0	0	NaN	1
39	0	46	0	-0.06	+0.19	+0.17	+0.83	+0.00	+1.00	1	1	NaN	0
39	0	47	1	+0.76	+0.78	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
39	0	48	0	-0.65	-0.65	+1.00	+0.00	+1.00	+0.00	0	1	NaN	0
39	0	49	0	-0.89	-0.77	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
39	0	50	0	-0.83	-0.79	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
39	0	51	1	+0.68	+1.13	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
39	0	52	0	-0.59	-0.53	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
39	0	53	0	-0.26	-0.36	+0.96	+0.04	+1.00	+0.00	0	0	NaN	1
39	0	54	0	-0.90	-0.56	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
39	0	55	1	+0.93	+0.51	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
39	0	56	0	-0.51	-0.46	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
39	0	57	1	+0.66	+0.83	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
39	0	58	1	+0.51	+0.48	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
39	0	59	0	-0.45	-0.33	+0.95	+0.05	+1.00	+0.00	0	0	NaN	1
39	0	60	1	+0.82	+0.79	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
39	0	61	0	-0.91	-1.02	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
39	0	62	1	+0.75	+0.59	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
39	0	63	0	-0.11	-0.23	+0.87	+0.13	+1.00	+0.00	0	0	NaN	1
39	0	64	1	+0.05	+0.20	+0.16	+0.84	+0.00	+1.00	1	1	NaN	1
39	0	65	0	-0.50	-0.59	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
39	0	66	0	-0.14	-0.38	+0.97	+0.03	+1.00	+0.00	0	0	NaN	1
39	0	67	0	-0.73	-0.72	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
39	0	68	1	+0.73	+0.68	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
39	0	69	1	+0.34	+0.22	+0.14	+0.86	+0.00	+1.00	1	1	NaN	1
39	0	70	0	-0.87	-0.80	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
39	0	71	1	+0.31	+0.38	+0.03	+0.97	+0.00	+1.00	1	1	NaN	1
39	0	72	0	-0.24	-0.43	+0.98	+0.02	+1.00	+0.00	0	0	NaN	1
39	0	73	0	-0.77	-0.62	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
39	0	74	1	+0.40	+0.13	+0.25	+0.75	+0.00	+1.00	1	1	NaN	1
39	0	75	0	-0.87	-1.19	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
39	0	76	0	-0.44	-0.48	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
39	0	77	1	+0.31	+0.49	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
39	0	78	0	-0.98	-1.26	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
39	0	79	1	+0.50	+0.13	+0.26	+0.74	+0.00	+1.00	1	1	NaN	1
39	0	80	1	+0.29	+0.35	+0.04	+0.96	+0.00	+1.00	1	1	NaN	1
39	0	81	1	+0.97	+1.02	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
39	0	82	1	+0.08	-0.17	+0.81	+0.19	+1.00	+0.00	0	0	NaN	0
39	0	83	0	-0.38	-0.16	+0.79	+0.21	+1.00	+0.00	0	0	NaN	1
39	0	84	0	-0.85	-0.43	+0.98	+0.02	+1.00	+0.00	0	0	NaN	1
39	0	85	1	+0.89	+0.88	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
39	0	86	1	+0.31	+0.47	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
39	0	87	0	-0.14	+0.13	+0.26	+0.74	+0.00	+1.00	1	1	NaN	0
39	0	88	0	-0.90	-1.10	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
39	0	89	1	+0.83	+0.77	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
39	0	90	1	+0.97	+0.77	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
39	0	91	0	-0.73	-0.93	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
39	0	92	1	+0.90	+0.81	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
39	0	93	0	-0.07	-0.05	+0.59	+0.41	+1.00	+0.00	0	0	NaN	1
39	0	94	1	+0.29	+0.20	+0.16	+0.84	+0.00	+1.00	1	1	NaN	1
39	0	95	1	+0.40	+0.24	+0.12	+0.88	+0.00	+1.00	1	1	NaN	1
39	0	96	0	-0.91	-1.00	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
39	0	97	1	+0.29	+0.35	+0.04	+0.96	+0.00	+1.00	1	1	NaN	1
39	0	98	1	+0.67	+0.38	+0.03	+0.97	+0.00	+1.00	1	1	NaN	1
39	0	99	1	+0.17	-0.05	+0.60	+0.40	+1.00	+0.00	0	0	NaN	0
39	0	100	0	-0.81	-0.58	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
39	0	101	0	-0.06	+0.24	+0.11	+0.89	+0.00	+1.00	1	1	NaN	0
39	0	102	1	+0.09	+0.05	+0.40	+0.60	+0.00	+1.00	1	1	NaN	1
39	0	103	1	+0.80	+0.71	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
39	0	104	1	+0.74	+0.51	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
39	0	105	0	-0.35	-0.31	+0.94	+0.06	+1.00	+0.00	0	0	NaN	1
39	0	106	1	+0.95	+0.75	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
39	0	107	1	+0.76	+0.78	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
39	0	108	0	-0.62	-0.67	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
