P	k	t	s_t	c_t	o_t	b_t_1	b_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
20	0	0	0	-0.67	-0.31	+0.94	+0.06	+1.00	+0.00	0	0	NaN	1
20	0	1	1	+0.10	-0.18	+0.82	+0.18	+1.00	+0.00	0	0	NaN	0
20	0	2	0	-0.14	+0.11	+0.29	+0.71	+0.00	+1.00	1	1	NaN	0
20	0	3	0	-0.77	-0.82	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
20	0	4	1	+0.12	-0.14	+0.76	+0.24	+1.00	+0.00	0	0	NaN	0
20	0	5	1	+0.70	+0.88	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
20	0	6	0	-0.80	-0.78	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
20	0	7	0	-0.57	-0.63	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
20	0	8	0	-0.43	-0.56	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
20	0	9	1	+0.58	+0.72	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
20	0	10	0	-0.94	-1.18	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
20	0	11	1	+0.26	+0.67	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
20	0	12	1	+0.55	+0.95	+0.00	+1.00	+0.00	+1.00	1	0	NaN	0
20	0	13	1	+0.01	-0.13	+0.74	+0.26	+1.00	+0.00	0	0	NaN	0
20	0	14	0	-0.59	-0.49	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
20	0	15	1	+0.19	+0.09	+0.32	+0.68	+0.00	+1.00	1	1	NaN	1
20	0	16	1	+0.17	+0.03	+0.45	+0.55	+0.00	+1.00	1	1	NaN	1
20	0	17	0	-0.14	-0.00	+0.50	+0.50	+1.00	+0.00	0	0	NaN	1
20	0	18	0	-0.04	-0.07	+0.63	+0.37	+1.00	+0.00	0	0	NaN	1
20	0	19	1	+0.83	+1.06	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
20	0	20	0	-0.10	-0.19	+0.82	+0.18	+1.00	+0.00	0	0	NaN	1
20	0	21	1	+0.05	-0.00	+0.50	+0.50	+1.00	+0.00	0	0	NaN	0
20	0	22	1	+0.84	+0.53	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
20	0	23	1	+0.47	+0.25	+0.10	+0.90	+0.00	+1.00	1	1	NaN	1
20	0	24	0	-0.60	-0.52	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
20	0	25	1	+0.83	+0.94	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
20	0	26	0	-0.55	-0.23	+0.87	+0.13	+1.00	+0.00	0	0	NaN	1
20	0	27	1	+0.53	+0.33	+0.05	+0.95	+0.00	+1.00	1	1	NaN	1
20	0	28	0	-0.74	-0.57	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
20	0	29	0	-0.00	-0.20	+0.84	+0.16	+1.00	+0.00	0	0	NaN	1
20	0	30	1	+0.20	-0.25	+0.90	+0.10	+1.00	+0.00	0	0	NaN	0
20	0	31	0	-0.87	-1.06	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
20	0	32	0	-0.37	-0.04	+0.59	+0.41	+1.00	+0.00	0	0	NaN	1
20	0	33	0	-0.32	-0.49	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
