P	k	t	s_t	c_t	o_t	b_t_1	b_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
24	0	0	0	-0.88	-0.96	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
24	0	1	0	-0.49	-0.68	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
24	0	2	0	-0.23	-0.32	+0.95	+0.05	+1.00	+0.00	0	0	NaN	1
24	0	3	0	-0.72	-0.74	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
24	0	4	0	-0.14	-0.35	+0.96	+0.04	+1.00	+0.00	0	0	NaN	1
24	0	5	1	+0.77	+0.67	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
24	0	6	1	+0.40	+0.44	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
24	0	7	0	-0.40	-0.50	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
24	0	8	1	+0.66	+0.49	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
24	0	9	0	-0.17	-0.37	+0.97	+0.03	+1.00	+0.00	0	0	NaN	1
24	0	10	1	+0.10	-0.05	+0.61	+0.39	+1.00	+0.00	0	0	NaN	0
24	0	11	1	+0.25	+0.12	+0.28	+0.72	+0.00	+1.00	1	1	NaN	1
24	0	12	1	+0.67	+0.64	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
24	0	13	0	-0.89	-1.01	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
24	0	14	0	-0.38	-0.30	+0.93	+0.07	+1.00	+0.00	0	0	NaN	1
24	0	15	0	-0.40	-0.38	+0.97	+0.03	+1.00	+0.00	0	0	NaN	1
24	0	16	0	-0.41	-0.37	+0.97	+0.03	+1.00	+0.00	0	0	NaN	1
24	0	17	1	+0.68	+0.55	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
24	0	18	1	+0.95	+1.01	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
24	0	19	0	-0.50	-0.52	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
24	0	20	0	-0.94	-0.94	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
