P	k	t	s_t	c_t	o_t	b_t_1	b_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
23	0	0	0	-0.84	-0.83	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
23	0	1	1	+0.82	+1.00	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
23	0	2	0	-0.07	-0.07	+0.64	+0.36	+1.00	+0.00	0	0	NaN	1
23	0	3	0	-0.31	-0.44	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
23	0	4	0	-0.69	-0.27	+0.91	+0.09	+1.00	+0.00	0	0	NaN	1
23	0	5	0	-0.38	-0.18	+0.82	+0.18	+1.00	+0.00	0	0	NaN	1
23	0	6	1	+0.75	+0.70	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
23	0	7	1	+0.32	+0.08	+0.34	+0.66	+0.00	+1.00	1	1	NaN	1
23	0	8	0	-0.83	-0.91	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
23	0	9	1	+0.45	+0.69	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
23	0	10	0	-0.63	-0.61	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
23	0	11	0	-0.97	-0.90	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
23	0	12	1	+0.08	+0.19	+0.17	+0.83	+0.00	+1.00	1	1	NaN	1
23	0	13	0	-0.99	-0.84	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
23	0	14	0	-0.54	-0.35	+0.96	+0.04	+1.00	+0.00	0	0	NaN	1
23	0	15	0	-0.38	-0.28	+0.92	+0.08	+1.00	+0.00	0	0	NaN	1
23	0	16	1	+0.33	+0.38	+0.03	+0.97	+0.00	+1.00	1	1	NaN	1
23	0	17	0	-0.76	-0.79	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
23	0	18	0	-0.47	-0.70	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
23	0	19	1	+0.79	+0.86	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
23	0	20	1	+0.54	+0.33	+0.05	+0.95	+0.00	+1.00	1	0	NaN	0
23	0	21	1	+0.76	+0.82	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
23	0	22	1	+0.93	+1.11	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
23	0	23	0	-0.23	-0.21	+0.86	+0.14	+1.00	+0.00	0	0	NaN	1
23	0	24	0	-0.72	-0.51	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
23	0	25	0	-0.74	-0.85	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
23	0	26	1	+0.22	+0.20	+0.15	+0.85	+0.00	+1.00	1	1	NaN	1
23	0	27	1	+0.59	+0.65	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
23	0	28	0	-0.01	+0.10	+0.30	+0.70	+0.00	+1.00	1	1	NaN	0
23	0	29	1	+0.02	+0.14	+0.24	+0.76	+0.00	+1.00	1	1	NaN	1
23	0	30	1	+0.12	+0.08	+0.34	+0.66	+0.00	+1.00	1	1	NaN	1
23	0	31	0	-0.22	-0.18	+0.82	+0.18	+1.00	+0.00	0	0	NaN	1
23	0	32	0	-0.13	-0.34	+0.95	+0.05	+1.00	+0.00	0	0	NaN	1
23	0	33	1	+0.54	+0.74	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
