P	k	t	s_t	c_t	o_t	b_t_1	b_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
18	0	0	0	-0.76	-1.23	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
18	0	1	0	-0.96	-0.74	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
18	0	2	1	+0.09	-0.37	+0.97	+0.03	+1.00	+0.00	0	0	NaN	0
18	0	3	0	-0.24	-0.41	+0.98	+0.02	+1.00	+0.00	0	0	NaN	1
18	0	4	1	+0.71	+0.29	+0.07	+0.93	+0.00	+1.00	1	1	NaN	1
18	0	5	0	-0.32	-0.14	+0.76	+0.24	+1.00	+0.00	0	0	NaN	1
18	0	6	1	+0.96	+0.87	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
18	0	7	0	-0.37	-0.65	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
18	0	8	0	-0.34	+0.04	+0.43	+0.57	+0.00	+1.00	1	1	NaN	0
18	0	9	1	+0.97	+0.95	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
18	0	10	1	+0.13	+0.17	+0.20	+0.80	+0.00	+1.00	1	1	NaN	1
18	0	11	0	-0.78	-1.22	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
18	0	12	0	-0.68	-0.67	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
18	0	13	1	+0.34	+0.43	+0.02	+0.98	+0.00	+1.00	1	1	NaN	1
18	0	14	1	+0.61	+0.64	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
18	0	15	0	-0.41	-0.42	+0.98	+0.02	+1.00	+0.00	0	0	NaN	1
18	0	16	1	+0.30	+0.21	+0.15	+0.85	+0.00	+1.00	1	1	NaN	1
18	0	17	0	-0.74	-0.66	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
18	0	18	1	+0.45	+0.58	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
18	0	19	0	-0.65	-0.59	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
18	0	20	0	-0.23	+0.15	+0.23	+0.77	+0.00	+1.00	1	1	NaN	0
18	0	21	0	-0.33	-0.31	+0.94	+0.06	+1.00	+0.00	0	0	NaN	1
18	0	22	1	+0.29	+0.30	+0.07	+0.93	+0.00	+1.00	1	1	NaN	1
