k	t	s_t	c_t	o_t	b_t_1	b_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
0	68	0	-0.62	-0.37	+0.97	+0.03	+1.00	+0.00	0	0	NaN	1
0	69	1	+0.65	+0.47	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
0	70	0	-0.27	+0.15	+0.23	+0.77	+0.00	+1.00	1	1	NaN	0
0	71	0	-0.40	-0.30	+0.94	+0.06	+1.00	+0.00	0	0	NaN	1
0	72	0	-0.62	-0.84	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	73	1	+0.46	+0.40	+0.02	+0.98	+0.00	+1.00	1	1	NaN	1
0	74	1	+0.01	+0.22	+0.13	+0.87	+0.00	+1.00	1	1	NaN	1
0	75	1	+0.87	+0.59	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	76	0	-0.24	-0.42	+0.98	+0.02	+1.00	+0.00	0	0	NaN	1
0	77	1	+0.19	+0.16	+0.21	+0.79	+0.00	+1.00	1	1	NaN	1
0	78	1	+0.53	+0.48	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
0	79	0	-0.87	-0.59	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	80	1	+0.68	+0.67	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	81	1	+0.69	+0.16	+0.21	+0.79	+0.00	+1.00	1	1	NaN	1
0	82	0	-0.67	-0.70	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	83	1	+0.43	+0.45	+0.01	+0.99	+0.00	+1.00	1	0	NaN	0
0	84	0	-0.46	-0.12	+0.72	+0.28	+1.00	+0.00	0	0	NaN	1
0	85	0	-0.50	-0.67	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	86	0	-0.13	+0.13	+0.26	+0.74	+0.00	+1.00	1	1	NaN	0
0	87	1	+0.75	+0.60	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	88	1	+0.03	+0.37	+0.03	+0.97	+0.00	+1.00	1	1	NaN	1
