P	k	t	s_t	c_t	o_t	b_t_1	b_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
12	0	0	1	+0.89	+0.93	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
12	0	1	0	-0.24	-0.46	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
12	0	2	1	+0.75	+0.67	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
12	0	3	1	+0.39	+0.37	+0.03	+0.97	+0.00	+1.00	1	1	NaN	1
12	0	4	1	+0.01	+0.11	+0.29	+0.71	+0.00	+1.00	1	1	NaN	1
12	0	5	1	+0.60	+0.81	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
12	0	6	0	-0.71	-0.73	+1.00	+0.00	+1.00	+0.00	0	1	NaN	0
12	0	7	1	+0.42	+0.59	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
12	0	8	1	+0.83	+1.07	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
12	0	9	0	-0.03	-0.17	+0.80	+0.20	+1.00	+0.00	0	0	NaN	1
12	0	10	0	-0.73	-0.50	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
12	0	11	0	-0.65	-0.90	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
12	0	12	1	+1.00	+0.85	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
12	0	13	0	-0.82	-1.02	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
12	0	14	0	-0.58	-0.84	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
12	0	15	1	+0.18	+0.10	+0.31	+0.69	+0.00	+1.00	1	1	NaN	1
12	0	16	1	+0.54	+0.61	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
12	0	17	0	-0.42	-0.68	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
12	0	18	1	+0.52	+0.47	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
12	0	19	0	-0.57	-0.88	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
12	0	20	0	-0.48	-0.48	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
12	0	21	1	+0.20	+0.35	+0.04	+0.96	+0.00	+1.00	1	1	NaN	1
12	0	22	1	+0.96	+0.96	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
12	0	23	0	-0.09	-0.04	+0.57	+0.43	+1.00	+0.00	0	0	NaN	1
12	0	24	0	-0.78	-0.47	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
12	0	25	0	-0.03	+0.26	+0.10	+0.90	+0.00	+1.00	1	1	NaN	0
12	0	26	0	-0.78	-0.69	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
12	0	27	0	-0.87	-1.06	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
12	0	28	1	+0.36	+0.28	+0.08	+0.92	+0.00	+1.00	1	1	NaN	1
12	0	29	0	-0.64	-1.09	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
12	0	30	0	-0.64	-0.39	+0.97	+0.03	+1.00	+0.00	0	0	NaN	1
12	0	31	1	+0.33	+0.29	+0.07	+0.93	+0.00	+1.00	1	1	NaN	1
12	0	32	1	+0.20	+0.16	+0.21	+0.79	+0.00	+1.00	1	1	NaN	1
12	0	33	0	-0.15	-0.44	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
12	0	34	0	-0.72	-0.95	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
12	0	35	1	+0.49	+0.63	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
12	0	36	0	-0.33	-0.02	+0.54	+0.46	+1.00	+0.00	0	0	NaN	1
12	0	37	0	-0.03	+0.01	+0.48	+0.52	+0.00	+1.00	1	1	NaN	0
12	0	38	1	+0.40	+0.43	+0.02	+0.98	+0.00	+1.00	1	1	NaN	1
12	0	39	1	+0.54	+0.45	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
12	0	40	0	-0.59	-0.43	+0.98	+0.02	+1.00	+0.00	0	0	NaN	1
12	0	41	1	+0.33	+0.05	+0.40	+0.60	+0.00	+1.00	1	1	NaN	1
12	0	42	0	-0.05	-0.26	+0.90	+0.10	+1.00	+0.00	0	0	NaN	1
12	0	43	1	+0.79	+0.74	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
12	0	44	0	-0.18	+0.02	+0.46	+0.54	+0.00	+1.00	1	1	NaN	0
12	0	45	1	+0.69	+0.81	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
12	0	46	0	-0.61	-0.39	+0.98	+0.02	+1.00	+0.00	0	0	NaN	1
12	0	47	0	-0.85	-1.13	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
12	0	48	1	+0.05	+0.55	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
12	0	49	0	-0.03	+0.28	+0.08	+0.92	+0.00	+1.00	1	1	NaN	0
