P	k	t	s_t	c_t	o_t	b_t_1	b_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
35	0	0	1	+0.84	+0.84	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
35	0	1	1	+0.03	+0.31	+0.06	+0.94	+0.00	+1.00	1	1	NaN	1
35	0	2	1	+0.80	+0.49	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
35	0	3	0	-0.90	-1.02	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
35	0	4	1	+0.55	+0.37	+0.03	+0.97	+0.00	+1.00	1	1	NaN	1
35	0	5	0	-0.63	-0.24	+0.89	+0.11	+1.00	+0.00	0	0	NaN	1
35	0	6	0	-0.99	-0.75	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
35	0	7	0	-0.37	-0.47	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
35	0	8	1	+0.49	+0.90	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
35	0	9	1	+0.76	+0.62	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
35	0	10	1	+0.87	+0.67	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
35	0	11	1	+0.18	+0.35	+0.04	+0.96	+0.00	+1.00	1	1	NaN	1
35	0	12	1	+0.16	+0.37	+0.03	+0.97	+0.00	+1.00	1	1	NaN	1
35	0	13	1	+0.13	+0.34	+0.04	+0.96	+0.00	+1.00	1	1	NaN	1
35	0	14	0	-0.37	-0.29	+0.93	+0.07	+1.00	+0.00	0	0	NaN	1
35	0	15	0	-0.42	-0.59	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
35	0	16	1	+0.79	+0.54	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
35	0	17	0	-0.69	-0.52	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
35	0	18	0	-0.66	-0.85	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
35	0	19	1	+0.01	-0.22	+0.86	+0.14	+1.00	+0.00	0	0	NaN	0
35	0	20	1	+0.50	+0.59	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
35	0	21	1	+0.22	+0.29	+0.07	+0.93	+0.00	+1.00	1	1	NaN	1
35	0	22	0	-0.60	-0.73	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
35	0	23	0	-0.97	-0.90	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
35	0	24	0	-0.11	+0.06	+0.39	+0.61	+0.00	+1.00	1	1	NaN	0
35	0	25	1	+0.64	+0.46	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
35	0	26	0	-0.21	-0.25	+0.89	+0.11	+1.00	+0.00	0	0	NaN	1
35	0	27	1	+0.15	-0.01	+0.51	+0.49	+1.00	+0.00	0	0	NaN	0
35	0	28	1	+0.18	+0.02	+0.46	+0.54	+0.00	+1.00	1	1	NaN	1
35	0	29	1	+0.38	+0.48	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
35	0	30	0	-0.07	-0.13	+0.74	+0.26	+1.00	+0.00	0	0	NaN	1
35	0	31	0	-0.73	-0.93	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
35	0	32	1	+0.60	+0.57	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
35	0	33	0	-0.73	-0.55	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
35	0	34	1	+0.36	+0.03	+0.45	+0.55	+0.00	+1.00	1	1	NaN	1
35	0	35	1	+0.13	-0.17	+0.80	+0.20	+1.00	+0.00	0	0	NaN	0
35	0	36	0	-0.36	-0.70	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
35	0	37	0	-0.09	-0.16	+0.79	+0.21	+1.00	+0.00	0	0	NaN	1
35	0	38	1	+0.99	+1.06	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
35	0	39	0	-0.86	-0.44	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
35	0	40	1	+0.80	+0.80	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
35	0	41	1	+0.22	-0.05	+0.60	+0.40	+1.00	+0.00	0	0	NaN	0
35	0	42	0	-0.88	-1.21	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
35	0	43	0	-0.55	-0.58	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
35	0	44	0	-0.00	-0.01	+0.51	+0.49	+1.00	+0.00	0	0	NaN	1
35	0	45	1	+0.42	+0.47	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
35	0	46	0	-0.16	-0.05	+0.61	+0.39	+1.00	+0.00	0	0	NaN	1
35	0	47	0	-0.19	-0.04	+0.59	+0.41	+1.00	+0.00	0	0	NaN	1
35	0	48	0	-0.44	-0.73	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
35	0	49	1	+0.23	+0.11	+0.30	+0.70	+0.00	+1.00	1	1	NaN	1
35	0	50	1	+0.91	+1.09	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
35	0	51	1	+0.98	+0.97	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
35	0	52	1	+0.90	+1.17	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
35	0	53	1	+0.17	+0.11	+0.29	+0.71	+0.00	+1.00	1	1	NaN	1
35	0	54	0	-0.71	-0.82	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
