P	k	t	s_t	c_t	o_t	b_t_1	b_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
13	0	0	1	+0.76	+0.67	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
13	0	1	1	+0.07	+0.31	+0.06	+0.94	+0.00	+1.00	1	1	NaN	1
13	0	2	0	-0.86	-0.72	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
13	0	3	0	-0.00	+0.04	+0.43	+0.57	+0.00	+1.00	1	1	NaN	0
13	0	4	1	+0.96	+1.10	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
13	0	5	1	+0.12	+0.09	+0.32	+0.68	+0.00	+1.00	1	1	NaN	1
13	0	6	1	+0.65	+0.58	+0.00	+1.00	+0.00	+1.00	1	0	NaN	0
13	0	7	0	-0.74	-0.75	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
13	0	8	0	-0.28	-0.27	+0.91	+0.09	+1.00	+0.00	0	0	NaN	1
13	0	9	0	-0.76	-0.57	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
13	0	10	0	-0.75	-0.76	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
13	0	11	1	+0.88	+1.15	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
13	0	12	0	-0.25	-0.10	+0.69	+0.31	+1.00	+0.00	0	0	NaN	1
13	0	13	1	+0.12	-0.10	+0.70	+0.30	+1.00	+0.00	0	0	NaN	0
13	0	14	1	+0.33	+0.47	+0.01	+0.99	+0.00	+1.00	1	0	NaN	0
13	0	15	0	-0.43	-0.56	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
13	0	16	1	+0.49	+0.58	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
13	0	17	1	+0.91	+0.74	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
13	0	18	1	+0.93	+0.67	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
13	0	19	1	+0.87	+0.46	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
13	0	20	0	-0.48	-0.86	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
13	0	21	0	-0.13	-0.21	+0.85	+0.15	+1.00	+0.00	0	0	NaN	1
13	0	22	1	+0.75	+0.68	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
13	0	23	0	-0.31	-0.55	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
