P	k	t	s_t	c_t	o_t	b_t_1	b_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
17	0	0	0	-0.82	-0.62	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	1	1	+0.70	+0.79	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	2	0	-0.14	-0.31	+0.94	+0.06	+1.00	+0.00	0	1	NaN	0
17	0	3	1	+0.77	+0.68	+0.00	+1.00	+0.00	+1.00	1	0	NaN	0
17	0	4	0	-0.33	-0.21	+0.85	+0.15	+1.00	+0.00	0	0	NaN	1
17	0	5	1	+0.04	-0.03	+0.56	+0.44	+1.00	+0.00	0	0	NaN	0
17	0	6	0	-0.03	-0.21	+0.85	+0.15	+1.00	+0.00	0	0	NaN	1
17	0	7	0	-0.95	-0.98	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	8	0	-0.88	-1.10	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	9	1	+0.46	+0.56	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	10	0	-0.74	-0.82	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	11	1	+0.87	+1.07	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	12	1	+0.92	+1.30	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	13	1	+0.97	+1.46	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	14	1	+0.04	-0.06	+0.62	+0.38	+1.00	+0.00	0	0	NaN	0
17	0	15	1	+0.16	+0.61	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	16	0	-0.02	+0.07	+0.37	+0.63	+0.00	+1.00	1	1	NaN	0
17	0	17	1	+0.86	+0.95	+0.00	+1.00	+0.00	+1.00	1	0	NaN	0
17	0	18	1	+0.02	-0.18	+0.81	+0.19	+1.00	+0.00	0	0	NaN	0
17	0	19	0	-0.13	-0.08	+0.65	+0.35	+1.00	+0.00	0	0	NaN	1
17	0	20	0	-0.86	-1.13	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	21	1	+0.43	+1.00	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	22	0	-0.73	-0.89	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	23	0	-0.20	-0.33	+0.95	+0.05	+1.00	+0.00	0	0	NaN	1
17	0	24	0	-0.29	-0.18	+0.82	+0.18	+1.00	+0.00	0	0	NaN	1
17	0	25	0	-0.64	-0.58	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	26	0	-0.70	-0.71	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	27	1	+0.77	+0.84	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	28	1	+0.49	+0.33	+0.05	+0.95	+0.00	+1.00	1	1	NaN	1
17	0	29	1	+0.75	+1.05	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	30	0	-0.90	-0.93	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	31	0	-0.92	-1.19	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	32	1	+0.39	+0.35	+0.04	+0.96	+0.00	+1.00	1	1	NaN	1
17	0	33	1	+0.78	+0.89	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	34	1	+0.31	+0.59	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	35	0	-0.35	-0.35	+0.96	+0.04	+1.00	+0.00	0	0	NaN	1
17	0	36	1	+0.56	+0.87	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	37	1	+0.19	+0.10	+0.31	+0.69	+0.00	+1.00	1	1	NaN	1
17	0	38	1	+0.20	+0.19	+0.17	+0.83	+0.00	+1.00	1	1	NaN	1
17	0	39	0	-0.22	+0.07	+0.36	+0.64	+0.00	+1.00	1	1	NaN	0
17	0	40	0	-0.11	-0.17	+0.81	+0.19	+1.00	+0.00	0	0	NaN	1
17	0	41	0	-0.63	-0.55	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	42	0	-0.20	-0.53	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	43	0	-0.02	-0.28	+0.92	+0.08	+1.00	+0.00	0	0	NaN	1
17	0	44	1	+0.83	+0.84	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	45	0	-0.48	-0.80	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	46	0	-0.87	-0.59	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	47	1	+0.43	+0.41	+0.02	+0.98	+0.00	+1.00	1	1	NaN	1
17	0	48	1	+0.92	+0.85	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	49	1	+0.22	+0.13	+0.26	+0.74	+0.00	+1.00	1	1	NaN	1
17	0	50	0	-0.54	-0.65	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	51	0	-0.22	-0.20	+0.84	+0.16	+1.00	+0.00	0	0	NaN	1
17	0	52	1	+0.56	+0.41	+0.02	+0.98	+0.00	+1.00	1	1	NaN	1
17	0	53	0	-0.72	-0.77	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	54	1	+0.49	+0.31	+0.06	+0.94	+0.00	+1.00	1	1	NaN	1
17	0	55	1	+0.65	+0.66	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	56	0	-0.12	-0.19	+0.82	+0.18	+1.00	+0.00	0	0	NaN	1
17	0	57	1	+0.41	+0.17	+0.20	+0.80	+0.00	+1.00	1	1	NaN	1
17	0	58	0	-0.60	-0.43	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
17	0	59	1	+0.25	+0.41	+0.02	+0.98	+0.00	+1.00	1	1	NaN	1
17	0	60	0	-0.52	-0.57	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	61	0	-0.58	-0.18	+0.82	+0.18	+1.00	+0.00	0	0	NaN	1
17	0	62	1	+0.05	+0.17	+0.19	+0.81	+0.00	+1.00	1	1	NaN	1
17	0	63	0	-0.92	-0.86	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	64	0	-0.89	-0.80	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	65	1	+0.74	+0.67	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	66	0	-0.03	+0.24	+0.12	+0.88	+0.00	+1.00	1	1	NaN	0
17	0	67	1	+0.10	-0.28	+0.92	+0.08	+1.00	+0.00	0	0	NaN	0
17	0	68	0	-0.97	-0.76	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	69	1	+0.93	+0.59	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	70	1	+0.16	+0.09	+0.33	+0.67	+0.00	+1.00	1	1	NaN	1
17	0	71	0	-0.04	+0.14	+0.24	+0.76	+0.00	+1.00	1	1	NaN	0
17	0	72	0	-0.90	-1.10	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	73	1	+0.61	+0.59	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	74	1	+0.05	-0.02	+0.54	+0.46	+1.00	+0.00	0	0	NaN	0
17	0	75	1	+0.46	+0.54	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	76	1	+0.09	+0.19	+0.17	+0.83	+0.00	+1.00	1	1	NaN	1
17	0	77	0	-0.76	-0.87	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	78	0	-0.13	-0.17	+0.80	+0.20	+1.00	+0.00	0	0	NaN	1
17	0	79	1	+0.85	+0.97	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	80	1	+0.29	+0.70	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	81	1	+0.41	+0.07	+0.35	+0.65	+0.00	+1.00	1	1	NaN	1
17	0	82	1	+0.66	+0.42	+0.02	+0.98	+0.00	+1.00	1	1	NaN	1
17	0	83	0	-0.11	-0.27	+0.91	+0.09	+1.00	+0.00	0	0	NaN	1
17	0	84	0	-0.46	-0.35	+0.96	+0.04	+1.00	+0.00	0	0	NaN	1
17	0	85	0	-0.70	-0.82	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	86	1	+0.79	+1.25	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	87	1	+0.77	+0.81	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	88	1	+0.23	+0.55	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	89	0	-0.30	-0.46	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
17	0	90	1	+0.91	+0.94	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	91	1	+0.32	+0.34	+0.05	+0.95	+0.00	+1.00	1	1	NaN	1
17	0	92	1	+0.75	+0.78	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	93	0	-0.09	-0.51	+0.99	+0.01	+1.00	+0.00	0	1	NaN	0
17	0	94	0	-0.49	-0.26	+0.90	+0.10	+1.00	+0.00	0	0	NaN	1
17	0	95	1	+0.86	+0.45	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
17	0	96	0	-0.83	-0.92	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	97	0	-0.12	+0.08	+0.34	+0.66	+0.00	+1.00	1	1	NaN	0
17	0	98	0	-0.07	-0.11	+0.71	+0.29	+1.00	+0.00	0	0	NaN	1
17	0	99	0	-0.82	-1.14	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	100	0	-0.69	-0.76	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	101	1	+0.73	+0.73	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	102	1	+0.19	+0.43	+0.02	+0.98	+0.00	+1.00	1	1	NaN	1
17	0	103	1	+0.98	+1.11	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	104	1	+0.61	+0.49	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
17	0	105	0	-0.19	-0.01	+0.53	+0.47	+1.00	+0.00	0	1	NaN	0
17	0	106	0	-0.45	-0.10	+0.69	+0.31	+1.00	+0.00	0	0	NaN	1
17	0	107	1	+0.56	+0.61	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	108	1	+0.09	-0.21	+0.85	+0.15	+1.00	+0.00	0	0	NaN	0
17	0	109	0	-0.07	-0.26	+0.90	+0.10	+1.00	+0.00	0	0	NaN	1
17	0	110	1	+0.75	+0.67	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	111	1	+0.96	+0.77	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	112	0	-0.09	+0.15	+0.22	+0.78	+0.00	+1.00	1	1	NaN	0
17	0	113	1	+0.94	+1.08	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	114	1	+0.58	+0.08	+0.35	+0.65	+0.00	+1.00	1	1	NaN	1
17	0	115	1	+0.61	-0.02	+0.53	+0.47	+1.00	+0.00	0	0	NaN	0
17	0	116	0	-0.52	-0.55	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	117	1	+0.32	+0.07	+0.36	+0.64	+0.00	+1.00	1	1	NaN	1
17	0	118	0	-0.89	-0.91	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	119	1	+0.91	+0.90	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	120	0	-0.54	-0.58	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	121	1	+0.21	+0.26	+0.10	+0.90	+0.00	+1.00	1	1	NaN	1
17	0	122	1	+0.53	+0.66	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	123	1	+0.30	+0.28	+0.08	+0.92	+0.00	+1.00	1	1	NaN	1
17	0	124	0	-0.96	-1.06	+1.00	+0.00	+1.00	+0.00	0	1	NaN	0
17	0	125	1	+0.49	+0.41	+0.02	+0.98	+0.00	+1.00	1	0	NaN	0
17	0	126	1	+0.35	+0.15	+0.23	+0.77	+0.00	+1.00	1	1	NaN	1
17	0	127	1	+0.73	+0.96	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	128	1	+0.31	+0.18	+0.18	+0.82	+0.00	+1.00	1	1	NaN	1
17	0	129	1	+0.30	+0.38	+0.03	+0.97	+0.00	+1.00	1	1	NaN	1
17	0	130	0	-0.41	-0.61	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	131	0	-0.63	-0.82	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	132	0	-0.54	-0.68	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	133	0	-0.15	-0.08	+0.65	+0.35	+1.00	+0.00	0	0	NaN	1
17	0	134	0	-0.07	+0.07	+0.37	+0.63	+0.00	+1.00	1	1	NaN	0
17	0	135	1	+0.33	+0.15	+0.23	+0.77	+0.00	+1.00	1	1	NaN	1
17	0	136	1	+0.00	-0.03	+0.57	+0.43	+1.00	+0.00	0	0	NaN	0
17	0	137	0	-0.42	-0.40	+0.98	+0.02	+1.00	+0.00	0	0	NaN	1
17	0	138	0	-0.23	-0.48	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
17	0	139	0	-0.10	+0.05	+0.41	+0.59	+0.00	+1.00	1	1	NaN	0
17	0	140	1	+0.79	+0.87	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	141	0	-0.95	-0.78	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	142	1	+0.94	+1.41	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	143	1	+0.98	+1.10	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	144	1	+0.25	+0.13	+0.27	+0.73	+0.00	+1.00	1	1	NaN	1
17	0	145	0	-0.52	-0.57	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	146	0	-0.72	-0.51	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
17	0	147	1	+0.56	+0.27	+0.09	+0.91	+0.00	+1.00	1	1	NaN	1
17	0	148	0	-0.48	-0.45	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
17	0	149	0	-0.03	-0.15	+0.78	+0.22	+1.00	+0.00	0	0	NaN	1
17	0	150	0	-0.20	-0.38	+0.97	+0.03	+1.00	+0.00	0	1	NaN	0
17	0	151	1	+0.97	+1.29	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	152	0	-0.10	-0.07	+0.64	+0.36	+1.00	+0.00	0	0	NaN	1
17	0	153	1	+0.83	+1.23	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	154	1	+0.98	+0.93	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	155	1	+0.42	+0.05	+0.40	+0.60	+0.00	+1.00	1	1	NaN	1
17	0	156	1	+0.34	+0.16	+0.21	+0.79	+0.00	+1.00	1	1	NaN	1
17	0	157	1	+0.61	+0.58	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	158	1	+0.85	+0.98	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
17	0	159	0	-0.71	-0.84	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	160	0	-0.72	-0.77	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	161	1	+0.42	+0.49	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
17	0	162	0	-0.42	-0.27	+0.92	+0.08	+1.00	+0.00	0	0	NaN	1
17	0	163	0	-0.92	-0.86	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	164	0	-0.56	-0.62	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
17	0	165	1	+0.94	+0.94	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
