P	k	t	s_t	c_t	o_t	b_t_1	b_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
10	0	0	1	+0.50	+0.68	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
10	0	1	1	+0.88	+0.66	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
10	0	2	0	-0.93	-0.90	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
10	0	3	0	-0.82	-1.03	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
10	0	4	0	-0.54	-0.35	+0.96	+0.04	+1.00	+0.00	0	1	NaN	0
10	0	5	0	-0.68	-0.44	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
10	0	6	0	-0.97	-1.46	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
10	0	7	0	-0.45	-0.36	+0.97	+0.03	+1.00	+0.00	0	1	NaN	0
10	0	8	1	+0.37	-0.01	+0.52	+0.48	+1.00	+0.00	0	0	NaN	0
10	0	9	1	+0.44	+0.11	+0.29	+0.71	+0.00	+1.00	1	1	NaN	1
10	0	10	0	-0.72	-0.51	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
10	0	11	1	+0.17	+0.20	+0.16	+0.84	+0.00	+1.00	1	1	NaN	1
10	0	12	0	-0.53	-0.37	+0.97	+0.03	+1.00	+0.00	0	0	NaN	1
10	0	13	0	-0.34	-0.07	+0.63	+0.37	+1.00	+0.00	0	0	NaN	1
10	0	14	0	-0.24	-0.25	+0.90	+0.10	+1.00	+0.00	0	0	NaN	1
10	0	15	1	+0.89	+0.82	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
10	0	16	0	-0.13	-0.06	+0.62	+0.38	+1.00	+0.00	0	0	NaN	1
10	0	17	1	+0.10	-0.11	+0.71	+0.29	+1.00	+0.00	0	0	NaN	0
10	0	18	0	-0.08	+0.10	+0.31	+0.69	+0.00	+1.00	1	1	NaN	0
10	0	19	0	-0.01	-0.08	+0.66	+0.34	+1.00	+0.00	0	0	NaN	1
10	0	20	0	-0.58	-0.13	+0.75	+0.25	+1.00	+0.00	0	0	NaN	1
10	0	21	1	+0.93	+1.15	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
10	0	22	0	-0.65	-0.51	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
10	0	23	1	+0.98	+0.89	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
10	0	24	1	+0.28	+0.22	+0.14	+0.86	+0.00	+1.00	1	1	NaN	1
10	0	25	1	+0.78	+0.99	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
10	0	26	0	-0.86	-0.61	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
10	0	27	1	+0.22	+0.22	+0.14	+0.86	+0.00	+1.00	1	1	NaN	1
10	0	28	0	-0.34	-0.38	+0.97	+0.03	+1.00	+0.00	0	0	NaN	1
10	0	29	1	+0.57	+0.73	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
10	0	30	1	+0.96	+1.22	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
