P	k	t	s_t	c_t	o_t	b_t_1	b_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
14	0	0	0	-0.27	+0.16	+0.21	+0.79	+0.00	+1.00	1	1	NaN	0
14	0	1	1	+0.06	+0.25	+0.11	+0.89	+0.00	+1.00	1	1	NaN	1
14	0	2	0	-0.79	-0.75	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
14	0	3	0	-0.94	-0.79	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
14	0	4	1	+0.61	+0.65	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
14	0	5	0	-0.72	-0.22	+0.87	+0.13	+1.00	+0.00	0	0	NaN	1
14	0	6	0	-0.96	-1.10	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
14	0	7	1	+0.94	+0.73	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
14	0	8	1	+0.15	+0.08	+0.34	+0.66	+0.00	+1.00	1	0	NaN	0
14	0	9	1	+0.02	+0.09	+0.32	+0.68	+0.00	+1.00	1	1	NaN	1
14	0	10	1	+0.76	+0.69	+0.00	+1.00	+0.00	+1.00	1	0	NaN	0
14	0	11	0	-0.84	-0.62	+1.00	+0.00	+1.00	+0.00	0	1	NaN	0
14	0	12	1	+0.42	+0.22	+0.13	+0.87	+0.00	+1.00	1	1	NaN	1
14	0	13	1	+0.09	+0.15	+0.23	+0.77	+0.00	+1.00	1	1	NaN	1
14	0	14	0	-0.40	-0.75	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
14	0	15	1	+0.73	+0.67	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
14	0	16	0	-0.07	-0.01	+0.52	+0.48	+1.00	+0.00	0	0	NaN	1
14	0	17	1	+0.07	-0.16	+0.78	+0.22	+1.00	+0.00	0	0	NaN	0
14	0	18	1	+0.81	+0.61	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
14	0	19	0	-0.19	-0.44	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
14	0	20	0	-0.93	-1.07	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
14	0	21	1	+0.65	+0.79	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
14	0	22	1	+0.56	+0.57	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
14	0	23	0	-0.20	-0.57	+1.00	+0.00	+1.00	+0.00	0	1	NaN	0
14	0	24	1	+0.80	+0.77	+0.00	+1.00	+0.00	+1.00	1	0	NaN	0
14	0	25	1	+0.37	+0.36	+0.04	+0.96	+0.00	+1.00	1	1	NaN	1
14	0	26	0	-0.25	-0.16	+0.78	+0.22	+1.00	+0.00	0	0	NaN	1
14	0	27	1	+0.48	+0.33	+0.05	+0.95	+0.00	+1.00	1	1	NaN	1
14	0	28	0	-0.73	-0.88	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
14	0	29	1	+0.58	+0.54	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
14	0	30	1	+0.83	+0.65	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
14	0	31	0	-0.81	-0.95	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
14	0	32	1	+0.67	+0.43	+0.02	+0.98	+0.00	+1.00	1	0	NaN	0
14	0	33	0	-0.54	-0.37	+0.97	+0.03	+1.00	+0.00	0	0	NaN	1
14	0	34	1	+0.70	+0.15	+0.22	+0.78	+0.00	+1.00	1	1	NaN	1
14	0	35	0	-0.94	-0.82	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
14	0	36	1	+0.86	+0.66	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
14	0	37	0	-0.50	-0.34	+0.95	+0.05	+1.00	+0.00	0	0	NaN	1
14	0	38	1	+0.95	+0.98	+0.00	+1.00	+0.00	+1.00	1	0	NaN	0
14	0	39	1	+0.93	+0.90	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
14	0	40	1	+0.14	+0.16	+0.21	+0.79	+0.00	+1.00	1	1	NaN	1
14	0	41	0	-0.08	-0.06	+0.61	+0.39	+1.00	+0.00	0	0	NaN	1
14	0	42	0	-0.57	-0.66	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
14	0	43	1	+0.12	-0.14	+0.75	+0.25	+1.00	+0.00	0	0	NaN	0
14	0	44	1	+0.43	+0.60	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
14	0	45	1	+0.35	+0.27	+0.09	+0.91	+0.00	+1.00	1	1	NaN	1
14	0	46	0	-0.04	-0.01	+0.53	+0.47	+1.00	+0.00	0	0	NaN	1
14	0	47	0	-0.30	-0.22	+0.86	+0.14	+1.00	+0.00	0	0	NaN	1
14	0	48	1	+0.24	+0.13	+0.25	+0.75	+0.00	+1.00	1	1	NaN	1
14	0	49	1	+0.28	+0.22	+0.14	+0.86	+0.00	+1.00	1	0	NaN	0
14	0	50	1	+0.28	+0.31	+0.06	+0.94	+0.00	+1.00	1	1	NaN	1
14	0	51	0	-0.24	+0.04	+0.42	+0.58	+0.00	+1.00	1	1	NaN	0
14	0	52	1	+0.27	+0.43	+0.02	+0.98	+0.00	+1.00	1	1	NaN	1
14	0	53	1	+0.56	+0.36	+0.03	+0.97	+0.00	+1.00	1	1	NaN	1
14	0	54	1	+0.84	+0.97	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
14	0	55	0	-0.70	-0.74	+1.00	+0.00	+1.00	+0.00	0	1	NaN	0
14	0	56	1	+0.53	+0.45	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
14	0	57	0	-0.75	-0.65	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
14	0	58	0	-0.57	-0.50	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
14	0	59	0	-0.05	-0.30	+0.93	+0.07	+1.00	+0.00	0	1	NaN	0
14	0	60	0	-0.79	-0.64	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
14	0	61	0	-0.72	-0.63	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
14	0	62	1	+0.58	+0.48	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
14	0	63	1	+0.02	-0.39	+0.97	+0.03	+1.00	+0.00	0	0	NaN	0
14	0	64	1	+0.66	+0.73	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
14	0	65	0	-0.52	-0.25	+0.90	+0.10	+1.00	+0.00	0	0	NaN	1
14	0	66	1	+0.07	-0.09	+0.68	+0.32	+1.00	+0.00	0	1	NaN	1
14	0	67	1	+0.79	+1.02	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
14	0	68	0	-0.43	-0.23	+0.88	+0.12	+1.00	+0.00	0	0	NaN	1
14	0	69	1	+0.30	+0.55	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
14	0	70	1	+0.92	+1.06	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
