P	k	t	s_t	c_t	o_t	b_t_1	b_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
28	0	0	0	-0.54	-0.64	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
28	0	1	1	+0.61	+0.62	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
28	0	2	0	-0.47	-0.44	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
28	0	3	1	+1.00	+0.72	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
28	0	4	1	+0.12	+0.18	+0.19	+0.81	+0.00	+1.00	1	1	NaN	1
28	0	5	0	-0.70	-0.72	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
28	0	6	1	+0.46	+0.58	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
28	0	7	1	+0.24	+0.48	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
28	0	8	0	-0.21	-0.56	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
28	0	9	0	-0.91	-0.75	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
28	0	10	1	+0.46	+0.18	+0.18	+0.82	+0.00	+1.00	1	1	NaN	1
28	0	11	1	+0.14	-0.05	+0.60	+0.40	+1.00	+0.00	0	0	NaN	0
28	0	12	0	-0.64	-0.84	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
28	0	13	0	-0.03	+0.02	+0.45	+0.55	+0.00	+1.00	1	1	NaN	0
28	0	14	0	-0.17	-0.41	+0.98	+0.02	+1.00	+0.00	0	1	NaN	0
28	0	15	1	+0.19	+0.00	+0.49	+0.51	+0.00	+1.00	1	1	NaN	1
28	0	16	1	+0.59	+0.51	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
28	0	17	1	+0.50	+0.48	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
28	0	18	1	+0.81	+0.89	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
28	0	19	1	+0.58	+0.76	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
28	0	20	1	+0.37	+0.36	+0.04	+0.96	+0.00	+1.00	1	1	NaN	1
28	0	21	1	+0.93	+1.06	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
28	0	22	1	+0.96	+0.81	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
28	0	23	1	+0.97	+1.36	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
28	0	24	0	-0.82	-0.96	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
28	0	25	0	-0.42	-0.49	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
28	0	26	0	-0.15	+0.01	+0.49	+0.51	+0.00	+1.00	1	1	NaN	0
28	0	27	0	-0.42	-0.03	+0.55	+0.45	+1.00	+0.00	0	0	NaN	1
28	0	28	1	+0.19	+0.03	+0.44	+0.56	+0.00	+1.00	1	1	NaN	1
28	0	29	1	+0.90	+0.68	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
28	0	30	1	+0.41	+0.22	+0.13	+0.87	+0.00	+1.00	1	1	NaN	1
28	0	31	1	+0.52	+0.41	+0.02	+0.98	+0.00	+1.00	1	1	NaN	1
28	0	32	1	+0.11	+0.37	+0.03	+0.97	+0.00	+1.00	1	1	NaN	1
28	0	33	1	+0.33	+0.14	+0.24	+0.76	+0.00	+1.00	1	1	NaN	1
28	0	34	1	+0.85	+0.93	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
28	0	35	0	-0.29	-0.60	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
28	0	36	0	-0.87	-0.70	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
28	0	37	1	+0.51	+0.46	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
28	0	38	0	-0.44	-0.53	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
28	0	39	0	-0.14	+0.15	+0.22	+0.78	+0.00	+1.00	1	1	NaN	0
28	0	40	1	+0.49	+0.35	+0.04	+0.96	+0.00	+1.00	1	1	NaN	1
28	0	41	0	-0.82	-0.58	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
28	0	42	0	-0.67	-0.67	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
28	0	43	1	+0.77	+0.88	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
28	0	44	0	-0.82	-0.77	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
28	0	45	0	-0.60	-1.01	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
28	0	46	0	-0.20	-0.05	+0.60	+0.40	+1.00	+0.00	0	0	NaN	1
28	0	47	0	-0.90	-0.74	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
28	0	48	0	-0.70	-0.59	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
28	0	49	0	-0.00	+0.15	+0.22	+0.78	+0.00	+1.00	1	1	NaN	0
28	0	50	1	+0.19	+0.18	+0.18	+0.82	+0.00	+1.00	1	1	NaN	1
28	0	51	0	-0.81	-0.96	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
28	0	52	1	+0.97	+0.80	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
28	0	53	1	+0.55	+0.94	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
28	0	54	1	+0.94	+1.02	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
28	0	55	0	-0.27	-0.22	+0.87	+0.13	+1.00	+0.00	0	0	NaN	1
28	0	56	1	+0.47	+0.41	+0.02	+0.98	+0.00	+1.00	1	1	NaN	1
28	0	57	1	+0.90	+0.50	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
28	0	58	1	+0.04	-0.06	+0.62	+0.38	+1.00	+0.00	0	0	NaN	0
28	0	59	0	-0.16	-0.16	+0.79	+0.21	+1.00	+0.00	0	0	NaN	1
28	0	60	0	-0.81	-0.83	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
28	0	61	0	-0.16	+0.20	+0.15	+0.85	+0.00	+1.00	1	0	NaN	1
28	0	62	0	-0.41	-0.40	+0.98	+0.02	+1.00	+0.00	0	0	NaN	1
28	0	63	0	-0.36	-0.33	+0.95	+0.05	+1.00	+0.00	0	0	NaN	1
28	0	64	0	-0.06	-0.25	+0.89	+0.11	+1.00	+0.00	0	0	NaN	1
28	0	65	0	-0.01	+0.26	+0.10	+0.90	+0.00	+1.00	1	1	NaN	0
28	0	66	1	+0.81	+0.66	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
28	0	67	0	-0.96	-1.08	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
28	0	68	1	+0.91	+0.92	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
28	0	69	1	+0.14	+0.07	+0.35	+0.65	+0.00	+1.00	1	1	NaN	1
28	0	70	0	-0.48	-0.27	+0.92	+0.08	+1.00	+0.00	0	0	NaN	1
28	0	71	1	+0.65	+0.63	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
28	0	72	1	+0.69	+0.46	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
28	0	73	0	-0.22	-0.05	+0.60	+0.40	+1.00	+0.00	0	0	NaN	1
28	0	74	0	-0.57	-0.62	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
28	0	75	1	+0.54	+0.22	+0.13	+0.87	+0.00	+1.00	1	1	NaN	1
28	0	76	1	+0.20	+0.40	+0.02	+0.98	+0.00	+1.00	1	1	NaN	1
28	0	77	1	+0.77	+1.44	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
28	0	78	0	-0.61	-0.20	+0.85	+0.15	+1.00	+0.00	0	0	NaN	1
28	0	79	0	-0.19	-0.07	+0.63	+0.37	+1.00	+0.00	0	0	NaN	1
28	0	80	0	-0.17	-0.64	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
28	0	81	0	-0.93	-1.07	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
28	0	82	0	-0.14	-0.43	+0.98	+0.02	+1.00	+0.00	0	0	NaN	1
28	0	83	1	+0.55	+1.04	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
28	0	84	0	-0.57	-1.15	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
28	0	85	1	+0.14	-0.01	+0.53	+0.47	+1.00	+0.00	0	0	NaN	0
28	0	86	1	+0.86	+0.56	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
28	0	87	1	+0.40	+0.54	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
28	0	88	0	-0.32	-0.21	+0.85	+0.15	+1.00	+0.00	0	0	NaN	1
28	0	89	0	-0.97	-0.62	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
28	0	90	1	+0.14	+0.28	+0.08	+0.92	+0.00	+1.00	1	1	NaN	1
28	0	91	1	+0.34	+0.22	+0.13	+0.87	+0.00	+1.00	1	1	NaN	1
28	0	92	0	-0.33	-0.65	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
28	0	93	0	-0.40	-0.31	+0.94	+0.06	+1.00	+0.00	0	0	NaN	1
28	0	94	0	-0.64	-1.18	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
28	0	95	0	-0.00	+0.08	+0.35	+0.65	+0.00	+1.00	1	1	NaN	0
28	0	96	0	-0.92	-0.99	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
28	0	97	1	+0.04	-0.00	+0.51	+0.49	+1.00	+0.00	0	0	NaN	0
28	0	98	0	-0.36	-0.46	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
28	0	99	1	+0.52	+0.56	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
28	0	100	1	+0.53	+0.66	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
28	0	101	0	-0.55	-0.66	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
28	0	102	0	-0.52	-0.81	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
28	0	103	0	-0.58	-0.89	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
28	0	104	0	-0.89	-0.67	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
28	0	105	0	-0.82	-1.01	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
28	0	106	1	+0.61	+0.45	+0.01	+0.99	+0.00	+1.00	1	0	NaN	0
28	0	107	1	+0.02	+0.08	+0.34	+0.66	+0.00	+1.00	1	1	NaN	1
28	0	108	0	-0.15	-0.21	+0.86	+0.14	+1.00	+0.00	0	0	NaN	1
28	0	109	1	+0.26	+0.33	+0.05	+0.95	+0.00	+1.00	1	1	NaN	1
28	0	110	0	-0.38	-0.35	+0.96	+0.04	+1.00	+0.00	0	0	NaN	1
28	0	111	0	-0.45	-0.72	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
28	0	112	1	+0.09	-0.12	+0.72	+0.28	+1.00	+0.00	0	0	NaN	0
28	0	113	0	-0.67	-0.49	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
28	0	114	1	+0.53	+0.63	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
28	0	115	0	-0.86	-0.63	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
28	0	116	1	+0.15	+0.30	+0.07	+0.93	+0.00	+1.00	1	1	NaN	1
28	0	117	1	+0.84	+0.72	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
28	0	118	0	-0.53	-0.35	+0.96	+0.04	+1.00	+0.00	0	0	NaN	1
