P	k	t	s_t	c_t	o_t	b_t_1	b_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
34	0	0	1	+0.63	+0.34	+0.04	+0.96	+0.00	+1.00	1	1	NaN	1
34	0	1	1	+0.05	+0.10	+0.31	+0.69	+0.00	+1.00	1	1	NaN	1
34	0	2	0	-0.92	-0.83	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
34	0	3	0	-0.20	-0.24	+0.89	+0.11	+1.00	+0.00	0	0	NaN	1
34	0	4	0	-0.60	-0.46	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
34	0	5	1	+0.43	+0.80	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
34	0	6	1	+0.41	+0.76	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
34	0	7	0	-0.03	+0.15	+0.23	+0.77	+0.00	+1.00	1	1	NaN	0
34	0	8	0	-0.48	-0.81	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
34	0	9	0	-0.53	-0.79	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
34	0	10	1	+0.54	+0.71	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
34	0	11	0	-0.91	-0.77	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
34	0	12	0	-0.11	+0.13	+0.26	+0.74	+0.00	+1.00	1	1	NaN	0
34	0	13	1	+0.76	+0.30	+0.07	+0.93	+0.00	+1.00	1	1	NaN	1
34	0	14	0	-0.17	-0.10	+0.69	+0.31	+1.00	+0.00	0	0	NaN	1
34	0	15	1	+0.33	+0.18	+0.18	+0.82	+0.00	+1.00	1	1	NaN	1
34	0	16	0	-0.69	-0.62	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
34	0	17	1	+0.43	+0.37	+0.03	+0.97	+0.00	+1.00	1	1	NaN	1
34	0	18	1	+0.98	+0.58	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
34	0	19	1	+0.98	+0.92	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
34	0	20	0	-0.65	-0.62	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
34	0	21	0	-0.88	-0.77	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
34	0	22	0	-0.59	-0.52	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
34	0	23	1	+0.64	+0.64	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
34	0	24	0	-0.90	-1.02	+1.00	+0.00	+1.00	+0.00	0	1	NaN	0
34	0	25	0	-0.05	-0.36	+0.97	+0.03	+1.00	+0.00	0	0	NaN	1
34	0	26	0	-0.92	-1.09	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
34	0	27	1	+0.29	+0.43	+0.02	+0.98	+0.00	+1.00	1	1	NaN	1
34	0	28	0	-0.17	-0.18	+0.82	+0.18	+1.00	+0.00	0	0	NaN	1
34	0	29	0	-0.53	-0.90	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
34	0	30	1	+0.15	+0.34	+0.05	+0.95	+0.00	+1.00	1	1	NaN	1
34	0	31	1	+0.97	+0.89	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
34	0	32	0	-0.76	-0.74	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
34	0	33	1	+0.89	+0.64	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
34	0	34	0	-0.45	-0.36	+0.96	+0.04	+1.00	+0.00	0	0	NaN	1
34	0	35	0	-0.03	-0.01	+0.52	+0.48	+1.00	+0.00	0	0	NaN	1
