P	k	t	s_t	c_t	o_t	b_t_1	b_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
38	0	0	1	+0.82	+0.51	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
38	0	1	0	-0.66	-1.18	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
38	0	2	0	-0.14	+0.02	+0.45	+0.55	+0.00	+1.00	1	1	NaN	0
38	0	3	0	-0.90	-1.23	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
38	0	4	0	-0.46	-0.07	+0.65	+0.35	+1.00	+0.00	0	0	NaN	1
38	0	5	1	+0.37	+0.31	+0.06	+0.94	+0.00	+1.00	1	1	NaN	1
38	0	6	1	+0.57	+0.75	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
38	0	7	0	-0.36	-0.30	+0.93	+0.07	+1.00	+0.00	0	0	NaN	1
38	0	8	1	+0.55	+1.15	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
38	0	9	0	-0.98	-0.96	+1.00	+0.00	+1.00	+0.00	0	1	NaN	0
38	0	10	0	-0.83	-0.88	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
38	0	11	1	+0.60	+0.74	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
38	0	12	1	+0.52	+0.65	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
38	0	13	0	-0.17	-0.32	+0.94	+0.06	+1.00	+0.00	0	0	NaN	1
38	0	14	1	+0.02	-0.21	+0.85	+0.15	+1.00	+0.00	0	0	NaN	0
38	0	15	0	-0.57	-0.82	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
38	0	16	1	+0.74	+0.89	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
38	0	17	0	-0.60	-0.58	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
38	0	18	0	-0.74	-0.32	+0.94	+0.06	+1.00	+0.00	0	0	NaN	1
38	0	19	1	+0.51	+0.47	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
38	0	20	1	+0.13	+0.21	+0.15	+0.85	+0.00	+1.00	1	1	NaN	1
38	0	21	1	+0.49	+0.64	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
38	0	22	0	-0.87	-0.70	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
38	0	23	0	-0.28	-0.03	+0.56	+0.44	+1.00	+0.00	0	0	NaN	1
38	0	24	0	-0.37	-0.40	+0.98	+0.02	+1.00	+0.00	0	0	NaN	1
38	0	25	0	-0.32	-0.45	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
38	0	26	1	+0.04	+0.16	+0.21	+0.79	+0.00	+1.00	1	0	NaN	0
38	0	27	0	-0.70	-0.42	+0.98	+0.02	+1.00	+0.00	0	0	NaN	1
38	0	28	1	+0.22	+0.16	+0.21	+0.79	+0.00	+1.00	1	1	NaN	1
38	0	29	0	-0.51	-0.63	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
38	0	30	1	+0.28	+0.04	+0.41	+0.59	+0.00	+1.00	1	1	NaN	1
38	0	31	1	+0.62	+0.64	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
38	0	32	0	-0.82	-0.89	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
38	0	33	0	-0.19	-0.11	+0.71	+0.29	+1.00	+0.00	0	0	NaN	1
38	0	34	1	+0.40	+0.13	+0.26	+0.74	+0.00	+1.00	1	1	NaN	1
38	0	35	1	+0.42	+0.41	+0.02	+0.98	+0.00	+1.00	1	1	NaN	1
38	0	36	1	+0.89	+0.75	+0.00	+1.00	+0.00	+1.00	1	0	NaN	0
38	0	37	0	-0.96	-1.26	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
38	0	38	0	-0.27	-0.59	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
