P	k	t	s_t	c_t	o_t	b_t_1	b_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
11	0	0	1	+0.22	+0.53	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
11	0	1	0	-0.68	-0.68	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
11	0	2	1	+0.19	+0.03	+0.43	+0.57	+0.00	+1.00	1	1	NaN	1
11	0	3	0	-0.62	-0.35	+0.96	+0.04	+1.00	+0.00	0	0	NaN	1
11	0	4	1	+0.98	+0.71	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
11	0	5	1	+0.65	+0.52	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
11	0	6	0	-0.03	-0.22	+0.87	+0.13	+1.00	+0.00	0	0	NaN	1
11	0	7	0	-0.44	-0.59	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
11	0	8	1	+0.62	+0.51	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
11	0	9	0	-0.54	-0.49	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
11	0	10	1	+0.88	+0.78	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
11	0	11	1	+0.46	+0.50	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
11	0	12	1	+0.08	-0.03	+0.55	+0.45	+1.00	+0.00	0	0	NaN	0
11	0	13	0	-0.23	-0.43	+0.98	+0.02	+1.00	+0.00	0	0	NaN	1
11	0	14	0	-0.45	-0.41	+0.98	+0.02	+1.00	+0.00	0	0	NaN	1
11	0	15	1	+0.40	+0.32	+0.06	+0.94	+0.00	+1.00	1	0	NaN	0
11	0	16	1	+0.28	+0.07	+0.36	+0.64	+0.00	+1.00	1	1	NaN	1
11	0	17	0	-0.20	-0.22	+0.87	+0.13	+1.00	+0.00	0	0	NaN	1
11	0	18	1	+0.74	+0.84	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
11	0	19	0	-0.50	-0.69	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
11	0	20	1	+0.50	+0.46	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
11	0	21	1	+0.26	+0.28	+0.08	+0.92	+0.00	+1.00	1	1	NaN	1
11	0	22	0	-0.22	-0.18	+0.82	+0.18	+1.00	+0.00	0	0	NaN	1
11	0	23	0	-0.43	-0.52	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
11	0	24	0	-0.29	-0.05	+0.61	+0.39	+1.00	+0.00	0	0	NaN	1
11	0	25	0	-0.47	-0.39	+0.97	+0.03	+1.00	+0.00	0	0	NaN	1
11	0	26	0	-0.52	-0.62	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
11	0	27	0	-0.62	-0.57	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
11	0	28	0	-0.09	-0.25	+0.89	+0.11	+1.00	+0.00	0	0	NaN	1
11	0	29	0	-0.70	-0.94	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
11	0	30	0	-0.93	-1.11	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
11	0	31	0	-0.48	-0.21	+0.85	+0.15	+1.00	+0.00	0	0	NaN	1
11	0	32	0	-0.67	-0.96	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
11	0	33	0	-0.92	-0.82	+1.00	+0.00	+1.00	+0.00	0	1	NaN	0
11	0	34	0	-0.39	-0.52	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
11	0	35	1	+0.75	+0.69	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
11	0	36	1	+0.16	+0.13	+0.26	+0.74	+0.00	+1.00	1	1	NaN	1
